type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	20480	20502	2137	4407	0.9055	0.8231	0.8623	0
INS	12297	12312	1209	2432	0.9105	0.8351	0.8712	0
DEL	8183	8190	928	1975	0.8981	0.8057	0.8494	0
Total	20469	20490	2135	4419	0.9055	0.8226	0.8621	2
INS	12290	12305	1208	2439	0.9105	0.8346	0.8709	2
DEL	8179	8185	927	1980	0.8982	0.8052	0.8492	2
Total	20416	20440	2107	4469	0.9065	0.8206	0.8614	3
INS	12263	12277	1197	2467	0.9111	0.8327	0.8701	3
DEL	8153	8163	910	2002	0.8996	0.803	0.8486	3
Total	20054	20094	1929	4815	0.9123	0.8067	0.8563	4
INS	12072	12089	1109	2655	0.9159	0.8199	0.8652	4
DEL	7982	8005	820	2160	0.9068	0.7875	0.8429	4
Total	19726	19793	1788	5116	0.9169	0.7946	0.8514	5
INS	11898	11919	1053	2825	0.9187	0.8084	0.86	5
DEL	7828	7874	735	2291	0.9142	0.7746	0.8386	5
Total	19117	19207	1612	5702	0.9222	0.7711	0.8399	7
INS	11609	11634	974	3110	0.9226	0.7891	0.8506	7
DEL	7508	7573	638	2592	0.9217	0.745	0.824	7
Total	18292	18406	1431	6503	0.9274	0.7389	0.8225	10
INS	11194	11220	899	3524	0.9257	0.761	0.8353	10
DEL	7098	7186	532	2979	0.9303	0.7069	0.8034	10
Total	17760	17890	1354	7019	0.9292	0.7182	0.8102	12
INS	10923	10951	866	3793	0.9265	0.7427	0.8245	12
DEL	6837	6939	488	3226	0.9334	0.6826	0.7885	12
Total	17153	17291	1274	7618	0.9309	0.6942	0.7953	14
INS	10589	10619	819	4125	0.9282	0.7202	0.8111	14
DEL	6564	6672	455	3493	0.9352	0.6564	0.7714	14
Total	15895	16051	1111	8858	0.9347	0.6444	0.7629	21
INS	9943	9974	737	4770	0.931	0.6765	0.7836	21
DEL	5952	6077	374	4088	0.9409	0.5978	0.7311	21
Total	15220	15373	1017	9536	0.9374	0.6172	0.7443	27
INS	9611	9643	698	5101	0.9323	0.654	0.7687	27
DEL	5609	5730	319	4435	0.9462	0.5637	0.7065	27
Total	14696	14852	953	10057	0.9391	0.5963	0.7294	35
INS	9351	9381	664	5363	0.9337	0.6363	0.7568	35
DEL	5345	5471	289	4694	0.9487	0.5382	0.6868	35
Total	14499	14656	943	10253	0.9389	0.5884	0.7234	45
INS	9253	9283	658	5461	0.9336	0.6296	0.752	45
DEL	5246	5373	285	4792	0.9485	0.5286	0.6789	45
Total	14499	14656	943	10253	0.9389	0.5884	0.7234	50
INS	9253	9283	658	5461	0.9336	0.6296	0.752	50
DEL	5246	5373	285	4792	0.9485	0.5286	0.6789	50
Total	14141	14296	930	10613	0.9383	0.5739	0.7122	60
INS	9075	9103	648	5641	0.9334	0.6174	0.7432	60
DEL	5066	5193	282	4972	0.9473	0.5109	0.6638	60
Total	13996	14150	929	10759	0.9378	0.5681	0.7076	75
INS	9018	9045	647	5699	0.9331	0.6135	0.7403	75
DEL	4978	5105	282	5060	0.9464	0.5022	0.6562	75
Total	13988	14142	928	10767	0.9378	0.5677	0.7073	90
INS	9010	9037	646	5707	0.9331	0.6129	0.7398	90
DEL	4978	5105	282	5060	0.9464	0.5022	0.6562	90
Total	13988	14142	928	10767	0.9378	0.5677	0.7073	99
INS	9010	9037	646	5707	0.9331	0.6129	0.7398	99
DEL	4978	5105	282	5060	0.9464	0.5022	0.6562	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
