type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6383	6580	30	263	0.9953	0.9616	0.9782	0
INS	4573	4710	26	175	0.9943	0.9642	0.979	0
DEL	1810	1870	4	88	0.9978	0.9551	0.976	0
Total	6380	6576	30	267	0.9953	0.961	0.9778	2
INS	4570	4706	26	179	0.9943	0.9634	0.9786	2
DEL	1810	1870	4	88	0.9978	0.9551	0.976	2
Total	6370	6567	29	276	0.9955	0.9597	0.9773	3
INS	4560	4697	25	188	0.9945	0.9615	0.9777	3
DEL	1810	1870	4	88	0.9978	0.9551	0.976	3
Total	6285	6484	20	359	0.9968	0.9475	0.9715	4
INS	4491	4621	17	264	0.9962	0.946	0.9705	4
DEL	1794	1863	3	95	0.9983	0.9515	0.9743	4
Total	6218	6423	19	420	0.997	0.9386	0.9669	5
INS	4439	4567	16	318	0.9964	0.9349	0.9647	5
DEL	1779	1856	3	102	0.9983	0.9479	0.9724	5
Total	6110	6326	10	517	0.9984	0.9244	0.96	7
INS	4355	4485	7	400	0.9984	0.9181	0.9566	7
DEL	1755	1841	3	117	0.9983	0.9402	0.9684	7
Total	5935	6162	5	681	0.9992	0.9005	0.9473	10
INS	4216	4343	4	542	0.9991	0.889	0.9408	10
DEL	1719	1819	1	139	0.9994	0.929	0.9629	10
Total	5826	6065	5	778	0.9991	0.8863	0.9393	12
INS	4129	4262	4	623	0.999	0.8725	0.9315	12
DEL	1697	1803	1	155	0.9994	0.9208	0.9585	12
Total	5682	5933	4	910	0.9993	0.867	0.9285	14
INS	4009	4149	3	736	0.9993	0.8493	0.9182	14
DEL	1673	1784	1	174	0.9994	0.9111	0.9532	14
Total	5349	5612	3	1231	0.9994	0.8201	0.9009	21
INS	3732	3865	2	1020	0.9995	0.7912	0.8832	21
DEL	1617	1747	1	211	0.9994	0.8922	0.9428	21
Total	5159	5428	1	1415	0.9998	0.7932	0.8846	27
INS	3590	3716	1	1169	0.9997	0.7607	0.864	27
DEL	1569	1712	0	246	1	0.8744	0.933	27
Total	4973	5249	1	1594	0.9998	0.7671	0.8681	35
INS	3452	3569	1	1316	0.9997	0.7306	0.8442	35
DEL	1521	1680	0	278	1	0.858	0.9236	35
Total	4898	5173	1	1670	0.9998	0.756	0.861	45
INS	3411	3526	1	1359	0.9997	0.7218	0.8383	45
DEL	1487	1647	0	311	1	0.8412	0.9138	45
Total	4898	5173	1	1670	0.9998	0.756	0.861	50
INS	3411	3526	1	1359	0.9997	0.7218	0.8383	50
DEL	1487	1647	0	311	1	0.8412	0.9138	50
Total	4898	5173	1	1670	0.9998	0.756	0.861	60
INS	3411	3526	1	1359	0.9997	0.7218	0.8383	60
DEL	1487	1647	0	311	1	0.8412	0.9138	60
Total	4898	5173	1	1670	0.9998	0.756	0.861	75
INS	3411	3526	1	1359	0.9997	0.7218	0.8383	75
DEL	1487	1647	0	311	1	0.8412	0.9138	75
Total	4898	5173	1	1670	0.9998	0.756	0.861	90
INS	3411	3526	1	1359	0.9997	0.7218	0.8383	90
DEL	1487	1647	0	311	1	0.8412	0.9138	90
Total	4898	5173	1	1670	0.9998	0.756	0.861	99
INS	3411	3526	1	1359	0.9997	0.7218	0.8383	99
DEL	1487	1647	0	311	1	0.8412	0.9138	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
