type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5174	5171	282	521	0.9483	0.9085	0.928	0
INS	3600	3600	252	401	0.9346	0.8998	0.9169	0
DEL	1574	1571	30	120	0.9813	0.929	0.9544	0
Total	5171	5168	282	524	0.9483	0.9079	0.9277	2
INS	3597	3597	252	404	0.9345	0.899	0.9164	2
DEL	1574	1571	30	120	0.9813	0.929	0.9544	2
Total	5165	5162	278	530	0.9489	0.9069	0.9274	3
INS	3591	3591	248	410	0.9354	0.8975	0.9161	3
DEL	1574	1571	30	120	0.9813	0.929	0.9544	3
Total	5096	5093	264	599	0.9507	0.8948	0.9219	4
INS	3530	3529	235	472	0.9376	0.882	0.909	4
DEL	1566	1564	29	127	0.9818	0.9249	0.9525	4
Total	5048	5046	259	646	0.9512	0.8865	0.9177	5
INS	3489	3489	230	512	0.9382	0.872	0.9039	5
DEL	1559	1557	29	134	0.9817	0.9208	0.9503	5
Total	4973	4970	236	722	0.9547	0.8732	0.9121	7
INS	3428	3427	208	574	0.9428	0.8565	0.8976	7
DEL	1545	1543	28	148	0.9822	0.9125	0.9461	7
Total	4839	4839	222	853	0.9561	0.8501	0.9	10
INS	3315	3317	196	684	0.9442	0.829	0.8829	10
DEL	1524	1522	26	169	0.9832	0.9001	0.9398	10
Total	4757	4757	220	935	0.9558	0.8357	0.8917	12
INS	3250	3252	194	749	0.9437	0.8128	0.8734	12
DEL	1507	1505	26	186	0.983	0.89	0.9342	12
Total	4654	4654	212	1038	0.9564	0.8176	0.8816	14
INS	3165	3167	186	834	0.9445	0.7916	0.8613	14
DEL	1489	1487	26	204	0.9828	0.8794	0.9282	14
Total	4412	4414	193	1278	0.9581	0.7755	0.8572	21
INS	2959	2962	167	1039	0.9466	0.7403	0.8308	21
DEL	1453	1452	26	239	0.9824	0.8587	0.9164	21
Total	4265	4265	184	1427	0.9586	0.7493	0.8411	27
INS	2848	2849	159	1152	0.9471	0.7121	0.813	27
DEL	1417	1416	25	275	0.9827	0.8374	0.9043	27
Total	4135	4137	178	1555	0.9587	0.7268	0.8268	35
INS	2746	2748	153	1253	0.9472	0.6868	0.7963	35
DEL	1389	1389	25	302	0.9823	0.8214	0.8947	35
Total	4077	4079	176	1613	0.9586	0.7166	0.8201	45
INS	2710	2712	151	1289	0.9472	0.6778	0.7902	45
DEL	1367	1367	25	324	0.982	0.8084	0.8868	45
Total	4077	4079	176	1613	0.9586	0.7166	0.8201	50
INS	2710	2712	151	1289	0.9472	0.6778	0.7902	50
DEL	1367	1367	25	324	0.982	0.8084	0.8868	50
Total	3991	3993	176	1699	0.9578	0.7015	0.8099	60
INS	2686	2688	151	1313	0.9468	0.6718	0.7859	60
DEL	1305	1305	25	386	0.9812	0.7717	0.8639	60
Total	3949	3951	176	1741	0.9573	0.6941	0.8047	75
INS	2680	2682	151	1319	0.9467	0.6703	0.7849	75
DEL	1269	1269	25	422	0.9807	0.7504	0.8502	75
Total	3949	3951	176	1741	0.9573	0.6941	0.8047	90
INS	2680	2682	151	1319	0.9467	0.6703	0.7849	90
DEL	1269	1269	25	422	0.9807	0.7504	0.8502	90
Total	3949	3951	176	1741	0.9573	0.6941	0.8047	99
INS	2680	2682	151	1319	0.9467	0.6703	0.7849	99
DEL	1269	1269	25	422	0.9807	0.7504	0.8502	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
