type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	11346	10770	2162	17718	0.8399	0.3781	0.5215	0
INS	1879	1838	121	15514	0.9395	0.1059	0.1903	0
DEL	9467	8932	2041	2204	0.8226	0.8021	0.8122	0
Total	11276	10705	2150	17783	0.8399	0.3758	0.5193	2
INS	1861	1817	112	15535	0.9432	0.1047	0.1885	2
DEL	9415	8888	2038	2248	0.8221	0.7981	0.8099	2
Total	11271	10700	2149	17788	0.8399	0.3756	0.5191	3
INS	1861	1817	112	15535	0.9432	0.1047	0.1885	3
DEL	9410	8883	2037	2253	0.822	0.7977	0.8097	3
Total	11224	10675	2140	17813	0.8399	0.3747	0.5182	4
INS	1857	1813	112	15539	0.9431	0.1045	0.1882	4
DEL	9367	8862	2028	2274	0.822	0.7958	0.8087	4
Total	11110	10599	2080	17889	0.8423	0.3721	0.5162	5
INS	1852	1810	109	15542	0.9444	0.1043	0.1879	5
DEL	9258	8789	1971	2347	0.8245	0.7892	0.8065	5
Total	10848	10408	1977	18080	0.8458	0.3653	0.5102	7
INS	1830	1791	108	15561	0.9443	0.1032	0.1861	7
DEL	9018	8617	1869	2519	0.8283	0.7738	0.8001	7
Total	10594	10222	1897	18266	0.8481	0.3588	0.5043	10
INS	1808	1772	103	15580	0.9461	0.1021	0.1843	10
DEL	8786	8450	1794	2686	0.8304	0.7588	0.793	10
Total	10348	10034	1810	18454	0.8511	0.3522	0.4982	12
INS	1791	1757	100	15595	0.9471	0.1013	0.183	12
DEL	8557	8277	1710	2859	0.8334	0.7433	0.7858	12
Total	10142	9885	1746	18603	0.8531	0.347	0.4933	14
INS	1777	1743	98	15609	0.9477	0.1004	0.1816	14
DEL	8365	8142	1648	2994	0.8354	0.7311	0.7798	14
Total	9504	9359	1558	19129	0.8592	0.3285	0.4753	21
INS	1723	1690	92	15662	0.9493	0.0974	0.1767	21
DEL	7781	7669	1466	3467	0.8415	0.6887	0.7575	21
Total	8924	8845	1399	19643	0.8645	0.3105	0.4569	27
INS	1682	1658	84	15694	0.9524	0.0956	0.1738	27
DEL	7242	7187	1315	3949	0.8463	0.6454	0.7323	27
Total	8140	8115	1253	20373	0.8666	0.2849	0.4288	35
INS	1592	1567	77	15785	0.9539	0.0903	0.165	35
DEL	6548	6548	1176	4588	0.8477	0.588	0.6944	35
Total	7117	7110	1109	21378	0.8652	0.2496	0.3874	45
INS	1481	1457	70	15895	0.9549	0.084	0.1544	45
DEL	5636	5653	1039	5483	0.8443	0.5076	0.634	45
Total	6559	6572	1022	21916	0.8652	0.2307	0.3643	50
INS	1410	1391	64	15961	0.9566	0.0802	0.148	50
DEL	5149	5181	958	5955	0.8431	0.4652	0.5996	50
Total	5774	5768	902	22720	0.8649	0.2025	0.3282	60
INS	1305	1283	59	16069	0.9567	0.0739	0.1372	60
DEL	4469	4485	843	6651	0.8413	0.4027	0.5447	60
Total	4972	4939	770	23549	0.8659	0.1734	0.2889	75
INS	1145	1120	56	16232	0.9534	0.0645	0.1208	75
DEL	3827	3819	714	7317	0.8428	0.3429	0.4875	75
Total	4321	4280	665	24208	0.8666	0.1502	0.256	90
INS	1017	1001	48	16351	0.9549	0.0577	0.1088	90
DEL	3304	3279	617	7857	0.8426	0.2945	0.4365	90
Total	4011	3968	598	24520	0.8703	0.1393	0.2402	99
INS	931	911	46	16441	0.9529	0.0525	0.0995	99
DEL	3080	3057	552	8079	0.848	0.2745	0.4147	99
Total	3529	3477	517	25011	0.8722	0.1221	0.2142	110
INS	835	820	40	16532	0.9543	0.0473	0.0901	110
DEL	2694	2657	477	8479	0.8496	0.2386	0.3726	110
Total	2840	2795	402	25693	0.876	0.0981	0.1764	133
INS	693	686	35	16666	0.9519	0.0395	0.0759	133
DEL	2147	2109	367	9027	0.854	0.1894	0.31	133
Total	2069	2026	299	26462	0.8737	0.0711	0.1315	167
INS	526	524	26	16828	0.9529	0.0302	0.0585	167
DEL	1543	1502	273	9634	0.8497	0.1349	0.2328	167
Total	2069	2026	299	26462	0.8737	0.0711	0.1315	180
INS	526	524	26	16828	0.9529	0.0302	0.0585	180
DEL	1543	1502	273	9634	0.8497	0.1349	0.2328	180
Total	2069	2026	299	26462	0.8737	0.0711	0.1315	250
INS	526	524	26	16828	0.9529	0.0302	0.0585	250
DEL	1543	1502	273	9634	0.8497	0.1349	0.2328	250
Total	2069	2026	299	26462	0.8737	0.0711	0.1315	350
INS	526	524	26	16828	0.9529	0.0302	0.0585	350
DEL	1543	1502	273	9634	0.8497	0.1349	0.2328	350
Total	2069	2026	299	26462	0.8737	0.0711	0.1315	450
INS	526	524	26	16828	0.9529	0.0302	0.0585	450
DEL	1543	1502	273	9634	0.8497	0.1349	0.2328	450
Total	2069	2026	299	26462	0.8737	0.0711	0.1315	550
INS	526	524	26	16828	0.9529	0.0302	0.0585	550
DEL	1543	1502	273	9634	0.8497	0.1349	0.2328	550
Total	2069	2026	299	26462	0.8737	0.0711	0.1315	650
INS	526	524	26	16828	0.9529	0.0302	0.0585	650
DEL	1543	1502	273	9634	0.8497	0.1349	0.2328	650
