type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9066	8551	3771	16358	0.7062	0.3433	0.462	0
INS	1433	1368	436	13376	0.7667	0.0928	0.1656	0
DEL	7633	7183	3335	2982	0.6959	0.7066	0.7012	0
Total	9024	8510	3731	16399	0.7075	0.3416	0.4607	2
INS	1431	1366	411	13378	0.7769	0.0926	0.1655	2
DEL	7593	7144	3320	3021	0.6958	0.7028	0.6993	2
Total	9021	8507	3728	16402	0.7076	0.3415	0.4607	3
INS	1431	1366	411	13378	0.7769	0.0926	0.1655	3
DEL	7590	7141	3317	3024	0.6959	0.7025	0.6992	3
Total	8995	8491	3699	16418	0.7086	0.3409	0.4603	4
INS	1431	1366	407	13378	0.7786	0.0926	0.1655	4
DEL	7564	7125	3292	3040	0.6968	0.7009	0.6988	4
Total	8934	8441	3598	16468	0.7129	0.3389	0.4594	5
INS	1429	1364	403	13380	0.78	0.0925	0.1654	5
DEL	7505	7077	3195	3088	0.7014	0.6962	0.6988	5
Total	8804	8344	3378	16565	0.7227	0.335	0.4578	7
INS	1422	1358	388	13386	0.7856	0.0921	0.1649	7
DEL	7382	6986	2990	3179	0.7117	0.6873	0.6993	7
Total	8649	8213	3211	16696	0.7293	0.3297	0.4541	10
INS	1411	1346	375	13398	0.79	0.0913	0.1637	10
DEL	7238	6867	2836	3298	0.7185	0.6756	0.6964	10
Total	8490	8086	3058	16823	0.7352	0.3246	0.4504	12
INS	1404	1340	363	13404	0.7946	0.0909	0.1631	12
DEL	7086	6746	2695	3419	0.7245	0.6636	0.6927	12
Total	8341	7972	2951	16937	0.7387	0.32	0.4466	14
INS	1392	1329	360	13415	0.7945	0.0901	0.1618	14
DEL	6949	6643	2591	3522	0.7284	0.6535	0.6889	14
Total	7895	7588	2609	17321	0.7516	0.3046	0.4335	21
INS	1364	1303	331	13441	0.8047	0.0884	0.1593	21
DEL	6531	6285	2278	3880	0.7414	0.6183	0.6743	21
Total	7435	7201	2351	17708	0.7598	0.2891	0.4188	27
INS	1340	1282	309	13462	0.8126	0.087	0.1572	27
DEL	6095	5919	2042	4246	0.749	0.5823	0.6552	27
Total	6802	6665	2072	18244	0.7665	0.2676	0.3967	35
INS	1285	1237	272	13507	0.8253	0.0839	0.1523	35
DEL	5517	5428	1800	4737	0.754	0.534	0.6252	35
Total	5931	5890	1815	19019	0.7657	0.2365	0.3614	45
INS	1204	1166	246	13578	0.8303	0.0791	0.1444	45
DEL	4727	4724	1569	5441	0.7508	0.4647	0.5741	45
Total	5440	5445	1680	19464	0.764	0.2186	0.3399	50
INS	1146	1111	231	13633	0.8322	0.0754	0.1383	50
DEL	4294	4334	1449	5831	0.7477	0.4264	0.5431	50
Total	4756	4807	1478	20102	0.7629	0.193	0.3081	60
INS	1055	1030	211	13714	0.8333	0.0699	0.129	60
DEL	3701	3777	1267	6388	0.745	0.3716	0.4959	60
Total	4072	4150	1266	20759	0.7628	0.1666	0.2735	75
INS	919	907	192	13837	0.8272	0.0615	0.1145	75
DEL	3153	3243	1074	6922	0.7459	0.319	0.4469	75
Total	3530	3610	1087	21299	0.7646	0.1449	0.2436	90
INS	813	814	169	13930	0.8279	0.0552	0.1035	90
DEL	2717	2796	918	7369	0.7475	0.2751	0.4022	90
Total	3273	3335	977	21574	0.7701	0.1339	0.2281	99
INS	739	738	160	14006	0.822	0.0501	0.0944	99
DEL	2534	2597	817	7568	0.7562	0.2555	0.3819	99
Total	2893	2939	852	21970	0.7725	0.118	0.2047	110
INS	661	659	144	14085	0.8211	0.0447	0.0848	110
DEL	2232	2280	708	7885	0.7592	0.2243	0.3463	110
Total	2351	2388	674	22521	0.7772	0.0959	0.1707	133
INS	548	549	125	14195	0.8143	0.0372	0.0711	133
DEL	1803	1839	549	8326	0.7666	0.1809	0.2927	133
Total	1718	1739	527	23170	0.7653	0.0698	0.1279	167
INS	419	420	102	14324	0.8042	0.0285	0.055	167
DEL	1299	1319	425	8846	0.7535	0.1298	0.2215	167
Total	1718	1739	527	23170	0.7653	0.0698	0.1279	180
INS	419	420	102	14324	0.8042	0.0285	0.055	180
DEL	1299	1319	425	8846	0.7535	0.1298	0.2215	180
Total	1718	1739	527	23170	0.7653	0.0698	0.1279	250
INS	419	420	102	14324	0.8042	0.0285	0.055	250
DEL	1299	1319	425	8846	0.7535	0.1298	0.2215	250
Total	1718	1739	527	23170	0.7653	0.0698	0.1279	350
INS	419	420	102	14324	0.8042	0.0285	0.055	350
DEL	1299	1319	425	8846	0.7535	0.1298	0.2215	350
Total	1718	1739	527	23170	0.7653	0.0698	0.1279	450
INS	419	420	102	14324	0.8042	0.0285	0.055	450
DEL	1299	1319	425	8846	0.7535	0.1298	0.2215	450
Total	1718	1739	527	23170	0.7653	0.0698	0.1279	550
INS	419	420	102	14324	0.8042	0.0285	0.055	550
DEL	1299	1319	425	8846	0.7535	0.1298	0.2215	550
Total	1718	1739	527	23170	0.7653	0.0698	0.1279	650
INS	419	420	102	14324	0.8042	0.0285	0.055	650
DEL	1299	1319	425	8846	0.7535	0.1298	0.2215	650
