type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3047	2939	30	3904	0.9903	0.4295	0.5991	0
INS	1118	1113	26	3772	0.9773	0.2278	0.3695	0
DEL	1929	1826	4	132	0.9979	0.9326	0.9641	0
Total	3034	2923	29	3920	0.9905	0.4272	0.5969	2
INS	1108	1100	25	3785	0.9779	0.2252	0.3661	2
DEL	1926	1823	4	135	0.9979	0.9311	0.9633	2
Total	3034	2923	29	3920	0.9905	0.4272	0.5969	3
INS	1108	1100	25	3785	0.9779	0.2252	0.3661	3
DEL	1926	1823	4	135	0.9979	0.9311	0.9633	3
Total	3031	2921	29	3922	0.9905	0.4269	0.5966	4
INS	1106	1098	25	3787	0.9779	0.2248	0.3656	4
DEL	1925	1823	4	135	0.9979	0.9311	0.9633	4
Total	3027	2919	28	3924	0.9908	0.4266	0.5964	5
INS	1105	1097	24	3788	0.9787	0.2246	0.3654	5
DEL	1922	1822	4	136	0.9979	0.9305	0.963	5
Total	3007	2899	28	3944	0.9908	0.4236	0.5935	7
INS	1098	1090	24	3795	0.9786	0.2231	0.3634	7
DEL	1909	1809	4	149	0.9979	0.9239	0.9595	7
Total	2987	2883	27	3960	0.991	0.4213	0.5912	10
INS	1090	1083	24	3802	0.9785	0.2217	0.3615	10
DEL	1897	1800	3	158	0.9984	0.9193	0.9572	10
Total	2959	2858	27	3985	0.991	0.4177	0.5877	12
INS	1082	1074	24	3811	0.9783	0.2199	0.3591	12
DEL	1877	1784	3	174	0.9984	0.9111	0.9528	12
Total	2929	2838	25	4005	0.9915	0.4147	0.5848	14
INS	1073	1066	22	3819	0.9799	0.2182	0.3569	14
DEL	1856	1772	3	186	0.9984	0.905	0.9494	14
Total	2837	2754	23	4089	0.992	0.4025	0.5726	21
INS	1041	1033	20	3852	0.9811	0.2115	0.348	21
DEL	1796	1721	3	237	0.9983	0.879	0.9349	21
Total	2746	2669	23	4174	0.9917	0.39	0.5598	27
INS	1019	1018	20	3867	0.9808	0.2084	0.3438	27
DEL	1727	1651	3	307	0.9983	0.8432	0.9142	27
Total	2553	2491	20	4352	0.9922	0.364	0.5326	35
INS	974	972	17	3913	0.9828	0.199	0.331	35
DEL	1579	1519	3	439	0.9981	0.7758	0.873	35
Total	2273	2204	19	4639	0.9917	0.3221	0.4863	45
INS	913	911	16	3974	0.9828	0.1865	0.3135	45
DEL	1360	1293	3	665	0.9978	0.6604	0.7948	45
Total	2100	2036	18	4807	0.9915	0.2975	0.4577	50
INS	869	866	15	4019	0.983	0.1773	0.3004	50
DEL	1231	1170	3	788	0.9976	0.5975	0.7474	50
Total	1873	1800	16	5043	0.9915	0.263	0.4157	60
INS	798	790	13	4095	0.984	0.1617	0.2778	60
DEL	1075	1010	3	948	0.9972	0.5158	0.6799	60
Total	1630	1551	14	5292	0.9915	0.2267	0.369	75
INS	690	684	11	4201	0.9843	0.14	0.2451	75
DEL	940	867	3	1091	0.9968	0.4428	0.6132	75
Total	1486	1405	10	5438	0.9933	0.2053	0.3403	90
INS	606	602	7	4283	0.9886	0.1232	0.2191	90
DEL	880	803	3	1155	0.9966	0.4101	0.5811	90
Total	1397	1316	10	5527	0.9929	0.1923	0.3222	99
INS	551	544	7	4341	0.9875	0.1114	0.2002	99
DEL	846	772	3	1186	0.9965	0.3943	0.565	99
Total	1266	1192	8	5651	0.9937	0.1742	0.2964	110
INS	485	479	5	4406	0.9898	0.0981	0.1785	110
DEL	781	713	3	1245	0.9962	0.3641	0.5333	110
Total	1061	1000	5	5843	0.9953	0.1461	0.2548	133
INS	405	402	3	4483	0.9926	0.0823	0.152	133
DEL	656	598	2	1360	0.997	0.3054	0.4676	133
Total	817	767	4	6076	0.9951	0.1121	0.2015	167
INS	310	308	2	4577	0.9936	0.0631	0.1187	167
DEL	507	459	2	1499	0.9961	0.2344	0.3795	167
Total	817	767	4	6076	0.9951	0.1121	0.2015	180
INS	310	308	2	4577	0.9936	0.0631	0.1187	180
DEL	507	459	2	1499	0.9961	0.2344	0.3795	180
Total	817	767	4	6076	0.9951	0.1121	0.2015	250
INS	310	308	2	4577	0.9936	0.0631	0.1187	250
DEL	507	459	2	1499	0.9961	0.2344	0.3795	250
Total	817	767	4	6076	0.9951	0.1121	0.2015	350
INS	310	308	2	4577	0.9936	0.0631	0.1187	350
DEL	507	459	2	1499	0.9961	0.2344	0.3795	350
Total	817	767	4	6076	0.9951	0.1121	0.2015	450
INS	310	308	2	4577	0.9936	0.0631	0.1187	450
DEL	507	459	2	1499	0.9961	0.2344	0.3795	450
Total	817	767	4	6076	0.9951	0.1121	0.2015	550
INS	310	308	2	4577	0.9936	0.0631	0.1187	550
DEL	507	459	2	1499	0.9961	0.2344	0.3795	550
Total	817	767	4	6076	0.9951	0.1121	0.2015	650
INS	310	308	2	4577	0.9936	0.0631	0.1187	650
DEL	507	459	2	1499	0.9961	0.2344	0.3795	650
