type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2580	2334	332	3358	0.886	0.41	0.5606	0
INS	947	903	157	3098	0.8578	0.2257	0.3574	0
DEL	1633	1431	175	260	0.9032	0.8462	0.8738	0
Total	2575	2329	323	3363	0.8885	0.4092	0.5603	2
INS	945	901	148	3100	0.8646	0.2252	0.3573	2
DEL	1630	1428	175	263	0.903	0.8445	0.8728	2
Total	2575	2329	323	3363	0.8885	0.4092	0.5603	3
INS	945	901	148	3100	0.8646	0.2252	0.3573	3
DEL	1630	1428	175	263	0.903	0.8445	0.8728	3
Total	2574	2328	321	3364	0.8891	0.409	0.5603	4
INS	945	901	146	3100	0.8662	0.2252	0.3575	4
DEL	1629	1427	175	264	0.903	0.8439	0.8725	4
Total	2571	2326	320	3366	0.8893	0.4086	0.5599	5
INS	944	900	145	3101	0.8669	0.2249	0.3571	5
DEL	1627	1426	175	265	0.9029	0.8433	0.8721	5
Total	2561	2317	312	3375	0.8914	0.4071	0.5589	7
INS	942	898	140	3103	0.8706	0.2244	0.3568	7
DEL	1619	1419	172	272	0.904	0.8391	0.8703	7
Total	2549	2308	305	3384	0.8931	0.4055	0.5578	10
INS	938	894	137	3107	0.8726	0.2234	0.3557	10
DEL	1611	1414	168	277	0.9056	0.8362	0.8695	10
Total	2532	2295	297	3397	0.895	0.4032	0.5559	12
INS	935	891	132	3110	0.8763	0.2227	0.3551	12
DEL	1597	1404	165	287	0.9064	0.8303	0.8667	12
Total	2508	2279	290	3413	0.8964	0.4004	0.5535	14
INS	928	885	129	3116	0.878	0.2212	0.3534	14
DEL	1580	1394	161	297	0.9075	0.8244	0.864	14
Total	2443	2229	264	3463	0.9025	0.3916	0.5462	21
INS	913	870	112	3131	0.8907	0.2174	0.3495	21
DEL	1530	1359	152	332	0.9096	0.8037	0.8534	21
Total	2364	2170	250	3522	0.9044	0.3812	0.5363	27
INS	899	858	104	3143	0.8963	0.2144	0.346	27
DEL	1465	1312	146	379	0.9094	0.7759	0.8374	27
Total	2193	2044	228	3648	0.9058	0.3591	0.5143	35
INS	867	831	90	3170	0.906	0.2077	0.3379	35
DEL	1326	1213	138	478	0.9057	0.7173	0.8006	35
Total	1940	1838	208	3854	0.9032	0.3229	0.4757	45
INS	816	785	81	3216	0.9097	0.1962	0.3228	45
DEL	1124	1053	127	638	0.8985	0.6227	0.7356	45
Total	1774	1707	202	3985	0.8978	0.2999	0.4496	50
INS	775	748	77	3253	0.9096	0.187	0.3102	50
DEL	999	959	125	732	0.8888	0.5671	0.6924	50
Total	1558	1525	190	4167	0.8913	0.2679	0.412	60
INS	709	689	69	3312	0.9113	0.1722	0.2897	60
DEL	849	836	121	855	0.8753	0.4944	0.6319	60
Total	1336	1331	174	4361	0.8848	0.2338	0.3699	75
INS	610	602	59	3399	0.9118	0.1505	0.2584	75
DEL	726	729	115	962	0.8633	0.4311	0.575	75
Total	1210	1212	157	4480	0.8851	0.2129	0.3432	90
INS	537	537	49	3464	0.9164	0.1342	0.2341	90
DEL	673	675	108	1016	0.8617	0.3992	0.5456	90
Total	1136	1136	149	4556	0.884	0.1996	0.3257	99
INS	487	486	47	3515	0.912	0.1215	0.2144	99
DEL	649	650	102	1041	0.8642	0.3844	0.5321	99
Total	1030	1029	133	4663	0.8856	0.1808	0.3003	110
INS	427	426	41	3575	0.9124	0.1065	0.1907	110
DEL	603	603	92	1088	0.8676	0.3566	0.5055	110
Total	870	868	110	4824	0.8878	0.1525	0.2603	133
INS	357	357	36	3644	0.9084	0.0892	0.1624	133
DEL	513	511	74	1180	0.8739	0.3022	0.4491	133
Total	665	662	94	5030	0.8762	0.1163	0.2053	167
INS	271	270	30	3731	0.9003	0.0675	0.1256	167
DEL	394	392	64	1299	0.8603	0.2318	0.3652	167
Total	665	662	94	5030	0.8762	0.1163	0.2053	180
INS	271	270	30	3731	0.9003	0.0675	0.1256	180
DEL	394	392	64	1299	0.8603	0.2318	0.3652	180
Total	665	662	94	5030	0.8762	0.1163	0.2053	250
INS	271	270	30	3731	0.9003	0.0675	0.1256	250
DEL	394	392	64	1299	0.8603	0.2318	0.3652	250
Total	665	662	94	5030	0.8762	0.1163	0.2053	350
INS	271	270	30	3731	0.9003	0.0675	0.1256	350
DEL	394	392	64	1299	0.8603	0.2318	0.3652	350
Total	665	662	94	5030	0.8762	0.1163	0.2053	450
INS	271	270	30	3731	0.9003	0.0675	0.1256	450
DEL	394	392	64	1299	0.8603	0.2318	0.3652	450
Total	665	662	94	5030	0.8762	0.1163	0.2053	550
INS	271	270	30	3731	0.9003	0.0675	0.1256	550
DEL	394	392	64	1299	0.8603	0.2318	0.3652	550
Total	665	662	94	5030	0.8762	0.1163	0.2053	650
INS	271	270	30	3731	0.9003	0.0675	0.1256	650
DEL	394	392	64	1299	0.8603	0.2318	0.3652	650
