type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4909	4557	63	23931	0.9873	0.16	0.2754	0
INS	0	0	0	17352	NA	0	NA	0
DEL	4909	4557	63	6579	0.9873	0.4092	0.5786	0
Total	4909	4557	63	23931	0.9873	0.16	0.2754	2
INS	0	0	0	17352	NA	0	NA	2
DEL	4909	4557	63	6579	0.9873	0.4092	0.5786	2
Total	4909	4557	63	23931	0.9873	0.16	0.2754	3
INS	0	0	0	17352	NA	0	NA	3
DEL	4909	4557	63	6579	0.9873	0.4092	0.5786	3
Total	4909	4557	63	23931	0.9873	0.16	0.2754	4
INS	0	0	0	17352	NA	0	NA	4
DEL	4909	4557	63	6579	0.9873	0.4092	0.5786	4
Total	4870	4515	60	23973	0.9878	0.1585	0.2732	5
INS	0	0	0	17352	NA	0	NA	5
DEL	4870	4515	60	6621	0.9878	0.4054	0.5749	5
Total	4826	4474	59	24014	0.9879	0.157	0.2709	7
INS	0	0	0	17352	NA	0	NA	7
DEL	4826	4474	59	6662	0.9879	0.4018	0.5713	7
Total	4796	4441	58	24047	0.9881	0.1559	0.2693	10
INS	0	0	0	17352	NA	0	NA	10
DEL	4796	4441	58	6695	0.9881	0.3988	0.5683	10
Total	4795	4440	58	24048	0.988	0.1559	0.2693	12
INS	0	0	0	17352	NA	0	NA	12
DEL	4795	4440	58	6696	0.988	0.3987	0.5681	12
Total	4768	4420	57	24068	0.9882	0.1552	0.2683	14
INS	0	0	0	17352	NA	0	NA	14
DEL	4768	4420	57	6716	0.9882	0.3969	0.5663	14
Total	4661	4324	51	24164	0.9892	0.1518	0.2632	21
INS	0	0	0	17352	NA	0	NA	21
DEL	4661	4324	51	6812	0.9892	0.3883	0.5577	21
Total	4579	4252	50	24236	0.9892	0.1493	0.2594	27
INS	0	0	0	17352	NA	0	NA	27
DEL	4579	4252	50	6884	0.9892	0.3818	0.551	27
Total	4482	4180	46	24308	0.9898	0.1467	0.2555	35
INS	0	0	0	17352	NA	0	NA	35
DEL	4482	4180	46	6956	0.9898	0.3754	0.5443	35
Total	4358	4074	37	24414	0.9916	0.143	0.25	45
INS	0	0	0	17352	NA	0	NA	45
DEL	4358	4074	37	7062	0.9916	0.3658	0.5344	45
Total	4318	4028	36	24460	0.9917	0.1414	0.2475	50
INS	0	0	0	17352	NA	0	NA	50
DEL	4318	4028	36	7108	0.9917	0.3617	0.5301	50
Total	4183	3912	34	24576	0.9919	0.1373	0.2412	60
INS	0	0	0	17352	NA	0	NA	60
DEL	4183	3912	34	7224	0.9919	0.3513	0.5188	60
Total	3997	3756	28	24732	0.993	0.1318	0.2327	75
INS	0	0	0	17352	NA	0	NA	75
DEL	3997	3756	28	7380	0.993	0.3373	0.5036	75
Total	3800	3583	24	24905	0.9937	0.1258	0.2233	90
INS	0	0	0	17352	NA	0	NA	90
DEL	3800	3583	24	7553	0.9937	0.3217	0.486	90
Total	3727	3514	24	24974	0.9936	0.1234	0.2195	99
INS	0	0	0	17352	NA	0	NA	99
DEL	3727	3514	24	7622	0.9936	0.3156	0.479	99
Total	3634	3422	20	25066	0.9945	0.1201	0.2143	110
INS	0	0	0	17352	NA	0	NA	110
DEL	3634	3422	20	7714	0.9945	0.3073	0.4695	110
Total	3363	3169	17	25319	0.995	0.1112	0.2	133
INS	0	0	0	17352	NA	0	NA	133
DEL	3363	3169	17	7967	0.995	0.2846	0.4426	133
Total	3066	2867	15	25621	0.9951	0.1006	0.1827	167
INS	0	0	0	17352	NA	0	NA	167
DEL	3066	2867	15	8269	0.9951	0.2575	0.4091	167
Total	2847	2660	15	25828	0.9948	0.0934	0.1708	180
INS	0	0	0	17352	NA	0	NA	180
DEL	2847	2660	15	8476	0.9948	0.2389	0.3853	180
Total	2318	2165	9	26323	0.9961	0.076	0.1412	250
INS	0	0	0	17352	NA	0	NA	250
DEL	2318	2165	9	8971	0.9961	0.1944	0.3253	250
Total	1781	1677	5	26811	0.9972	0.0589	0.1112	350
INS	0	0	0	17352	NA	0	NA	350
DEL	1781	1677	5	9459	0.9972	0.1506	0.2617	350
Total	1340	1245	0	27243	1	0.0437	0.0837	450
INS	0	0	0	17352	NA	0	NA	450
DEL	1340	1245	0	9891	1	0.1118	0.2011	450
Total	998	927	0	27561	1	0.0325	0.063	550
INS	0	0	0	17352	NA	0	NA	550
DEL	998	927	0	10209	1	0.0832	0.1536	550
Total	775	715	0	27773	1	0.0251	0.049	650
INS	0	0	0	17352	NA	0	NA	650
DEL	775	715	0	10421	1	0.0642	0.1207	650
