type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3673	3332	865	21577	0.8094	0.1338	0.2296	0
INS	0	0	0	14744	NA	0	NA	0
DEL	3673	3332	865	6833	0.8094	0.3278	0.4666	0
Total	3673	3332	865	21577	0.8094	0.1338	0.2296	2
INS	0	0	0	14744	NA	0	NA	2
DEL	3673	3332	865	6833	0.8094	0.3278	0.4666	2
Total	3673	3332	865	21577	0.8094	0.1338	0.2296	3
INS	0	0	0	14744	NA	0	NA	3
DEL	3673	3332	865	6833	0.8094	0.3278	0.4666	3
Total	3673	3332	865	21577	0.8094	0.1338	0.2296	4
INS	0	0	0	14744	NA	0	NA	4
DEL	3673	3332	865	6833	0.8094	0.3278	0.4666	4
Total	3640	3294	860	21615	0.8089	0.1322	0.2273	5
INS	0	0	0	14744	NA	0	NA	5
DEL	3640	3294	860	6871	0.8089	0.3241	0.4628	5
Total	3607	3261	851	21648	0.8091	0.1309	0.2253	7
INS	0	0	0	14744	NA	0	NA	7
DEL	3607	3261	851	6904	0.8091	0.3208	0.4594	7
Total	3581	3230	848	21679	0.8085	0.1297	0.2235	10
INS	0	0	0	14744	NA	0	NA	10
DEL	3581	3230	848	6935	0.8085	0.3178	0.4563	10
Total	3581	3230	847	21679	0.8087	0.1297	0.2235	12
INS	0	0	0	14744	NA	0	NA	12
DEL	3581	3230	847	6935	0.8087	0.3178	0.4563	12
Total	3563	3212	841	21697	0.809	0.1289	0.2224	14
INS	0	0	0	14744	NA	0	NA	14
DEL	3563	3212	841	6953	0.809	0.316	0.4545	14
Total	3484	3133	822	21776	0.8091	0.1258	0.2177	21
INS	0	0	0	14744	NA	0	NA	21
DEL	3484	3133	822	7032	0.8091	0.3082	0.4464	21
Total	3421	3068	817	21841	0.8072	0.1232	0.2138	27
INS	0	0	0	14744	NA	0	NA	27
DEL	3421	3068	817	7097	0.8072	0.3018	0.4393	27
Total	3340	3000	800	21909	0.8068	0.1204	0.2095	35
INS	0	0	0	14744	NA	0	NA	35
DEL	3340	3000	800	7165	0.8068	0.2951	0.4321	35
Total	3250	2912	772	21997	0.8081	0.1169	0.2043	45
INS	0	0	0	14744	NA	0	NA	45
DEL	3250	2912	772	7253	0.8081	0.2865	0.423	45
Total	3221	2872	762	22037	0.8087	0.1153	0.2018	50
INS	0	0	0	14744	NA	0	NA	50
DEL	3221	2872	762	7293	0.8087	0.2825	0.4187	50
Total	3128	2775	744	22134	0.8079	0.1114	0.1958	60
INS	0	0	0	14744	NA	0	NA	60
DEL	3128	2775	744	7390	0.8079	0.273	0.4081	60
Total	2991	2641	703	22268	0.8097	0.106	0.1875	75
INS	0	0	0	14744	NA	0	NA	75
DEL	2991	2641	703	7524	0.8097	0.2598	0.3934	75
Total	2835	2502	675	22407	0.8077	0.1004	0.1786	90
INS	0	0	0	14744	NA	0	NA	90
DEL	2835	2502	675	7663	0.8077	0.2461	0.3773	90
Total	2778	2441	664	22468	0.8071	0.098	0.1748	99
INS	0	0	0	14744	NA	0	NA	99
DEL	2778	2441	664	7724	0.8071	0.2401	0.3701	99
Total	2715	2374	641	22535	0.809	0.0953	0.1705	110
INS	0	0	0	14744	NA	0	NA	110
DEL	2715	2374	641	7791	0.809	0.2335	0.3624	110
Total	2499	2177	592	22732	0.8085	0.0874	0.1577	133
INS	0	0	0	14744	NA	0	NA	133
DEL	2499	2177	592	7988	0.8085	0.2142	0.3387	133
Total	2256	1941	550	22968	0.804	0.0779	0.142	167
INS	0	0	0	14744	NA	0	NA	167
DEL	2256	1941	550	8224	0.804	0.1909	0.3085	167
Total	2073	1783	532	23126	0.7958	0.0716	0.1314	180
INS	0	0	0	14744	NA	0	NA	180
DEL	2073	1783	532	8382	0.7958	0.1754	0.2874	180
Total	1661	1403	450	23506	0.7868	0.0563	0.1051	250
INS	0	0	0	14744	NA	0	NA	250
DEL	1661	1403	450	8762	0.7868	0.138	0.2348	250
Total	1265	1033	362	23876	0.7775	0.0415	0.0788	350
INS	0	0	0	14744	NA	0	NA	350
DEL	1265	1033	362	9132	0.7775	0.1016	0.1797	350
Total	956	750	274	24159	0.7772	0.0301	0.058	450
INS	0	0	0	14744	NA	0	NA	450
DEL	956	750	274	9415	0.7772	0.0738	0.1348	450
Total	757	567	177	24342	0.8105	0.0228	0.0444	550
INS	0	0	0	14744	NA	0	NA	550
DEL	757	567	177	9598	0.8105	0.0558	0.1044	550
Total	621	440	117	24469	0.8415	0.0177	0.0347	650
INS	0	0	0	14744	NA	0	NA	650
DEL	621	440	117	9725	0.8415	0.0433	0.0824	650
