type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1915	1702	5	5141	0.9974	0.2487	0.3981	0
INS	0	0	0	4885	NA	0	NA	0
DEL	1915	1702	5	256	0.9974	0.8693	0.929	0
Total	1915	1702	5	5141	0.9974	0.2487	0.3981	2
INS	0	0	0	4885	NA	0	NA	2
DEL	1915	1702	5	256	0.9974	0.8693	0.929	2
Total	1915	1702	5	5141	0.9974	0.2487	0.3981	3
INS	0	0	0	4885	NA	0	NA	3
DEL	1915	1702	5	256	0.9974	0.8693	0.929	3
Total	1915	1702	5	5141	0.9974	0.2487	0.3981	4
INS	0	0	0	4885	NA	0	NA	4
DEL	1915	1702	5	256	0.9974	0.8693	0.929	4
Total	1905	1693	5	5150	0.9974	0.2474	0.3965	5
INS	0	0	0	4885	NA	0	NA	5
DEL	1905	1693	5	265	0.9974	0.8647	0.9263	5
Total	1894	1682	5	5161	0.9974	0.2458	0.3944	7
INS	0	0	0	4885	NA	0	NA	7
DEL	1894	1682	5	276	0.9974	0.859	0.923	7
Total	1885	1673	5	5170	0.9974	0.2445	0.3927	10
INS	0	0	0	4885	NA	0	NA	10
DEL	1885	1673	5	285	0.9974	0.8544	0.9204	10
Total	1884	1672	5	5171	0.9974	0.2443	0.3925	12
INS	0	0	0	4885	NA	0	NA	12
DEL	1884	1672	5	286	0.9974	0.8539	0.9201	12
Total	1878	1666	5	5177	0.9973	0.2435	0.3914	14
INS	0	0	0	4885	NA	0	NA	14
DEL	1878	1666	5	292	0.9973	0.8509	0.9183	14
Total	1851	1646	4	5197	0.9978	0.2405	0.3876	21
INS	0	0	0	4885	NA	0	NA	21
DEL	1851	1646	4	312	0.9978	0.8407	0.9125	21
Total	1823	1626	4	5217	0.9978	0.2376	0.3838	27
INS	0	0	0	4885	NA	0	NA	27
DEL	1823	1626	4	332	0.9978	0.8304	0.9064	27
Total	1791	1605	4	5238	0.9978	0.2345	0.3798	35
INS	0	0	0	4885	NA	0	NA	35
DEL	1791	1605	4	353	0.9978	0.8197	0.9	35
Total	1747	1570	2	5273	0.9989	0.2294	0.3731	45
INS	0	0	0	4885	NA	0	NA	45
DEL	1747	1570	2	388	0.9989	0.8018	0.8896	45
Total	1737	1562	2	5281	0.9988	0.2283	0.3717	50
INS	0	0	0	4885	NA	0	NA	50
DEL	1737	1562	2	396	0.9988	0.7978	0.8871	50
Total	1685	1524	2	5319	0.9988	0.2227	0.3642	60
INS	0	0	0	4885	NA	0	NA	60
DEL	1685	1524	2	434	0.9988	0.7783	0.8749	60
Total	1628	1478	2	5365	0.9988	0.216	0.3552	75
INS	0	0	0	4885	NA	0	NA	75
DEL	1628	1478	2	480	0.9988	0.7549	0.8599	75
Total	1552	1420	1	5423	0.9994	0.2075	0.3436	90
INS	0	0	0	4885	NA	0	NA	90
DEL	1552	1420	1	538	0.9994	0.7252	0.8405	90
Total	1521	1389	1	5454	0.9993	0.203	0.3374	99
INS	0	0	0	4885	NA	0	NA	99
DEL	1521	1389	1	569	0.9993	0.7094	0.8298	99
Total	1494	1367	1	5476	0.9993	0.1998	0.333	110
INS	0	0	0	4885	NA	0	NA	110
DEL	1494	1367	1	591	0.9993	0.6982	0.822	110
Total	1386	1274	1	5569	0.9993	0.1862	0.3139	133
INS	0	0	0	4885	NA	0	NA	133
DEL	1386	1274	1	684	0.9993	0.6507	0.7882	133
Total	1268	1164	1	5679	0.9992	0.1701	0.2907	167
INS	0	0	0	4885	NA	0	NA	167
DEL	1268	1164	1	794	0.9992	0.5945	0.7455	167
Total	1172	1084	1	5759	0.9991	0.1584	0.2734	180
INS	0	0	0	4885	NA	0	NA	180
DEL	1172	1084	1	874	0.9991	0.5536	0.7124	180
Total	933	873	1	5970	0.9989	0.1276	0.2263	250
INS	0	0	0	4885	NA	0	NA	250
DEL	933	873	1	1085	0.9989	0.4459	0.6166	250
Total	733	695	0	6148	1	0.1016	0.1845	350
INS	0	0	0	4885	NA	0	NA	350
DEL	733	695	0	1263	1	0.355	0.524	350
Total	529	486	0	6357	1	0.071	0.1326	450
INS	0	0	0	4885	NA	0	NA	450
DEL	529	486	0	1472	1	0.2482	0.3977	450
Total	403	379	0	6464	1	0.0554	0.105	550
INS	0	0	0	4885	NA	0	NA	550
DEL	403	379	0	1579	1	0.1936	0.3244	550
Total	323	307	0	6536	1	0.0449	0.0859	650
INS	0	0	0	4885	NA	0	NA	650
DEL	323	307	0	1651	1	0.1568	0.2711	650
