type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1546	1275	219	4417	0.8759	0.224	0.3568	0
INS	0	0	0	4001	NA	0	NA	0
DEL	1546	1275	219	416	0.8759	0.754	0.8104	0
Total	1546	1275	219	4417	0.8759	0.224	0.3568	2
INS	0	0	0	4001	NA	0	NA	2
DEL	1546	1275	219	416	0.8759	0.754	0.8104	2
Total	1546	1275	219	4417	0.8759	0.224	0.3568	3
INS	0	0	0	4001	NA	0	NA	3
DEL	1546	1275	219	416	0.8759	0.754	0.8104	3
Total	1546	1275	219	4417	0.8759	0.224	0.3568	4
INS	0	0	0	4001	NA	0	NA	4
DEL	1546	1275	219	416	0.8759	0.754	0.8104	4
Total	1537	1266	219	4426	0.8753	0.2224	0.3547	5
INS	0	0	0	4001	NA	0	NA	5
DEL	1537	1266	219	425	0.8753	0.7487	0.8071	5
Total	1528	1257	217	4435	0.8756	0.2208	0.3527	7
INS	0	0	0	4001	NA	0	NA	7
DEL	1528	1257	217	434	0.8756	0.7433	0.804	7
Total	1520	1248	216	4444	0.8756	0.2193	0.3508	10
INS	0	0	0	4001	NA	0	NA	10
DEL	1520	1248	216	443	0.8756	0.738	0.8009	10
Total	1520	1248	216	4444	0.8756	0.2193	0.3508	12
INS	0	0	0	4001	NA	0	NA	12
DEL	1520	1248	216	443	0.8756	0.738	0.8009	12
Total	1514	1242	216	4450	0.8751	0.2182	0.3493	14
INS	0	0	0	4001	NA	0	NA	14
DEL	1514	1242	216	449	0.8751	0.7345	0.7987	14
Total	1495	1226	212	4466	0.8758	0.2154	0.3458	21
INS	0	0	0	4001	NA	0	NA	21
DEL	1495	1226	212	465	0.8758	0.725	0.7933	21
Total	1473	1207	211	4485	0.8747	0.2121	0.3414	27
INS	0	0	0	4001	NA	0	NA	27
DEL	1473	1207	211	484	0.8747	0.7138	0.7861	27
Total	1447	1188	207	4504	0.8748	0.2087	0.337	35
INS	0	0	0	4001	NA	0	NA	35
DEL	1447	1188	207	503	0.8748	0.7025	0.7792	35
Total	1417	1159	198	4533	0.8774	0.2036	0.3305	45
INS	0	0	0	4001	NA	0	NA	45
DEL	1417	1159	198	532	0.8774	0.6854	0.7696	45
Total	1409	1151	197	4541	0.8773	0.2022	0.3287	50
INS	0	0	0	4001	NA	0	NA	50
DEL	1409	1151	197	540	0.8773	0.6807	0.7666	50
Total	1377	1120	190	4572	0.8787	0.1968	0.3216	60
INS	0	0	0	4001	NA	0	NA	60
DEL	1377	1120	190	571	0.8787	0.6623	0.7553	60
Total	1331	1077	180	4615	0.8809	0.1892	0.3115	75
INS	0	0	0	4001	NA	0	NA	75
DEL	1331	1077	180	614	0.8809	0.6369	0.7393	75
Total	1276	1030	167	4662	0.8843	0.181	0.3005	90
INS	0	0	0	4001	NA	0	NA	90
DEL	1276	1030	167	661	0.8843	0.6091	0.7213	90
Total	1249	1002	163	4690	0.8846	0.176	0.2936	99
INS	0	0	0	4001	NA	0	NA	99
DEL	1249	1002	163	689	0.8846	0.5925	0.7097	99
Total	1230	983	159	4709	0.8855	0.1727	0.289	110
INS	0	0	0	4001	NA	0	NA	110
DEL	1230	983	159	708	0.8855	0.5813	0.7019	110
Total	1138	899	142	4793	0.8891	0.1579	0.2682	133
INS	0	0	0	4001	NA	0	NA	133
DEL	1138	899	142	792	0.8891	0.5316	0.6654	133
Total	1044	812	128	4880	0.8908	0.1427	0.246	167
INS	0	0	0	4001	NA	0	NA	167
DEL	1044	812	128	879	0.8908	0.4802	0.624	167
Total	965	751	119	4941	0.8902	0.1319	0.2298	180
INS	0	0	0	4001	NA	0	NA	180
DEL	965	751	119	940	0.8902	0.4441	0.5926	180
Total	777	592	88	5100	0.8983	0.104	0.1864	250
INS	0	0	0	4001	NA	0	NA	250
DEL	777	592	88	1099	0.8983	0.3501	0.5038	250
Total	619	467	63	5225	0.9076	0.082	0.1504	350
INS	0	0	0	4001	NA	0	NA	350
DEL	619	467	63	1224	0.9076	0.2762	0.4235	350
Total	447	324	45	5368	0.9085	0.0569	0.1071	450
INS	0	0	0	4001	NA	0	NA	450
DEL	447	324	45	1367	0.9085	0.1916	0.3165	450
Total	349	243	30	5449	0.9208	0.0427	0.0816	550
INS	0	0	0	4001	NA	0	NA	550
DEL	349	243	30	1448	0.9208	0.1437	0.2486	550
Total	293	193	18	5499	0.9421	0.0339	0.0654	650
INS	0	0	0	4001	NA	0	NA	650
DEL	293	193	18	1498	0.9421	0.1141	0.2035	650
