type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	25119	26198	1512	2290	0.9432	0.9196	0.9313	0
INS	15870	16497	1243	855	0.9274	0.9507	0.9389	0
DEL	9249	9701	269	1435	0.9717	0.8711	0.9187	0
Total	25024	26116	1333	2372	0.9494	0.9167	0.9328	2
INS	15783	16423	1067	929	0.9367	0.9465	0.9416	2
DEL	9241	9693	266	1443	0.972	0.8704	0.9184	2
Total	25004	26099	1323	2389	0.9497	0.9161	0.9326	3
INS	15770	16410	1058	942	0.9371	0.9457	0.9414	3
DEL	9234	9689	265	1447	0.9721	0.8701	0.9183	3
Total	24978	26071	1307	2417	0.9503	0.9152	0.9324	4
INS	15751	16393	1045	959	0.9378	0.9447	0.9412	4
DEL	9227	9678	262	1458	0.9724	0.8691	0.9179	4
Total	24955	26049	1297	2439	0.9506	0.9144	0.9321	5
INS	15736	16380	1036	972	0.9382	0.944	0.9411	5
DEL	9219	9669	261	1467	0.9725	0.8683	0.9175	5
Total	24916	26012	1267	2476	0.9516	0.9131	0.932	7
INS	15714	16361	1009	991	0.9397	0.9429	0.9413	7
DEL	9202	9651	258	1485	0.9727	0.8666	0.9166	7
Total	24860	25958	1232	2530	0.9528	0.9112	0.9315	10
INS	15682	16333	976	1019	0.9414	0.9413	0.9413	10
DEL	9178	9625	256	1511	0.9729	0.8643	0.9154	10
Total	24826	25922	1213	2566	0.9534	0.9099	0.9311	12
INS	15662	16313	959	1039	0.9423	0.9401	0.9412	12
DEL	9164	9609	254	1527	0.973	0.8629	0.9146	12
Total	24784	25882	1200	2606	0.9538	0.9085	0.9306	14
INS	15630	16285	948	1067	0.9428	0.9385	0.9406	14
DEL	9154	9597	252	1539	0.9732	0.8618	0.9141	14
Total	24633	25731	1135	2757	0.956	0.9032	0.9289	21
INS	15531	16198	892	1154	0.9457	0.9335	0.9396	21
DEL	9102	9533	243	1603	0.974	0.8561	0.9113	21
Total	24507	25613	1081	2875	0.9578	0.8991	0.9275	27
INS	15457	16132	849	1220	0.9479	0.9297	0.9387	27
DEL	9050	9481	232	1655	0.975	0.8514	0.909	27
Total	24332	25448	1012	3040	0.9601	0.8933	0.9255	35
INS	15339	16028	796	1324	0.9507	0.9237	0.937	35
DEL	8993	9420	216	1716	0.9765	0.8459	0.9065	35
Total	24049	25174	937	3314	0.9625	0.8837	0.9214	45
INS	15151	15859	743	1493	0.9533	0.914	0.9332	45
DEL	8898	9315	194	1821	0.9787	0.8365	0.902	45
Total	23891	25039	898	3449	0.9638	0.8789	0.9194	50
INS	15031	15760	709	1592	0.955	0.9083	0.9311	50
DEL	8860	9279	189	1857	0.9791	0.8332	0.9003	50
Total	23629	24799	829	3689	0.9661	0.8705	0.9158	60
INS	14866	15629	650	1723	0.9581	0.9007	0.9285	60
DEL	8763	9170	179	1966	0.98	0.8235	0.895	60
Total	23101	24317	713	4171	0.9701	0.8536	0.9081	75
INS	14531	15343	564	2009	0.9626	0.8842	0.9217	75
DEL	8570	8974	149	2162	0.9829	0.8059	0.8856	75
Total	22538	23807	611	4681	0.9736	0.8357	0.8994	90
INS	14178	15065	475	2287	0.9676	0.8682	0.9152	90
DEL	8360	8742	136	2394	0.984	0.785	0.8733	90
Total	22198	23499	543	4989	0.9761	0.8249	0.8942	99
INS	13952	14869	417	2483	0.971	0.8569	0.9104	99
DEL	8246	8630	126	2506	0.9849	0.775	0.8674	99
Total	21683	23032	476	5456	0.9785	0.8085	0.8854	110
INS	13619	14592	365	2760	0.9739	0.8409	0.9025	110
DEL	8064	8440	111	2696	0.9864	0.7579	0.8572	110
Total	20552	21955	374	6533	0.9821	0.7707	0.8637	133
INS	12907	13971	283	3381	0.9785	0.8052	0.8834	133
DEL	7645	7984	91	3152	0.9882	0.717	0.831	133
Total	18610	20109	246	8379	0.987	0.7059	0.8231	167
INS	11667	12865	187	4487	0.9842	0.7414	0.8457	167
DEL	6943	7244	59	3892	0.9916	0.6505	0.7856	167
Total	17802	19326	215	9162	0.9881	0.6784	0.8045	180
INS	11156	12394	166	4958	0.9853	0.7143	0.8282	180
DEL	6646	6932	49	4204	0.9927	0.6225	0.7652	180
Total	13071	14608	100	13880	0.9924	0.5128	0.6762	250
INS	8198	9545	81	7807	0.9902	0.5501	0.7073	250
DEL	4873	5063	19	6073	0.9961	0.4547	0.6244	250
Total	7191	8398	31	20090	0.9957	0.2948	0.4549	350
INS	4584	5710	28	11642	0.9939	0.3291	0.4945	350
DEL	2607	2688	3	8448	0.9989	0.2414	0.3888	350
Total	4157	5066	10	23422	0.9976	0.1778	0.3018	450
INS	2773	3655	9	13697	0.9968	0.2106	0.3477	450
DEL	1384	1411	1	9725	0.9993	0.1267	0.2249	450
Total	2873	3556	5	24932	0.9983	0.1248	0.2219	550
INS	1990	2666	4	14686	0.998	0.1536	0.2662	550
DEL	883	890	1	10246	0.9989	0.0799	0.148	550
Total	1989	2457	2	26031	0.999	0.0862	0.1587	650
INS	1451	1918	2	15434	0.9986	0.1105	0.199	650
DEL	538	539	0	10597	1	0.0484	0.0923	650
