type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	19630	19781	4739	5128	0.8055	0.7941	0.7998	0
INS	12025	11942	3582	2802	0.7705	0.81	0.7898	0
DEL	7605	7839	1157	2326	0.868	0.7712	0.8167	0
Total	19570	19725	4537	5184	0.8118	0.7919	0.8017	2
INS	11969	11889	3387	2855	0.7794	0.8064	0.7927	2
DEL	7601	7836	1150	2329	0.8686	0.7709	0.8168	2
Total	19559	19718	4519	5191	0.8123	0.7916	0.8018	3
INS	11962	11884	3372	2860	0.7801	0.806	0.7928	3
DEL	7597	7834	1147	2331	0.8688	0.7707	0.8168	3
Total	19542	19699	4495	5210	0.813	0.7908	0.8017	4
INS	11951	11875	3352	2869	0.781	0.8054	0.793	4
DEL	7591	7824	1143	2341	0.8691	0.7697	0.8164	4
Total	19531	19689	4473	5220	0.8137	0.7904	0.8019	5
INS	11944	11869	3335	2875	0.7817	0.805	0.7932	5
DEL	7587	7820	1138	2345	0.8696	0.7693	0.8164	5
Total	19512	19670	4428	5239	0.815	0.7897	0.8022	7
INS	11935	11861	3299	2883	0.7834	0.8045	0.7938	7
DEL	7577	7809	1129	2356	0.8703	0.7682	0.8161	7
Total	19483	19640	4374	5269	0.8167	0.7885	0.8024	10
INS	11920	11847	3254	2897	0.7856	0.8035	0.7944	10
DEL	7563	7793	1120	2372	0.871	0.7667	0.8155	10
Total	19460	19613	4346	5296	0.8174	0.7874	0.8021	12
INS	11908	11833	3231	2911	0.7866	0.8026	0.7945	12
DEL	7552	7780	1115	2385	0.8714	0.7654	0.815	12
Total	19438	19587	4317	5322	0.8183	0.7863	0.802	14
INS	11894	11817	3206	2927	0.7877	0.8015	0.7945	14
DEL	7544	7770	1111	2395	0.8716	0.7644	0.8145	14
Total	19347	19488	4203	5421	0.8215	0.7824	0.8015	21
INS	11842	11766	3111	2978	0.7919	0.798	0.7949	21
DEL	7505	7722	1092	2443	0.873	0.7597	0.8124	21
Total	19264	19415	4115	5494	0.824	0.7794	0.8011	27
INS	11797	11730	3046	3014	0.7948	0.7956	0.7952	27
DEL	7467	7685	1069	2480	0.8748	0.756	0.8111	27
Total	19154	19303	4001	5606	0.8272	0.7749	0.8002	35
INS	11721	11653	2965	3091	0.7981	0.7904	0.7942	35
DEL	7433	7650	1036	2515	0.8777	0.7526	0.8104	35
Total	18972	19118	3856	5791	0.8311	0.7675	0.798	45
INS	11598	11535	2872	3209	0.8015	0.7824	0.7918	45
DEL	7374	7583	984	2582	0.8823	0.746	0.8084	45
Total	18870	19019	3789	5890	0.8328	0.7635	0.7966	50
INS	11524	11463	2817	3281	0.8036	0.7775	0.7903	50
DEL	7346	7556	972	2609	0.8831	0.7433	0.8072	50
Total	18686	18834	3674	6075	0.8357	0.7561	0.7939	60
INS	11407	11351	2734	3393	0.8067	0.7699	0.7879	60
DEL	7279	7483	940	2682	0.8856	0.7362	0.804	60
Total	18338	18480	3447	6429	0.8418	0.7419	0.7887	75
INS	11187	11127	2588	3617	0.8121	0.7547	0.7823	75
DEL	7151	7353	859	2812	0.8928	0.7234	0.7992	75
Total	17958	18086	3236	6823	0.8473	0.7261	0.782	90
INS	10950	10889	2435	3855	0.8181	0.7385	0.7763	90
DEL	7008	7197	801	2968	0.8974	0.708	0.7915	90
Total	17750	17878	3072	7031	0.8525	0.7177	0.7793	99
INS	10817	10763	2312	3981	0.8239	0.73	0.7741	99
DEL	6933	7115	760	3050	0.9012	0.7	0.788	99
Total	17418	17533	2905	7376	0.8571	0.7039	0.773	110
INS	10613	10559	2189	4185	0.829	0.7162	0.7685	110
DEL	6805	6974	716	3191	0.9048	0.6861	0.7804	110
Total	16607	16695	2613	8214	0.864	0.6702	0.7549	133
INS	10118	10065	1979	4679	0.8364	0.6827	0.7518	133
DEL	6489	6630	634	3535	0.911	0.6522	0.7602	133
Total	15137	15219	2233	9690	0.8714	0.611	0.7183	167
INS	9206	9169	1709	5575	0.8434	0.6219	0.7159	167
DEL	5931	6050	524	4115	0.9188	0.5952	0.7224	167
Total	14519	14596	2117	10313	0.8727	0.586	0.7012	180
INS	8835	8805	1628	5939	0.8444	0.5972	0.6996	180
DEL	5684	5791	489	4374	0.9208	0.5697	0.7039	180
Total	10746	10811	1498	14098	0.8777	0.434	0.5808	250
INS	6464	6458	1208	8286	0.8425	0.438	0.5764	250
DEL	4282	4353	290	5812	0.9366	0.4282	0.5877	250
Total	6004	6019	869	18890	0.8736	0.2416	0.3785	350
INS	3585	3577	766	11167	0.8239	0.2426	0.3748	350
DEL	2419	2442	103	7723	0.9592	0.2402	0.3842	350
Total	3560	3561	476	21348	0.8821	0.143	0.2461	450
INS	2230	2229	431	12515	0.838	0.1512	0.2562	450
DEL	1330	1332	45	8833	0.9673	0.131	0.2307	450
Total	2569	2568	235	22341	0.9162	0.1031	0.1853	550
INS	1695	1694	227	13050	0.8819	0.1149	0.2033	550
DEL	874	874	8	9291	0.9909	0.086	0.1583	550
Total	1826	1828	112	23081	0.9422	0.0734	0.1362	650
INS	1289	1291	111	13453	0.9207	0.0876	0.16	650
DEL	537	537	1	9628	0.9981	0.0528	0.1003	650
