type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6065	6626	136	217	0.9781	0.9683	0.9732	0
INS	4237	4746	133	139	0.9696	0.9715	0.9705	0
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	0
Total	6063	6624	129	219	0.9792	0.968	0.9736	2
INS	4235	4744	126	141	0.9711	0.9711	0.9711	2
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	2
Total	6063	6624	129	219	0.9792	0.968	0.9736	3
INS	4235	4744	126	141	0.9711	0.9711	0.9711	3
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	3
Total	6063	6624	129	219	0.9792	0.968	0.9736	4
INS	4235	4744	126	141	0.9711	0.9711	0.9711	4
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	4
Total	6063	6624	129	219	0.9792	0.968	0.9736	5
INS	4235	4744	126	141	0.9711	0.9711	0.9711	5
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	5
Total	6063	6624	127	219	0.9795	0.968	0.9737	7
INS	4235	4744	124	141	0.9716	0.9711	0.9713	7
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	7
Total	6059	6620	125	223	0.9798	0.9674	0.9736	10
INS	4231	4740	122	145	0.972	0.9703	0.9711	10
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	10
Total	6058	6619	122	224	0.9803	0.9673	0.9738	12
INS	4230	4739	119	146	0.9726	0.9701	0.9713	12
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	12
Total	6058	6619	122	224	0.9803	0.9673	0.9738	14
INS	4230	4739	119	146	0.9726	0.9701	0.9713	14
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	14
Total	6048	6610	117	233	0.981	0.966	0.9734	21
INS	4220	4730	114	155	0.9737	0.9683	0.971	21
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	21
Total	6046	6604	111	239	0.982	0.9651	0.9735	27
INS	4218	4724	108	161	0.975	0.967	0.971	27
DEL	1828	1880	3	78	0.9984	0.9602	0.9789	27
Total	6031	6586	106	257	0.9827	0.9624	0.9724	35
INS	4206	4712	103	173	0.9761	0.9646	0.9703	35
DEL	1825	1874	3	84	0.9984	0.9571	0.9773	35
Total	6015	6574	99	269	0.9838	0.9607	0.9721	45
INS	4191	4701	97	184	0.9774	0.9623	0.9698	45
DEL	1824	1873	2	85	0.9989	0.9566	0.9773	45
Total	5997	6563	96	280	0.9842	0.9591	0.9715	50
INS	4173	4690	94	195	0.978	0.9601	0.969	50
DEL	1824	1873	2	85	0.9989	0.9566	0.9773	50
Total	5988	6551	89	292	0.9854	0.9573	0.9711	60
INS	4167	4681	87	204	0.9795	0.9582	0.9687	60
DEL	1821	1870	2	88	0.9989	0.9551	0.9765	60
Total	5938	6509	78	334	0.987	0.9512	0.9688	75
INS	4124	4644	76	241	0.9819	0.9507	0.966	75
DEL	1814	1865	2	93	0.9989	0.9525	0.9751	75
Total	5897	6474	67	369	0.9888	0.9461	0.967	90
INS	4093	4620	65	265	0.9844	0.9458	0.9647	90
DEL	1804	1854	2	104	0.9989	0.9469	0.9722	90
Total	5869	6453	58	390	0.9902	0.943	0.966	99
INS	4068	4602	56	283	0.9864	0.9421	0.9637	99
DEL	1801	1851	2	107	0.9989	0.9454	0.9714	99
Total	5806	6407	50	436	0.9915	0.9363	0.9631	110
INS	4018	4568	48	317	0.9882	0.9351	0.9609	110
DEL	1788	1839	2	119	0.9989	0.9392	0.9681	110
Total	5682	6301	42	542	0.9927	0.9208	0.9554	133
INS	3919	4489	40	396	0.9899	0.9189	0.9531	133
DEL	1763	1812	2	146	0.9989	0.9254	0.9607	133
Total	5414	6048	28	795	0.9949	0.8838	0.9361	167
INS	3716	4302	26	583	0.9931	0.8807	0.9335	167
DEL	1698	1746	2	212	0.9988	0.8917	0.9422	167
Total	5272	5907	24	936	0.9955	0.8632	0.9246	180
INS	3618	4209	22	676	0.994	0.8616	0.9231	180
DEL	1654	1698	2	260	0.9988	0.8672	0.9284	180
Total	4237	4891	10	1952	0.9976	0.7147	0.8328	250
INS	2927	3544	10	1341	0.9966	0.7255	0.8397	250
DEL	1310	1347	0	611	1	0.6879	0.8151	250
Total	2647	3247	3	3596	0.9989	0.4745	0.6434	350
INS	1890	2468	3	2417	0.9984	0.5052	0.6709	350
DEL	757	779	0	1179	1	0.3979	0.5693	350
Total	1741	2252	2	4591	0.9989	0.3291	0.4951	450
INS	1338	1839	2	3046	0.9985	0.3765	0.5468	450
DEL	403	413	0	1545	1	0.2109	0.3483	450
Total	1307	1699	1	5144	0.9992	0.2483	0.3978	550
INS	1035	1425	1	3460	0.999	0.2917	0.4516	550
DEL	272	274	0	1684	1	0.1399	0.2455	550
Total	968	1236	0	5607	1	0.1806	0.3059	650
INS	794	1062	0	3823	1	0.2174	0.3572	650
DEL	174	174	0	1784	1	0.0889	0.1633	650
