type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5127	5109	566	583	0.9006	0.8976	0.8991	0
INS	3578	3554	515	447	0.8742	0.8883	0.8812	0
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	0
Total	5127	5109	557	583	0.902	0.8976	0.8998	2
INS	3578	3554	506	447	0.8761	0.8883	0.8822	2
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	2
Total	5127	5109	557	583	0.902	0.8976	0.8998	3
INS	3578	3554	506	447	0.8761	0.8883	0.8822	3
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	3
Total	5127	5109	557	583	0.902	0.8976	0.8998	4
INS	3578	3554	506	447	0.8761	0.8883	0.8822	4
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	4
Total	5127	5109	557	583	0.902	0.8976	0.8998	5
INS	3578	3554	506	447	0.8761	0.8883	0.8822	5
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	5
Total	5127	5109	555	583	0.9023	0.8976	0.8999	7
INS	3578	3554	504	447	0.8765	0.8883	0.8824	7
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	7
Total	5126	5108	550	584	0.9031	0.8974	0.9002	10
INS	3577	3553	499	448	0.8776	0.888	0.8828	10
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	10
Total	5125	5107	547	585	0.9036	0.8972	0.9004	12
INS	3576	3552	496	449	0.8782	0.8878	0.883	12
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	12
Total	5125	5107	547	585	0.9036	0.8972	0.9004	14
INS	3576	3552	496	449	0.8782	0.8878	0.883	14
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	14
Total	5120	5103	538	589	0.9049	0.8965	0.9007	21
INS	3571	3548	487	453	0.88	0.8868	0.8834	21
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	21
Total	5118	5101	532	591	0.9058	0.8962	0.901	27
INS	3569	3546	481	455	0.8812	0.8863	0.8837	27
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	27
Total	5110	5093	522	599	0.9073	0.8948	0.901	35
INS	3561	3538	474	463	0.8825	0.8843	0.8834	35
DEL	1549	1555	48	136	0.9699	0.9196	0.9441	35
Total	5104	5087	508	605	0.9095	0.8937	0.9015	45
INS	3555	3532	462	469	0.885	0.8828	0.8839	45
DEL	1549	1555	46	136	0.9712	0.9196	0.9447	45
Total	5093	5077	503	615	0.9101	0.892	0.901	50
INS	3544	3522	457	479	0.8858	0.8803	0.883	50
DEL	1549	1555	46	136	0.9712	0.9196	0.9447	50
Total	5083	5065	496	627	0.9111	0.8898	0.9003	60
INS	3537	3513	450	488	0.8871	0.878	0.8825	60
DEL	1546	1552	46	139	0.9711	0.9178	0.9437	60
Total	5054	5037	473	655	0.9144	0.8849	0.8994	75
INS	3510	3487	430	514	0.8909	0.8715	0.8811	75
DEL	1544	1550	43	141	0.9729	0.9166	0.9439	75
Total	5031	5017	453	675	0.9174	0.8814	0.899	90
INS	3492	3472	412	529	0.8945	0.8678	0.8809	90
DEL	1539	1545	41	146	0.9741	0.9137	0.9429	90
Total	5016	5002	435	690	0.9202	0.8788	0.899	99
INS	3479	3459	395	542	0.898	0.8645	0.8809	99
DEL	1537	1543	40	148	0.9746	0.9125	0.9425	99
Total	4983	4969	413	723	0.9235	0.873	0.8975	110
INS	3455	3435	374	566	0.9023	0.8585	0.8799	110
DEL	1528	1534	39	157	0.9751	0.9072	0.9399	110
Total	4897	4883	381	809	0.9278	0.8579	0.8915	133
INS	3388	3368	344	633	0.9078	0.8418	0.8736	133
DEL	1509	1515	37	176	0.9761	0.8959	0.9343	133
Total	4679	4668	336	1024	0.933	0.8201	0.8729	167
INS	3218	3201	302	800	0.9142	0.8	0.8533	167
DEL	1461	1467	34	224	0.9773	0.8675	0.9191	167
Total	4569	4558	319	1134	0.9347	0.8008	0.8626	180
INS	3143	3129	287	872	0.9163	0.7821	0.8439	180
DEL	1426	1429	32	262	0.9781	0.8451	0.9067	180
Total	3732	3734	243	1958	0.9389	0.656	0.7724	250
INS	2570	2569	221	1432	0.9208	0.6421	0.7566	250
DEL	1162	1165	22	526	0.9814	0.6889	0.8095	250
Total	2383	2386	156	3306	0.9386	0.4192	0.5796	350
INS	1677	1679	141	2322	0.9224	0.4196	0.5768	350
DEL	706	707	15	984	0.9792	0.4181	0.586	350
Total	1584	1587	99	4105	0.9412	0.2788	0.4302	450
INS	1191	1194	94	2807	0.9268	0.2984	0.4514	450
DEL	393	393	5	1298	0.9874	0.2324	0.3762	450
Total	1218	1218	51	4474	0.9598	0.214	0.35	550
INS	948	948	50	3053	0.9499	0.2369	0.3792	550
DEL	270	270	1	1421	0.9963	0.1597	0.2753	550
Total	910	911	30	4781	0.9681	0.16	0.2746	650
INS	737	738	29	3263	0.9621	0.1845	0.3096	650
DEL	173	173	1	1518	0.9943	0.1023	0.1855	650
