type	size	FN	FP	TP	TP.baseline	precision	recall	F1	exp	method	sample	region	eval	min.cov
DEL	(100,200]	373	68	665	665	0.9072	0.6407	0.751	chmpd	smrtsv	chmpd	all	call	0.5
DEL	(1e+03,2.5e+03]	62	4	200	200	0.9804	0.7634	0.8584	chmpd	smrtsv	chmpd	all	call	0.5
DEL	(2.5e+03,5e+03]	30	1	101	101	0.9902	0.771	0.867	chmpd	smrtsv	chmpd	all	call	0.5
DEL	(200,300]	117	16	239	239	0.9373	0.6713	0.7823	chmpd	smrtsv	chmpd	all	call	0.5
DEL	(300,400]	177	16	686	686	0.9772	0.7949	0.8767	chmpd	smrtsv	chmpd	all	call	0.5
DEL	(400,600]	50	1	99	99	0.99	0.6644	0.7952	chmpd	smrtsv	chmpd	all	call	0.5
DEL	(5e+03,Inf]	42	0	88	88	1	0.6769	0.8073	chmpd	smrtsv	chmpd	all	call	0.5
DEL	(600,800]	49	6	57	57	0.9048	0.5377	0.6745	chmpd	smrtsv	chmpd	all	call	0.5
DEL	(800,1e+03]	26	1	51	51	0.9808	0.6623	0.7907	chmpd	smrtsv	chmpd	all	call	0.5
DEL	[50,100]	672	121	1461	1460	0.9235	0.6848	0.7864	chmpd	smrtsv	chmpd	all	call	0.5
INS	(100,200]	453	78	950	949	0.9241	0.6769	0.7814	chmpd	smrtsv	chmpd	all	call	0.5
INS	(1e+03,2.5e+03]	172	9	316	316	0.9723	0.6475	0.7773	chmpd	smrtsv	chmpd	all	call	0.5
INS	(2.5e+03,5e+03]	93	3	136	136	0.9784	0.5939	0.7391	chmpd	smrtsv	chmpd	all	call	0.5
INS	(200,300]	197	34	388	388	0.9194	0.6632	0.7706	chmpd	smrtsv	chmpd	all	call	0.5
INS	(300,400]	275	22	735	735	0.9709	0.7277	0.8319	chmpd	smrtsv	chmpd	all	call	0.5
INS	(400,600]	153	14	282	282	0.9527	0.6483	0.7716	chmpd	smrtsv	chmpd	all	call	0.5
INS	(5e+03,Inf]	77	4	60	60	0.9375	0.438	0.5971	chmpd	smrtsv	chmpd	all	call	0.5
INS	(600,800]	100	10	197	197	0.9517	0.6633	0.7817	chmpd	smrtsv	chmpd	all	call	0.5
INS	(800,1e+03]	50	3	124	124	0.9764	0.7126	0.8239	chmpd	smrtsv	chmpd	all	call	0.5
INS	[50,100]	780	188	1730	1729	0.902	0.6891	0.7813	chmpd	smrtsv	chmpd	all	call	0.5
DEL	(100,200]	464	158	571	571	0.7833	0.5517	0.6474	chmpd	smrtsv	chmpd	all	geno	0.5
