type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
Total	8581	8578	635	3932	0.9311	0.6857	0.7898	0	chmpd	smrtsv	chmpd	all	call	0.5
INS	4924	4922	393	2344	0.9261	0.6774	0.7825	0	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3657	3656	242	1588	0.9379	0.6972	0.7998	0	chmpd	smrtsv	chmpd	all	call	0.5
Total	8581	8578	635	3932	0.9311	0.6857	0.7898	2	chmpd	smrtsv	chmpd	all	call	0.5
INS	4924	4922	393	2344	0.9261	0.6774	0.7825	2	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3657	3656	242	1588	0.9379	0.6972	0.7998	2	chmpd	smrtsv	chmpd	all	call	0.5
Total	8579	8576	633	3934	0.9313	0.6855	0.7897	3	chmpd	smrtsv	chmpd	all	call	0.5
INS	4924	4922	392	2344	0.9263	0.6774	0.7825	3	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3655	3654	241	1590	0.9381	0.6968	0.7996	3	chmpd	smrtsv	chmpd	all	call	0.5
Total	8565	8562	599	3948	0.9346	0.6844	0.7902	4	chmpd	smrtsv	chmpd	all	call	0.5
INS	4918	4916	365	2350	0.9309	0.6766	0.7836	4	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3647	3646	234	1598	0.9397	0.6953	0.7992	4	chmpd	smrtsv	chmpd	all	call	0.5
Total	8482	8479	514	4031	0.9429	0.6778	0.7887	5	chmpd	smrtsv	chmpd	all	call	0.5
INS	4861	4859	303	2407	0.9413	0.6687	0.7819	5	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3621	3620	211	1624	0.9449	0.6903	0.7978	5	chmpd	smrtsv	chmpd	all	call	0.5
Total	8340	8337	452	4173	0.9486	0.6664	0.7828	7	chmpd	smrtsv	chmpd	all	call	0.5
INS	4790	4788	270	2478	0.9466	0.659	0.777	7	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3550	3549	182	1695	0.9512	0.6768	0.7909	7	chmpd	smrtsv	chmpd	all	call	0.5
Total	8145	8143	394	4367	0.9539	0.6509	0.7738	10	chmpd	smrtsv	chmpd	all	call	0.5
INS	4666	4664	237	2602	0.9517	0.6419	0.7667	10	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3479	3479	157	1765	0.9568	0.6634	0.7835	10	chmpd	smrtsv	chmpd	all	call	0.5
Total	8033	8031	371	4479	0.9559	0.642	0.7681	12	chmpd	smrtsv	chmpd	all	call	0.5
INS	4601	4599	222	2667	0.954	0.6329	0.761	12	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3432	3432	149	1812	0.9584	0.6545	0.7778	12	chmpd	smrtsv	chmpd	all	call	0.5
Total	8032	8030	370	4480	0.956	0.6419	0.7681	14	chmpd	smrtsv	chmpd	all	call	0.5
INS	4600	4598	221	2668	0.9542	0.6328	0.761	14	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3432	3432	149	1812	0.9584	0.6545	0.7778	14	chmpd	smrtsv	chmpd	all	call	0.5
Total	7984	7982	357	4528	0.9572	0.638	0.7657	21	chmpd	smrtsv	chmpd	all	call	0.5
INS	4573	4571	214	2695	0.9553	0.6291	0.7586	21	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3411	3411	143	1833	0.9598	0.6505	0.7754	21	chmpd	smrtsv	chmpd	all	call	0.5
Total	7983	7981	357	4529	0.9572	0.638	0.7657	27	chmpd	smrtsv	chmpd	all	call	0.5
INS	4573	4571	214	2695	0.9553	0.6291	0.7586	27	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3410	3410	143	1834	0.9598	0.6503	0.7753	27	chmpd	smrtsv	chmpd	all	call	0.5
Total	7983	7981	357	4529	0.9572	0.638	0.7657	35	chmpd	smrtsv	chmpd	all	call	0.5
INS	4573	4571	214	2695	0.9553	0.6291	0.7586	35	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3410	3410	143	1834	0.9598	0.6503	0.7753	35	chmpd	smrtsv	chmpd	all	call	0.5
Total	7983	7981	357	4529	0.9572	0.638	0.7657	45	chmpd	smrtsv	chmpd	all	call	0.5
INS	4573	4571	214	2695	0.9553	0.6291	0.7586	45	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3410	3410	143	1834	0.9598	0.6503	0.7753	45	chmpd	smrtsv	chmpd	all	call	0.5
Total	7983	7981	357	4529	0.9572	0.638	0.7657	50	chmpd	smrtsv	chmpd	all	call	0.5
INS	4573	4571	214	2695	0.9553	0.6291	0.7586	50	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3410	3410	143	1834	0.9598	0.6503	0.7753	50	chmpd	smrtsv	chmpd	all	call	0.5
Total	7983	7981	357	4529	0.9572	0.638	0.7657	60	chmpd	smrtsv	chmpd	all	call	0.5
INS	4573	4571	214	2695	0.9553	0.6291	0.7586	60	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3410	3410	143	1834	0.9598	0.6503	0.7753	60	chmpd	smrtsv	chmpd	all	call	0.5
Total	7983	7981	357	4529	0.9572	0.638	0.7657	75	chmpd	smrtsv	chmpd	all	call	0.5
INS	4573	4571	214	2695	0.9553	0.6291	0.7586	75	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3410	3410	143	1834	0.9598	0.6503	0.7753	75	chmpd	smrtsv	chmpd	all	call	0.5
Total	7983	7981	357	4529	0.9572	0.638	0.7657	90	chmpd	smrtsv	chmpd	all	call	0.5
INS	4573	4571	214	2695	0.9553	0.6291	0.7586	90	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3410	3410	143	1834	0.9598	0.6503	0.7753	90	chmpd	smrtsv	chmpd	all	call	0.5
Total	7983	7981	357	4529	0.9572	0.638	0.7657	99	chmpd	smrtsv	chmpd	all	call	0.5
INS	4573	4571	214	2695	0.9553	0.6291	0.7586	99	chmpd	smrtsv	chmpd	all	call	0.5
DEL	3410	3410	143	1834	0.9598	0.6503	0.7753	99	chmpd	smrtsv	chmpd	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	110	chmpd	smrtsv	chmpd	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	133	chmpd	smrtsv	chmpd	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	167	chmpd	smrtsv	chmpd	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	180	chmpd	smrtsv	chmpd	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	250	chmpd	smrtsv	chmpd	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	350	chmpd	smrtsv	chmpd	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	350	chmpd	smrtsv	chmpd	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	350	chmpd	smrtsv	chmpd	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	350	chmpd	smrtsv	chmpd	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	450	chmpd	smrtsv	chmpd	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	450	chmpd	smrtsv	chmpd	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	450	chmpd	smrtsv	chmpd	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	450	chmpd	smrtsv	chmpd	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	550	chmpd	smrtsv	chmpd	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	550	chmpd	smrtsv	chmpd	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	550	chmpd	smrtsv	chmpd	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	550	chmpd	smrtsv	chmpd	all	call	0.5
Total	NA	NA	NA	NA	NA	NA	NA	650	chmpd	smrtsv	chmpd	all	call	0.5
DEL	NA	NA	NA	NA	NA	NA	NA	650	chmpd	smrtsv	chmpd	all	call	0.5
INS	NA	NA	NA	NA	NA	NA	NA	650	chmpd	smrtsv	chmpd	all	call	0.5
INV	NA	NA	NA	NA	NA	NA	NA	650	chmpd	smrtsv	chmpd	all	call	0.5
Total	7573	7574	1635	4929	0.8224	0.6058	0.6977	0	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4271	4272	1043	2994	0.8037	0.5879	0.6791	0	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3302	3302	592	1935	0.848	0.6305	0.7233	0	chmpd	smrtsv	chmpd	all	geno	0.5
Total	7573	7574	1635	4929	0.8224	0.6058	0.6977	2	chmpd	smrtsv	chmpd	all	geno	0.5
INS	4271	4272	1043	2994	0.8037	0.5879	0.6791	2	chmpd	smrtsv	chmpd	all	geno	0.5
DEL	3302	3302	592	1935	0.848	0.6305	0.7233	2	chmpd	smrtsv	chmpd	all	geno	0.5
