type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2340	2337	658	3355	0.7805	0.4106	0.5381	0
INS	1643	1641	552	2360	0.7485	0.4101	0.5299	0
DEL	697	696	106	995	0.868	0.4116	0.5584	0
Total	2340	2337	658	3355	0.7805	0.4106	0.5381	1.21938
INS	1643	1641	552	2360	0.7485	0.4101	0.5299	1.21938
DEL	697	696	106	995	0.868	0.4116	0.5584	1.21938
Total	2090	2088	565	3604	0.7872	0.3668	0.5004	5.735867
INS	1393	1392	460	2609	0.7518	0.3479	0.4757	5.735867
DEL	697	696	105	995	0.8691	0.4116	0.5586	5.735867
Total	1948	1945	515	3747	0.7909	0.3417	0.4772	10.7366
INS	1257	1255	411	2746	0.7536	0.3137	0.443	10.7366
DEL	691	690	104	1001	0.8692	0.408	0.5553	10.7366
Total	1823	1819	467	3873	0.7961	0.3196	0.4561	17.3518
INS	1140	1137	366	2864	0.757	0.2842	0.4133	17.3518
DEL	683	682	101	1009	0.8712	0.4033	0.5514	17.3518
Total	1727	1722	434	3970	0.7992	0.3025	0.4389	99
INS	1056	1052	341	2949	0.7559	0.2629	0.3901	99
DEL	671	670	93	1021	0.8783	0.3962	0.5461	99
