type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2808	3033	209	3042	0.9307	0.4993	0.6499	0
INS	2037	2097	170	2027	0.923	0.5085	0.6557	0
DEL	771	936	39	1015	0.9519	0.4798	0.638	0
Total	2808	3033	209	3042	0.9307	0.4993	0.6499	1.21938
INS	2037	2097	170	2027	0.923	0.5085	0.6557	1.21938
DEL	771	936	39	1015	0.9519	0.4798	0.638	1.21938
Total	2498	2710	175	3365	0.9345	0.4461	0.6039	5.696032
INS	1728	1775	136	2349	0.927	0.4304	0.5879	5.696032
DEL	770	935	39	1016	0.9518	0.4792	0.6375	5.696032
Total	2325	2528	154	3547	0.9379	0.4161	0.5765	10.54728
INS	1562	1600	115	2524	0.9314	0.388	0.5478	10.54728
DEL	763	928	39	1023	0.9514	0.4757	0.6343	10.54728
Total	2174	2371	131	3704	0.9432	0.3903	0.5521	17.2125
INS	1419	1451	95	2673	0.9373	0.3518	0.5116	17.2125
DEL	755	920	36	1031	0.9545	0.4716	0.6313	17.2125
Total	2067	2263	110	3812	0.9495	0.3725	0.5351	99
INS	1326	1356	80	2768	0.9431	0.3288	0.4876	99
DEL	741	907	30	1044	0.9611	0.4649	0.6267	99
