type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3251	3532	793	2543	0.8039	0.5814	0.6748	0
INS	2157	2218	377	1906	0.8512	0.5378	0.6591	0
DEL	1094	1314	416	637	0.7245	0.6735	0.6981	0
Total	3251	3532	793	2543	0.8039	0.5814	0.6748	1.29245
INS	2157	2218	377	1906	0.8512	0.5378	0.6591	1.29245
DEL	1094	1314	416	637	0.7245	0.6735	0.6981	1.29245
Total	2642	2895	569	3180	0.8228	0.4765	0.6035	13.1336
INS	1566	1599	267	2525	0.8543	0.3877	0.5334	13.1336
DEL	1076	1296	302	655	0.7808	0.6643	0.7179	13.1336
Total	2488	2737	510	3338	0.8299	0.4505	0.584	26.9898
INS	1428	1457	230	2667	0.8613	0.3533	0.5011	26.9898
DEL	1060	1280	280	671	0.791	0.6561	0.7173	26.9898
Total	2424	2671	482	3404	0.8341	0.4397	0.5758	99
INS	1378	1405	218	2719	0.8634	0.3407	0.4886	99
DEL	1046	1266	264	685	0.7985	0.6489	0.716	99
