type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	10315	11319	4461	15387	0.6981	0.4238	0.5274	0
INS	5213	5506	1880	10179	0.7349	0.351	0.4751	0
DEL	5102	5813	2581	5208	0.6641	0.5274	0.5879	0
Total	10315	11319	4461	15387	0.6981	0.4238	0.5274	1.29245
INS	5213	5506	1880	10179	0.7349	0.351	0.4751	1.29245
DEL	5102	5813	2581	5208	0.6641	0.5274	0.5879	1.29245
Total	8128	9037	3088	17669	0.7247	0.3384	0.4614	13.1336
INS	3785	4014	1287	11671	0.7463	0.2559	0.3811	13.1336
DEL	4343	5023	1801	5998	0.7069	0.4558	0.5542	13.1336
Total	7192	8035	2504	18671	0.7417	0.3009	0.4281	26.9898
INS	3297	3504	1083	12181	0.7527	0.2234	0.3445	26.9898
DEL	3895	4531	1421	6490	0.7327	0.4111	0.5267	26.9898
Total	6935	7776	2333	18930	0.7483	0.2912	0.4192	99
INS	3184	3388	1031	12297	0.7554	0.216	0.3359	99
DEL	3751	4388	1302	6633	0.7423	0.3981	0.5183	99
