type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6661	6670	4871	18239	0.5776	0.2678	0.3659	0
INS	3369	3347	2371	11397	0.5869	0.227	0.3274	0
DEL	3292	3323	2500	6842	0.5684	0.3269	0.4151	0
Total	6661	6670	4871	18239	0.5776	0.2678	0.3659	1.21938
INS	3369	3347	2371	11397	0.5869	0.227	0.3274	1.21938
DEL	3292	3323	2500	6842	0.5684	0.3269	0.4151	1.21938
Total	6065	6074	4313	18835	0.5844	0.2438	0.3441	5.735867
INS	2940	2915	2053	11829	0.5888	0.1977	0.296	5.735867
DEL	3125	3159	2260	7006	0.5803	0.3108	0.4048	5.735867
Total	5488	5517	3738	19392	0.5948	0.2215	0.3228	10.7366
INS	2569	2550	1759	12194	0.5936	0.173	0.2679	10.7366
DEL	2919	2967	1979	7198	0.596	0.2919	0.3919	10.7366
Total	4954	4976	3123	19933	0.6133	0.1998	0.3014	17.3518
INS	2256	2240	1499	12504	0.6008	0.1519	0.2425	17.3518
DEL	2698	2736	1624	7429	0.6242	0.2692	0.3762	17.3518
Total	4444	4462	2637	20447	0.6276	0.1791	0.2787	99
INS	2017	2003	1339	12741	0.601	0.1359	0.2217	99
DEL	2427	2459	1298	7706	0.6515	0.2419	0.3528	99
