type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9177	10031	3210	16675	0.7409	0.3756	0.4985	0
INS	4740	5015	1241	10670	0.7925	0.3197	0.4556	0
DEL	4437	5016	1969	6005	0.6926	0.4551	0.5493	0
Total	9177	10031	3210	16675	0.7409	0.3756	0.4985	1.36677
INS	4740	5015	1241	10670	0.7925	0.3197	0.4556	1.36677
DEL	4437	5016	1969	6005	0.6926	0.4551	0.5493	1.36677
Total	7178	7964	2135	18742	0.7708	0.2982	0.43	13.83
INS	3442	3652	791	12033	0.8131	0.2328	0.362	13.83
DEL	3736	4312	1344	6709	0.7354	0.3913	0.5108	13.83
Total	6393	7125	1670	19581	0.7929	0.2668	0.3993	27.9587
INS	3042	3229	644	12456	0.8253	0.2059	0.3296	27.9587
DEL	3351	3896	1026	7125	0.7656	0.3535	0.4837	27.9587
Total	6177	6894	1538	19812	0.8006	0.2581	0.3904	99
INS	2948	3130	612	12555	0.8281	0.1996	0.3217	99
DEL	3229	3764	926	7257	0.7771	0.3415	0.4745	99
