type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	4214	4156	1510	1536	0.7362	0.7301	0.7331	0
INS	2973	2914	1339	1087	0.6895	0.7283	0.7084	0
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	0
Total	4191	4137	1451	1555	0.7428	0.7268	0.7347	14.16182
INS	2950	2895	1280	1106	0.6974	0.7236	0.7103	14.16182
DEL	1241	1242	171	449	0.8789	0.7345	0.8002	14.16182
Total	4137	4091	1375	1601	0.7505	0.7187	0.7343	36.1146
INS	2900	2853	1211	1148	0.7054	0.7131	0.7092	36.1146
DEL	1237	1238	164	453	0.8829	0.7321	0.8005	36.1146
Total	4030	3991	1276	1701	0.7595	0.7012	0.7292	65
INS	2795	2755	1116	1246	0.7147	0.6886	0.7014	65
DEL	1235	1236	160	455	0.8853	0.7309	0.8007	65
Total	3823	3793	1152	1899	0.7684	0.6664	0.7138	101.091
INS	2617	2586	1013	1415	0.7209	0.6463	0.6816	101.091
DEL	1206	1207	139	484	0.8967	0.7138	0.7949	101.091
Total	3434	3417	1003	2275	0.7739	0.6003	0.6761	143.9265
INS	2294	2277	880	1724	0.7227	0.5691	0.6368	143.9265
DEL	1140	1140	123	551	0.9026	0.6742	0.7719	143.9265
Total	2896	2882	840	2810	0.7752	0.5063	0.6125	193
INS	1888	1872	739	2129	0.7187	0.4679	0.5668	193
DEL	1008	1010	101	681	0.9089	0.5973	0.7209	193
Total	2224	2217	655	3475	0.7725	0.3895	0.5179	259
INS	1397	1388	576	2613	0.7081	0.3469	0.4657	259
DEL	827	829	79	862	0.9128	0.4902	0.6379	259
Total	1522	1520	455	4172	0.7699	0.267	0.3965	366.0156
INS	930	926	403	3075	0.6977	0.2314	0.3475	366.0156
DEL	592	594	52	1097	0.9193	0.3513	0.5083	366.0156
Total	794	793	233	4899	0.7731	0.1393	0.2361	564
INS	456	454	215	3547	0.6796	0.1135	0.1945	564
DEL	338	339	18	1352	0.9494	0.2005	0.3311	564
Total	0	0	0	5692	NA	0	NA	13859.5
INS	0	0	0	4001	NA	0	NA	13859.5
DEL	0	0	0	1691	NA	0	NA	13859.5
