type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5187	5298	608	777	0.8951	0.8721	0.8835	0
INS	3830	3727	526	397	0.8792	0.9037	0.8913	0
DEL	1357	1571	81	380	0.9437	0.8052	0.869	0
INV	0	0	1	0	0	NA	NA	0
Total	5138	5255	576	820	0.8992	0.865	0.8818	14.1512
INS	3781	3684	494	440	0.8844	0.8933	0.8888	14.1512
DEL	1357	1571	81	380	0.9437	0.8052	0.869	14.1512
INV	0	0	1	0	0	NA	NA	14.1512
Total	5040	5176	544	899	0.9026	0.852	0.8766	36
INS	3690	3612	464	512	0.8883	0.8758	0.882	36
DEL	1350	1564	79	387	0.9447	0.8016	0.8673	36
INV	0	0	1	0	0	NA	NA	36
Total	4884	5048	496	1027	0.9078	0.8309	0.8676	63.6987200000001
INS	3540	3492	418	632	0.8944	0.8468	0.8699	63.6987200000001
DEL	1344	1556	77	395	0.9458	0.7975	0.8653	63.6987200000001
INV	0	0	1	0	0	NA	NA	63.6987200000001
Total	4625	4814	418	1261	0.9171	0.7924	0.8502	99.32592
INS	3320	3296	351	828	0.9044	0.7992	0.8486	99.32592
DEL	1305	1518	66	433	0.9519	0.7781	0.8563	99.32592
INV	0	0	1	0	0	NA	NA	99.32592
Total	4173	4386	340	1689	0.9247	0.722	0.8109	141.333
INS	2938	2943	285	1181	0.9116	0.7136	0.8005	141.333
DEL	1235	1443	54	508	0.9581	0.7396	0.8348	141.333
INV	0	0	1	0	0	NA	NA	141.333
Total	3541	3754	262	2321	0.9311	0.6179	0.7428	189.9298
INS	2449	2460	223	1664	0.9165	0.5965	0.7227	189.9298
DEL	1092	1294	38	657	0.9664	0.6632	0.7866	189.9298
INV	0	0	1	0	0	NA	NA	189.9298
Total	2745	2973	186	3102	0.9365	0.4894	0.6429	255.3112
INS	1851	1880	156	2244	0.9223	0.4559	0.6102	255.3112
DEL	894	1093	30	858	0.9675	0.5602	0.7096	255.3112
Total	1907	2115	107	3960	0.9469	0.3481	0.5091	359.9364
INS	1265	1289	88	2835	0.935	0.3126	0.4685	359.9364
DEL	642	826	19	1125	0.9713	0.4234	0.5897	359.9364
Total	1001	1131	44	4944	0.9579	0.1862	0.3118	557.4566
INS	642	649	42	3475	0.9386	0.1574	0.2696	557.4566
DEL	359	482	2	1469	0.9945	0.2471	0.3958	557.4566
Total	0	0	0	6075	NA	0	NA	13859.5
INS	0	0	0	4124	NA	0	NA	13859.5
DEL	0	0	0	1951	NA	0	NA	13859.5
