type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	13081	13016	13033	11893	0.5009	0.5225	0.5115	0
INS	7947	7713	9799	7031	0.4478	0.5231	0.4825	0
DEL	5134	5303	3234	4862	0.6135	0.5217	0.5639	0
Total	12298	12245	11204	12664	0.5233	0.4916	0.507	14.16182
INS	7361	7154	8270	7590	0.4709	0.4852	0.4779	14.16182
DEL	4937	5091	2934	5074	0.6272	0.5008	0.5569	14.16182
Total	11304	11238	9587	13671	0.5411	0.4512	0.4921	36.1146
INS	6700	6514	7107	8230	0.4853	0.4418	0.4625	36.1146
DEL	4604	4724	2480	5441	0.6499	0.4647	0.5419	36.1146
Total	10252	10203	8034	14706	0.5606	0.4096	0.4733	65
INS	5990	5852	5960	8892	0.5013	0.3969	0.443	65
DEL	4262	4351	2074	5814	0.6727	0.428	0.5231	65
Total	9055	9022	6613	15887	0.5779	0.3622	0.4453	101.091
INS	5221	5123	4982	9621	0.5117	0.3475	0.4139	101.091
DEL	3834	3899	1631	6266	0.7016	0.3836	0.496	101.091
Total	7705	7671	5352	17238	0.5901	0.308	0.4047	143.9265
INS	4377	4302	4072	10442	0.518	0.2918	0.3733	143.9265
DEL	3328	3369	1280	6796	0.7222	0.3314	0.4543	143.9265
Total	6270	6241	4188	18668	0.5995	0.2506	0.3535	193
INS	3525	3464	3251	11280	0.5202	0.2349	0.3237	193
DEL	2745	2777	937	7388	0.7455	0.2732	0.3999	193
Total	4734	4719	3109	20190	0.6036	0.1894	0.2883	259
INS	2579	2543	2454	12201	0.5124	0.1725	0.2581	259
DEL	2155	2176	655	7989	0.7669	0.2141	0.3347	259
Total	3155	3143	2068	21766	0.6041	0.1262	0.2088	366.0156
INS	1674	1649	1682	13095	0.4988	0.1118	0.1827	366.0156
DEL	1481	1494	386	8671	0.7933	0.147	0.248	366.0156
Total	1620	1614	993	23295	0.62	0.0648	0.1173	564
INS	765	756	844	13988	0.4755	0.0513	0.0926	564
DEL	855	858	149	9307	0.8516	0.0844	0.1536	564
Total	0	0	1	24909	0	0	NA	13859.5
INS	0	0	1	14744	0	0	NA	13859.5
DEL	0	0	0	10165	NA	0	NA	13859.5
