type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	19651	19785	7124	6921	0.7339	0.7408	0.7373	0
INS	13092	12417	5163	3268	0.7172	0.7916	0.7526	0
DEL	6559	7368	1959	3653	0.77	0.6685	0.7157	0
INV	0	0	2	0	0	NA	NA	0
Total	18191	18452	5907	8254	0.7549	0.6909	0.7215	14.1512
INS	11923	11399	4167	4286	0.741	0.7267	0.7338	14.1512
DEL	6268	7053	1738	3968	0.7829	0.64	0.7043	14.1512
INV	0	0	2	0	0	NA	NA	14.1512
Total	16528	16927	4911	9779	0.7709	0.6338	0.6957	36
INS	10720	10383	3475	5302	0.7552	0.662	0.7055	36
DEL	5808	6544	1434	4477	0.802	0.5938	0.6824	36
INV	0	0	2	0	0	NA	NA	36
Total	14771	15285	3972	11421	0.7881	0.5723	0.6631	63.6987200000001
INS	9441	9275	2815	6410	0.7703	0.5913	0.669	63.6987200000001
DEL	5330	6010	1155	5011	0.8219	0.5453	0.6556	63.6987200000001
INV	0	0	2	0	0	NA	NA	63.6987200000001
Total	12955	13526	3111	13180	0.8064	0.5065	0.6222	99.32592
INS	8231	8175	2249	7510	0.7854	0.5212	0.6266	99.32592
DEL	4724	5351	860	5670	0.846	0.4855	0.6169	99.32592
INV	0	0	2	0	0	NA	NA	99.32592
Total	10980	11579	2409	15127	0.8201	0.4336	0.5673	141.333
INS	6922	6972	1756	8713	0.7976	0.4445	0.5709	141.333
DEL	4058	4607	651	6414	0.8618	0.418	0.563	141.333
INV	0	0	2	0	0	NA	NA	141.333
Total	8933	9518	1778	17188	0.834	0.3564	0.4994	189.9298
INS	5613	5700	1332	9985	0.8082	0.3634	0.5014	189.9298
DEL	3320	3818	445	7203	0.8818	0.3464	0.4974	189.9298
INV	0	0	1	0	0	NA	NA	189.9298
Total	6832	7389	1201	19317	0.8505	0.2767	0.4176	255.3112
INS	4268	4386	904	11299	0.8252	0.2796	0.4177	255.3112
DEL	2564	3003	297	8018	0.8962	0.2725	0.4179	255.3112
Total	4601	5083	755	21623	0.859	0.1903	0.3116	359.9364
INS	2847	2963	593	12722	0.8276	0.1889	0.3076	359.9364
DEL	1754	2120	162	8901	0.9154	0.1924	0.318	359.9364
Total	2349	2612	329	24094	0.8771	0.0978	0.176	557.4566
INS	1383	1429	272	14256	0.8356	0.0911	0.1643	557.4566
DEL	966	1183	57	9838	0.9443	0.1073	0.1927	557.4566
Total	0	0	1	26706	0	0	NA	13859.5
INS	0	0	1	15685	0	0	NA	13859.5
DEL	0	0	0	11021	NA	0	NA	13859.5
