type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1829	1647	567	4045	0.7634	0.2894	0.4197	0
INS	703	672	392	3329	0.642	0.168	0.2663	0
DEL	1126	975	175	716	0.8655	0.5766	0.6921	0
Total	1799	1617	530	4075	0.7724	0.2841	0.4154	6
INS	687	654	360	3347	0.6562	0.1635	0.2618	6
DEL	1112	963	170	728	0.8674	0.5695	0.6876	6
Total	1741	1566	484	4126	0.7825	0.2751	0.4071	12
INS	656	626	316	3375	0.6749	0.1565	0.2541	12
DEL	1085	940	168	751	0.8659	0.5559	0.6771	12
Total	1672	1511	445	4181	0.7898	0.2655	0.3974	18
INS	619	594	278	3407	0.6901	0.1485	0.2444	18
DEL	1053	917	167	774	0.8631	0.5423	0.6661	18
Total	1546	1411	399	4281	0.7949	0.2479	0.3779	25
INS	555	541	237	3460	0.7008	0.1352	0.2267	25
DEL	991	870	162	821	0.8595	0.5145	0.6437	25
Total	1392	1283	358	4409	0.7954	0.2254	0.3513	36
INS	494	486	205	3515	0.7067	0.1215	0.2074	36
DEL	898	797	153	894	0.8544	0.4713	0.6075	36
Total	1144	1077	302	4615	0.7911	0.1892	0.3054	46
INS	432	427	160	3574	0.7297	0.1067	0.1862	46
DEL	712	650	142	1041	0.8337	0.3844	0.5262	46
Total	885	855	254	4837	0.777	0.1502	0.2517	60
INS	377	374	129	3627	0.7451	0.0935	0.1662	60
DEL	508	481	125	1210	0.8025	0.2844	0.42	60
Total	629	628	180	5064	0.7775	0.1103	0.1932	84
INS	295	294	78	3707	0.7909	0.0735	0.1345	84
DEL	334	334	102	1357	0.7661	0.1975	0.314	84
Total	366	367	99	5325	0.7871	0.0645	0.1192	134
INS	147	148	31	3853	0.8258	0.037	0.0708	134
DEL	219	219	68	1472	0.7631	0.1295	0.2214	134
Total	279	281	73	5411	0.7926	0.0494	0.093	10000
INS	103	105	21	3896	0.8306	0.0262	0.0508	10000
DEL	176	176	52	1515	0.7719	0.1041	0.1835	10000
