type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5852	5500	5063	19409	0.5361	0.2208	0.3128	0
INS	994	931	847	13813	0.5399	0.0631	0.113	0
DEL	4858	4569	4216	5596	0.5354	0.4495	0.4887	0
Total	5526	5205	4414	19704	0.5559	0.209	0.3038	6
INS	953	894	768	13850	0.5537	0.0606	0.1092	6
DEL	4573	4311	3646	5854	0.5564	0.4241	0.4813	6
Total	5110	4819	3686	20090	0.5809	0.1935	0.2903	12
INS	897	847	658	13897	0.5768	0.0574	0.1044	12
DEL	4213	3972	3028	6193	0.5818	0.3908	0.4675	12
Total	4711	4465	3121	20444	0.6015	0.1793	0.2763	18
INS	833	793	572	13951	0.5929	0.0538	0.0986	18
DEL	3878	3672	2549	6493	0.6034	0.3612	0.4519	18
Total	4128	3928	2491	20981	0.6237	0.1577	0.2517	25
INS	744	717	480	14027	0.6078	0.0486	0.09	25
DEL	3384	3211	2011	6954	0.6272	0.3159	0.4202	25
Total	3510	3360	1999	21549	0.6371	0.1349	0.2227	36
INS	660	639	396	14105	0.625	0.0433	0.081	36
DEL	2850	2721	1603	7444	0.64	0.2677	0.3775	36
Total	2782	2709	1613	22200	0.633	0.1088	0.1857	46
INS	580	566	317	14178	0.6466	0.0384	0.0725	46
DEL	2202	2143	1296	8022	0.6295	0.2108	0.3158	46
Total	2093	2066	1232	22843	0.6295	0.0829	0.1465	60
INS	495	488	251	14256	0.6635	0.0331	0.0631	60
DEL	1598	1578	981	8587	0.6196	0.1552	0.2482	60
Total	1340	1347	853	23562	0.611	0.0541	0.0994	84
INS	386	380	174	14364	0.6893	0.0258	0.0497	84
DEL	954	967	679	9198	0.5842	0.0951	0.1636	84
Total	658	652	441	24257	0.5987	0.0262	0.0502	134
INS	197	192	79	14552	0.7138	0.013	0.0255	134
DEL	461	460	362	9705	0.5601	0.0453	0.0838	134
Total	464	459	312	24450	0.5979	0.0184	0.0357	10000
INS	137	134	55	14610	0.7135	0.0091	0.018	10000
DEL	327	325	257	9840	0.5599	0.032	0.0605	10000
