type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	8111	7893	3197	18813	0.7173	0.2956	0.4187	0
INS	1545	1481	450	14204	0.7744	0.0944	0.1683	0
DEL	6566	6412	2747	4609	0.705	0.5818	0.6375	0
Total	7480	7323	2832	19383	0.7254	0.2742	0.398	6
INS	1449	1387	400	14298	0.7837	0.0884	0.1589	6
DEL	6031	5936	2432	5085	0.7126	0.5386	0.6135	6
Total	6721	6628	2417	20078	0.7355	0.2482	0.3712	12
INS	1315	1267	357	14418	0.7865	0.0808	0.1465	12
DEL	5406	5361	2060	5660	0.7241	0.4864	0.5819	12
Total	6065	6006	2085	20700	0.7442	0.2249	0.3454	18
INS	1197	1158	314	14527	0.7922	0.0738	0.135	18
DEL	4868	4848	1771	6173	0.7332	0.4399	0.5499	18
Total	5148	5120	1667	21586	0.7554	0.1917	0.3058	26
INS	1032	1001	274	14684	0.7902	0.0638	0.1181	26
DEL	4116	4119	1393	6902	0.7471	0.3737	0.4982	26
Total	4389	4359	1393	22347	0.7591	0.1632	0.2686	36
INS	905	878	239	14807	0.7911	0.056	0.1046	36
DEL	3484	3481	1154	7540	0.7512	0.3159	0.4448	36
Total	3429	3387	1098	23319	0.7575	0.1268	0.2172	48
INS	766	738	195	14947	0.7971	0.0471	0.0889	48
DEL	2663	2649	903	8372	0.7468	0.2404	0.3637	48
Total	2537	2481	872	24225	0.7442	0.0929	0.1652	62
INS	636	622	160	15063	0.799	0.0397	0.0756	62
DEL	1901	1859	712	9162	0.7275	0.1687	0.2739	62
Total	1678	1598	601	25108	0.7363	0.0598	0.1106	87
INS	480	471	109	15214	0.8149	0.03	0.0579	87
DEL	1198	1127	492	9894	0.7089	0.1023	0.1788	87
Total	833	762	301	25944	0.7346	0.0285	0.0549	138
INS	231	226	54	15459	0.8105	0.0144	0.0283	138
DEL	602	536	247	10485	0.7091	0.0486	0.091	138
Total	639	582	236	26124	0.7303	0.0218	0.0423	10000
INS	172	167	45	15518	0.7926	0.0106	0.0209	10000
DEL	467	415	191	10606	0.7097	0.0377	0.0716	10000
