type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1324	1006	353	4520	0.7895	0.182	0.2958	0
INS	0	0	0	3832	NA	0	NA	0
DEL	1324	1006	353	688	0.7895	0.5939	0.6779	0
Total	1324	1006	353	4520	0.7895	0.182	0.2958	4.6
INS	0	0	0	3832	NA	0	NA	4.6
DEL	1324	1006	353	688	0.7895	0.5939	0.6779	4.6
Total	1225	917	321	4609	0.7924	0.1659	0.2744	38.95
INS	0	0	0	3832	NA	0	NA	38.95
DEL	1225	917	321	777	0.7924	0.5413	0.6432	38.95
Total	1110	815	267	4711	0.8061	0.1475	0.2494	83.91
INS	0	0	0	3832	NA	0	NA	83.91
DEL	1110	815	267	879	0.8061	0.4811	0.6026	83.91
Total	1011	739	213	4787	0.826	0.1337	0.2301	136.3185
INS	0	0	0	3832	NA	0	NA	136.3185
DEL	1011	739	213	955	0.826	0.4362	0.5709	136.3185
Total	880	641	174	4885	0.8349	0.116	0.2037	191.87
INS	0	0	0	3832	NA	0	NA	191.87
DEL	880	641	174	1053	0.8349	0.3784	0.5208	191.87
Total	746	538	137	4988	0.8448	0.0974	0.1747	257.78
INS	0	0	0	3832	NA	0	NA	257.78
DEL	746	538	137	1156	0.8448	0.3176	0.4616	257.78
Total	582	418	104	5108	0.8484	0.0756	0.1388	338.05
INS	0	0	0	3832	NA	0	NA	338.05
DEL	582	418	104	1276	0.8484	0.2468	0.3824	338.05
Total	439	294	71	5232	0.8608	0.0532	0.1002	448.1515
INS	0	0	0	3832	NA	0	NA	448.1515
DEL	439	294	71	1400	0.8608	0.1736	0.2889	448.1515
Total	332	200	43	5326	0.8853	0.0362	0.0696	610.86
INS	0	0	0	3832	NA	0	NA	610.86
DEL	332	200	43	1494	0.8853	0.1181	0.2084	610.86
Total	193	102	6	5424	0.9698	0.0185	0.0363	994.198
INS	0	0	0	3832	NA	0	NA	994.198
DEL	193	102	6	1592	0.9698	0.0602	0.1134	994.198
Total	1	1	0	5525	1	2e-04	4e-04	2747.45
INS	0	0	0	3832	NA	0	NA	2747.45
DEL	1	1	0	1693	1	6e-04	0.0012	2747.45
