type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3150	2684	1304	22472	0.7072	0.1067	0.1854	0
INS	0	0	0	14892	NA	0	NA	0
DEL	3150	2684	1304	7580	0.7072	0.2615	0.3818	0
Total	3150	2684	1304	22472	0.7072	0.1067	0.1854	4.6
INS	0	0	0	14892	NA	0	NA	4.6
DEL	3150	2684	1304	7580	0.7072	0.2615	0.3818	4.6
Total	2885	2406	1131	22750	0.7184	0.0956	0.1687	38.95
INS	0	0	0	14892	NA	0	NA	38.95
DEL	2885	2406	1131	7858	0.7184	0.2344	0.3535	38.95
Total	2614	2132	959	23024	0.7316	0.0848	0.152	83.91
INS	0	0	0	14892	NA	0	NA	83.91
DEL	2614	2132	959	8132	0.7316	0.2077	0.3235	83.91
Total	2345	1875	773	23281	0.7521	0.0745	0.1356	136.3185
INS	0	0	0	14892	NA	0	NA	136.3185
DEL	2345	1875	773	8389	0.7521	0.1827	0.294	136.3185
Total	2056	1609	618	23547	0.7689	0.064	0.1182	191.87
INS	0	0	0	14892	NA	0	NA	191.87
DEL	2056	1609	618	8655	0.7689	0.1568	0.2605	191.87
Total	1750	1350	477	23806	0.7858	0.0537	0.1005	257.78
INS	0	0	0	14892	NA	0	NA	257.78
DEL	1750	1350	477	8914	0.7858	0.1315	0.2253	257.78
Total	1407	1051	376	24105	0.7891	0.0418	0.0794	338.05
INS	0	0	0	14892	NA	0	NA	338.05
DEL	1407	1051	376	9213	0.7891	0.1024	0.1813	338.05
Total	1085	754	251	24402	0.8121	0.03	0.0579	448.1515
INS	0	0	0	14892	NA	0	NA	448.1515
DEL	1085	754	251	9510	0.8121	0.0735	0.1348	448.1515
Total	757	472	134	24684	0.8496	0.0188	0.0368	610.86
INS	0	0	0	14892	NA	0	NA	610.86
DEL	757	472	134	9792	0.8496	0.046	0.0873	610.86
Total	413	221	33	24935	0.926	0.0088	0.0174	994.198
INS	0	0	0	14892	NA	0	NA	994.198
DEL	413	221	33	10043	0.926	0.0215	0.042	994.198
Total	1	1	0	25155	1	0	0	2747.45
INS	0	0	0	14892	NA	0	NA	2747.45
DEL	1	1	0	10263	1	1e-04	2e-04	2747.45
