type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5162	5170	281	522	0.9484	0.9083	0.9279	0
INS	3587	3598	251	403	0.9346	0.8993	0.9166	0
DEL	1575	1572	30	119	0.9813	0.9296	0.9548	0
Total	5162	5170	281	522	0.9484	0.9083	0.9279	1.28077
INS	3587	3598	251	403	0.9346	0.8993	0.9166	1.28077
DEL	1575	1572	30	119	0.9813	0.9296	0.9548	1.28077
Total	5112	5119	271	573	0.9497	0.8993	0.9238	3.56153
INS	3542	3552	242	449	0.936	0.8878	0.9113	3.56153
DEL	1570	1567	29	124	0.9819	0.9267	0.9535	3.56153
Total	5071	5079	263	613	0.9507	0.8923	0.9206	4.25737
INS	3505	3515	234	486	0.9374	0.8785	0.907	4.25737
DEL	1566	1564	29	127	0.9818	0.9249	0.9525	4.25737
Total	5031	5040	258	652	0.9512	0.8855	0.9172	5.14279
INS	3472	3483	229	518	0.9381	0.8705	0.903	5.14279
DEL	1559	1557	29	134	0.9817	0.9208	0.9503	5.14279
Total	4990	4997	240	695	0.9541	0.8779	0.9144	6.28932
INS	3439	3448	211	553	0.9422	0.8618	0.9002	6.28932
DEL	1551	1549	29	142	0.9816	0.916	0.9477	6.28932
Total	4919	4927	235	765	0.9544	0.8656	0.9078	7.89414
INS	3385	3395	207	606	0.9424	0.8485	0.893	7.89414
DEL	1534	1532	28	159	0.9821	0.906	0.9425	7.89414
Total	4815	4822	223	870	0.9557	0.8472	0.8982	10.1954
INS	3291	3300	197	701	0.9435	0.8248	0.8802	10.1954
DEL	1524	1522	26	169	0.9832	0.9001	0.9398	10.1954
Total	4647	4653	213	1039	0.9562	0.8175	0.8814	14.045
INS	3157	3165	187	836	0.9441	0.7911	0.8609	14.045
DEL	1490	1488	26	203	0.9828	0.88	0.9286	14.045
Total	4298	4305	189	1387	0.9579	0.7563	0.8452	25.8502
INS	2874	2882	164	1119	0.946	0.7203	0.8179	25.8502
DEL	1424	1423	25	268	0.9827	0.8415	0.9066	25.8502
Total	3945	3951	177	1741	0.9571	0.6941	0.8047	99
INS	2675	2681	152	1320	0.9462	0.6701	0.7846	99
DEL	1270	1270	25	421	0.9807	0.751	0.8506	99
