type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5847	5894	55	181	0.9907	0.9702	0.9803	0
INS	3982	4015	51	109	0.9874	0.9736	0.9805	0
DEL	1865	1879	4	72	0.9979	0.9631	0.9802	0
Total	5847	5894	55	181	0.9907	0.9702	0.9803	1.19072
INS	3982	4015	51	109	0.9874	0.9736	0.9805	1.19072
DEL	1865	1879	4	72	0.9979	0.9631	0.9802	1.19072
Total	5537	5598	19	477	0.9966	0.9215	0.9576	13.8091
INS	3725	3758	18	366	0.9952	0.9113	0.9514	13.8091
DEL	1812	1840	1	111	0.9994	0.9431	0.9704	13.8091
Total	5247	5336	16	739	0.997	0.8784	0.9339	99
INS	3499	3542	16	582	0.9954	0.8589	0.9221	99
DEL	1748	1794	0	157	1	0.9195	0.9581	99
