type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	20470	20508	2192	4401	0.9033	0.8233	0.8614	0
INS	12288	12305	1215	2439	0.91	0.8346	0.8707	0
DEL	8182	8203	977	1962	0.8933	0.807	0.848	0
Total	20470	20508	2192	4401	0.9033	0.8233	0.8614	1.28077
INS	12288	12305	1215	2439	0.91	0.8346	0.8707	1.28077
DEL	8182	8203	977	1962	0.8933	0.807	0.848	1.28077
Total	20187	20235	2085	4674	0.9064	0.8124	0.8568	3.56153
INS	12146	12164	1163	2580	0.9126	0.825	0.8666	3.56153
DEL	8041	8071	922	2094	0.8971	0.794	0.8424	3.56153
Total	19938	20010	1946	4899	0.9111	0.8033	0.8538	4.25737
INS	12018	12039	1103	2705	0.9159	0.8165	0.8633	4.25737
DEL	7920	7971	843	2194	0.9038	0.7842	0.8398	4.25737
Total	19668	19745	1825	5164	0.9151	0.7927	0.8495	5.14279
INS	11872	11895	1055	2849	0.9184	0.8068	0.859	5.14279
DEL	7796	7850	770	2315	0.9101	0.7723	0.8356	5.14279
Total	19282	19373	1707	5536	0.9187	0.7778	0.8424	6.28932
INS	11694	11721	1003	3023	0.921	0.795	0.8534	6.28932
DEL	7588	7652	704	2513	0.9151	0.7528	0.8261	6.28932
Total	18817	18927	1608	5982	0.9213	0.7598	0.8328	7.89414
INS	11472	11501	965	3243	0.9224	0.78	0.8452	7.89414
DEL	7345	7426	643	2739	0.9195	0.7305	0.8142	7.89414
Total	18183	18312	1466	6597	0.9254	0.7352	0.8194	10.1954
INS	11132	11163	905	3581	0.9248	0.7571	0.8326	10.1954
DEL	7051	7149	561	3016	0.9263	0.7033	0.7995	10.1954
Total	17123	17267	1302	7642	0.9293	0.6932	0.7941	14.045
INS	10573	10607	825	4137	0.9276	0.7194	0.8103	14.045
DEL	6550	6660	477	3505	0.9321	0.6552	0.7695	14.045
Total	15352	15519	1062	9390	0.9353	0.623	0.7479	25.8502
INS	9679	9719	717	5025	0.931	0.6592	0.7719	25.8502
DEL	5673	5800	345	4365	0.9427	0.5706	0.7109	25.8502
Total	13979	14141	944	10768	0.9367	0.5677	0.7069	99
INS	9007	9040	648	5704	0.9329	0.6131	0.7399	99
DEL	4972	5101	296	5064	0.9438	0.5018	0.6552	99
