type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5127	5109	566	583	0.9006	0.8976	0.8991	0
INS	3578	3554	515	447	0.8742	0.8883	0.8812	0
DEL	1549	1555	51	136	0.9681	0.9196	0.9432	0
Total	5061	5044	475	648	0.9142	0.8862	0.9	71.5
INS	3517	3494	432	507	0.8906	0.8733	0.8819	71.5
DEL	1544	1550	43	141	0.9729	0.9166	0.9439	71.5
Total	4921	4905	388	787	0.9269	0.8617	0.8931	127
INS	3408	3386	351	615	0.9066	0.8463	0.8754	127
DEL	1513	1519	37	172	0.9761	0.8983	0.9356	127
Total	4648	4635	327	1057	0.9343	0.8143	0.8702	172
INS	3196	3179	294	822	0.9158	0.7946	0.8509	172
DEL	1452	1456	33	235	0.9778	0.861	0.9157	172
Total	4216	4215	277	1477	0.9383	0.7405	0.8277	213
INS	2906	2902	249	1099	0.9211	0.7253	0.8116	213
DEL	1310	1313	28	378	0.9791	0.7765	0.8661	213
Total	3718	3720	243	1972	0.9387	0.6535	0.7706	250.051
INS	2562	2561	221	1440	0.9206	0.6401	0.7551	250.051
DEL	1156	1159	22	532	0.9813	0.6854	0.8071	250.051
Total	3169	3172	201	2520	0.9404	0.5573	0.6999	291
INS	2195	2196	184	1805	0.9227	0.5489	0.6883	291
DEL	974	976	17	715	0.9828	0.5772	0.7273	291
Total	2514	2518	165	3174	0.9384	0.4424	0.6013	339
INS	1760	1763	150	2238	0.9215	0.4406	0.5962	339
DEL	754	755	15	936	0.9805	0.4465	0.6136	339
Total	1804	1808	114	3884	0.9406	0.3176	0.4749	409
INS	1334	1337	106	2664	0.9264	0.3342	0.4912	409
DEL	470	471	8	1220	0.9833	0.2785	0.4341	409
Total	1099	1099	43	4593	0.9623	0.1931	0.3217	591.3838
INS	865	865	42	3136	0.9537	0.2162	0.3525	591.3838
DEL	234	234	1	1457	0.9957	0.1384	0.243	591.3838
Total	0	0	1	5692	0	0	NA	1984
INS	0	0	0	4001	NA	0	NA	1984
DEL	0	0	1	1691	0	0	NA	1984
