type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	5879	5862	136	213	0.9774	0.9649	0.9711	0
INS	4058	3989	133	135	0.9683	0.9673	0.9678	0
DEL	1821	1873	3	78	0.9984	0.96	0.9788	0
Total	5771	5763	79	312	0.9865	0.9486	0.9672	72.28
INS	3964	3905	77	219	0.9809	0.9469	0.9636	72.28
DEL	1807	1858	2	93	0.9989	0.9523	0.975	72.28
Total	5551	5587	45	488	0.992	0.9197	0.9545	126.803
INS	3790	3777	43	347	0.9888	0.9159	0.951	126.803
DEL	1761	1810	2	141	0.9989	0.9277	0.962	126.803
Total	5224	5282	26	793	0.995	0.8695	0.928	171
INS	3543	3556	24	568	0.9933	0.8623	0.9232	171
DEL	1681	1726	2	225	0.9988	0.8847	0.9383	171
Total	4711	4791	15	1284	0.9968	0.7886	0.8806	211
INS	3202	3242	14	882	0.9956	0.7861	0.8785	211
DEL	1509	1549	1	402	0.9993	0.794	0.8849	211
Total	4151	4234	10	1841	0.9976	0.697	0.8206	248
INS	2835	2881	10	1243	0.9965	0.6986	0.8214	248
DEL	1316	1353	0	598	1	0.6935	0.819	248
Total	3523	3598	6	2477	0.9983	0.5923	0.7435	287
INS	2422	2471	6	1653	0.9975	0.5992	0.7487	287
DEL	1101	1127	0	824	1	0.5777	0.7323	287
Total	2802	2867	4	3208	0.9986	0.4719	0.6409	334
INS	1969	2010	4	2114	0.998	0.4874	0.6549	334
DEL	833	857	0	1094	1	0.4393	0.6104	334
Total	2011	2052	3	4023	0.9985	0.3378	0.5048	399.454
INS	1480	1507	3	2617	0.998	0.3654	0.5349	399.454
DEL	531	545	0	1406	1	0.2793	0.4366	399.454
Total	1194	1205	0	4870	1	0.1984	0.3311	575
INS	946	955	0	3169	1	0.2316	0.3761	575
DEL	248	250	0	1701	1	0.1281	0.2271	575
Total	1	1	0	6074	1	2e-04	4e-04	1984
INS	0	0	0	4124	NA	0	NA	1984
DEL	1	1	0	1950	1	5e-04	0.001	1984
