type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	19630	19781	4739	5128	0.8055	0.7941	0.7998	0
INS	12025	11942	3582	2802	0.7705	0.81	0.7898	0
DEL	7605	7839	1157	2326	0.868	0.7712	0.8167	0
Total	18443	18590	3490	6319	0.8409	0.7463	0.7908	71.5
INS	11246	11186	2620	3558	0.811	0.7587	0.784	71.5
DEL	7197	7404	870	2761	0.8922	0.7284	0.802	71.5
Total	16828	16922	2683	7987	0.8625	0.6794	0.7601	127
INS	10261	10208	2032	4536	0.8347	0.6923	0.7569	127
DEL	6567	6714	651	3451	0.9098	0.6605	0.7654	127
Total	14912	14990	2182	9919	0.8724	0.6018	0.7123	172
INS	9075	9040	1673	5704	0.8443	0.6131	0.7104	172
DEL	5837	5950	509	4215	0.9198	0.5853	0.7154	172
Total	12828	12893	1812	12016	0.8762	0.5176	0.6508	213
INS	7773	7753	1418	6991	0.8457	0.5258	0.6484	213
DEL	5055	5140	394	5025	0.9277	0.5057	0.6546	213
Total	10691	10757	1494	14152	0.8774	0.4319	0.5789	250.051
INS	6433	6428	1206	8316	0.8421	0.436	0.5745	250.051
DEL	4258	4329	288	5836	0.9366	0.4259	0.5855	250.051
Total	8553	8591	1197	16318	0.8772	0.3449	0.4951	291
INS	5097	5088	1006	9656	0.8352	0.3451	0.4884	291
DEL	3456	3503	191	6662	0.9476	0.3446	0.5054	291
Total	6417	6435	923	18474	0.8743	0.2583	0.3988	339
INS	3820	3813	805	10931	0.8259	0.2586	0.3939	339
DEL	2597	2622	118	7543	0.9565	0.2579	0.4063	339
Total	4253	4259	625	20650	0.8719	0.171	0.2859	409
INS	2614	2613	558	12131	0.8241	0.1772	0.2917	409
DEL	1639	1646	67	8519	0.9607	0.1619	0.2771	409
Total	2258	2258	179	22651	0.9265	0.0906	0.1651	591.3838
INS	1535	1535	173	13209	0.8987	0.1041	0.1866	591.3838
DEL	723	723	6	9442	0.9918	0.0711	0.1327	591.3838
Total	0	0	1	24909	0	0	NA	1984
INS	0	0	0	14744	NA	0	NA	1984
DEL	0	0	1	10165	0	0	NA	1984
