type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	23686	23796	1030	2910	0.9583	0.891	0.9234	0
INS	14727	14375	778	1310	0.9498	0.9165	0.9329	0
DEL	8959	9421	249	1600	0.973	0.8548	0.9101	0
INV	0	0	3	0	0	NA	NA	0
Total	23686	23796	1030	2910	0.9583	0.891	0.9234	10
INS	14727	14375	778	1310	0.9498	0.9165	0.9329	10
DEL	8959	9421	249	1600	0.973	0.8548	0.9101	10
INV	0	0	3	0	0	NA	NA	10
Total	21682	21911	562	4795	0.9747	0.8205	0.891	88.57305
INS	13482	13337	427	2348	0.9693	0.8503	0.9059	88.57305
DEL	8200	8574	132	2447	0.9842	0.778	0.869	88.57305
INV	0	0	3	0	0	NA	NA	88.57305
Total	19477	19867	308	6839	0.9844	0.7439	0.8474	139
INS	12077	12144	220	3541	0.9821	0.7742	0.8658	139
DEL	7400	7723	85	3298	0.9886	0.7008	0.8202	139
INV	0	0	3	0	0	NA	NA	139
Total	17140	17630	203	9076	0.9883	0.6602	0.7916	181
INS	10613	10824	150	4861	0.9861	0.6901	0.812	181
DEL	6527	6806	50	4215	0.9924	0.6175	0.7613	181
INV	0	0	3	0	0	NA	NA	181
Total	14733	15253	136	11453	0.9909	0.5711	0.7246	219
INS	9126	9424	101	6261	0.9891	0.6008	0.7475	219
DEL	5607	5829	32	5192	0.9943	0.5289	0.6905	219
INV	0	0	3	0	0	NA	NA	219
Total	12264	12780	97	13926	0.9922	0.4785	0.6456	255
INS	7581	7920	78	7765	0.9898	0.5049	0.6687	255
DEL	4683	4860	18	6161	0.9962	0.441	0.6114	255
INV	0	0	1	0	0	NA	NA	255
Total	9828	10244	64	16462	0.9935	0.3836	0.5535	294
INS	6100	6387	53	9298	0.9914	0.4072	0.5773	294
DEL	3728	3857	11	7164	0.9971	0.35	0.5181	294
Total	7403	7720	35	18986	0.9953	0.2891	0.4481	340
INS	4640	4868	31	10817	0.9934	0.3104	0.473	340
DEL	2763	2852	4	8169	0.9986	0.2588	0.4111	340
Total	4928	5097	18	21609	0.9964	0.1909	0.3204	408
INS	3193	3319	17	12366	0.9947	0.2116	0.349	408
DEL	1735	1778	1	9243	0.9994	0.1613	0.2778	408
Total	2467	2500	5	24206	0.998	0.0936	0.1711	588.483
INS	1738	1767	4	13918	0.9977	0.1127	0.2025	588.483
DEL	729	733	1	10288	0.9986	0.0665	0.1247	588.483
Total	1	1	0	26705	1	0	0	1969
INS	0	0	0	15685	NA	0	NA	1969
DEL	1	1	0	11020	1	1e-04	2e-04	1969
