type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2583	2335	332	3357	0.8861	0.4102	0.5608	0
INS	948	903	157	3098	0.8579	0.2257	0.3574	0
DEL	1635	1432	175	259	0.9033	0.8468	0.8741	0
Total	2538	2299	297	3393	0.8952	0.4039	0.5566	11
INS	936	891	132	3110	0.8764	0.2227	0.3552	11
DEL	1602	1408	165	283	0.9066	0.8326	0.868	11
Total	2417	2212	258	3480	0.9036	0.3886	0.5435	22
INS	912	869	109	3132	0.8932	0.2172	0.3494	22
DEL	1505	1343	149	348	0.9099	0.7942	0.8481	22
Total	2251	2084	234	3608	0.9058	0.3661	0.5214	33
INS	876	838	94	3163	0.9031	0.2094	0.34	33
DEL	1375	1246	140	445	0.9076	0.7368	0.8133	33
Total	1941	1837	208	3855	0.9032	0.3227	0.4755	45
INS	817	785	81	3216	0.9098	0.1962	0.3228	45
DEL	1124	1052	127	639	0.8985	0.6221	0.7352	45
Total	1629	1581	196	4111	0.8926	0.2778	0.4237	57
INS	725	701	73	3300	0.9085	0.1752	0.2938	57
DEL	904	880	123	811	0.8802	0.5204	0.6541	57
Total	1303	1302	165	4390	0.8876	0.2287	0.3637	78
INS	592	587	54	3414	0.9164	0.1467	0.2529	78
DEL	711	715	111	976	0.865	0.4228	0.568	78
Total	1064	1063	137	4629	0.8859	0.1868	0.3085	107
INS	443	442	43	3559	0.9115	0.1105	0.1971	107
DEL	621	621	94	1070	0.8685	0.3672	0.5162	107
Total	758	755	100	4937	0.8834	0.1326	0.2306	145.200000000001
INS	306	305	32	3696	0.9053	0.0762	0.1406	145.200000000001
DEL	452	450	68	1241	0.8692	0.2661	0.4075	145.200000000001
Total	660	656	77	5036	0.8955	0.1152	0.2041	10000
INS	268	266	24	3735	0.9178	0.0665	0.124	10000
DEL	392	390	53	1301	0.8809	0.2306	0.3655	10000
