type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3046	2896	31	3179	0.9899	0.4767	0.6435	0
INS	1117	1077	27	3047	0.9764	0.2612	0.4121	0
DEL	1929	1819	4	132	0.9979	0.9323	0.964	0
Total	2958	2816	28	3259	0.9906	0.4635	0.6315	12
INS	1081	1039	25	3085	0.9774	0.2519	0.4006	12
DEL	1877	1777	3	174	0.9984	0.9108	0.9526	12
Total	2803	2687	24	3388	0.9915	0.4423	0.6117	23
INS	1035	998	21	3126	0.9801	0.242	0.3882	23
DEL	1768	1689	3	262	0.9983	0.8657	0.9273	23
Total	2561	2468	21	3607	0.9919	0.4063	0.5765	34
INS	975	947	18	3177	0.9819	0.2296	0.3722	34
DEL	1586	1521	3	430	0.9981	0.7796	0.8754	34
Total	2272	2177	20	3898	0.9913	0.3584	0.5265	45
INS	912	888	17	3236	0.9817	0.2153	0.3531	45
DEL	1360	1289	3	662	0.9978	0.6607	0.795	45
Total	1945	1856	19	4219	0.9903	0.3055	0.4669	57
INS	814	792	16	3332	0.9807	0.192	0.3211	57
DEL	1131	1064	3	887	0.9974	0.5454	0.7052	57
Total	1565	1482	13	4593	0.9918	0.244	0.3916	79
INS	655	644	10	3480	0.985	0.1562	0.2696	79
DEL	910	838	3	1113	0.9967	0.4295	0.6003	79
Total	1278	1198	9	4877	0.993	0.1972	0.3291	109
INS	489	477	6	3647	0.9879	0.1157	0.2071	109
DEL	789	721	3	1230	0.9962	0.3696	0.5392	109
Total	923	862	5	5213	0.9946	0.1419	0.2484	147
INS	347	341	3	3783	0.9914	0.0827	0.1527	147
DEL	576	521	2	1430	0.9965	0.267	0.4212	147
Total	816	763	5	5312	0.9939	0.1256	0.223	10000
INS	309	304	3	3820	0.9904	0.0737	0.1372	10000
DEL	507	459	2	1492	0.9961	0.2353	0.3807	10000
