type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9066	8558	3778	16351	0.7059	0.3436	0.4622	0
INS	1433	1369	428	13375	0.77	0.0929	0.1658	0
DEL	7633	7189	3350	2976	0.695	0.7072	0.701	0
Total	8539	8138	3108	16771	0.7332	0.3267	0.452	11
INS	1406	1343	367	13401	0.793	0.0911	0.1634	11
DEL	7133	6795	2741	3370	0.7224	0.6685	0.6944	11
Total	7760	7484	2558	17425	0.7521	0.3005	0.4294	22
INS	1360	1301	324	13443	0.8076	0.0882	0.159	22
DEL	6400	6183	2234	3982	0.7413	0.6083	0.6682	22
Total	6994	6827	2148	18082	0.765	0.2741	0.4036	33
INS	1301	1252	282	13492	0.8219	0.0849	0.1539	33
DEL	5693	5575	1866	4590	0.7531	0.5485	0.6347	33
Total	5931	5889	1817	19020	0.7655	0.2364	0.3612	45
INS	1204	1167	247	13577	0.8298	0.0792	0.1446	45
DEL	4727	4722	1570	5443	0.7507	0.4645	0.5739	45
Total	4939	4971	1530	19938	0.7635	0.1996	0.3165	57
INS	1077	1050	218	13694	0.8317	0.0712	0.1312	57
DEL	3862	3921	1312	6244	0.7464	0.3857	0.5086	57
Total	3926	4008	1216	20901	0.7635	0.1609	0.2658	78
INS	895	888	187	13856	0.8272	0.0602	0.1122	78
DEL	3031	3120	1029	7045	0.7466	0.3069	0.435	78
Total	3006	3059	883	21850	0.7729	0.1228	0.2119	107
INS	682	680	147	14064	0.8227	0.0461	0.0873	107
DEL	2324	2379	736	7786	0.7595	0.234	0.3578	107
Total	1986	2018	583	22891	0.7731	0.081	0.1466	145.200000000001
INS	474	475	108	14269	0.8144	0.0322	0.062	145.200000000001
DEL	1512	1543	475	8622	0.7609	0.1518	0.2531	145.200000000001
Total	1682	1696	454	23213	0.7875	0.0681	0.1254	10000
INS	403	401	76	14343	0.8413	0.0272	0.0527	10000
DEL	1279	1295	378	8870	0.7719	0.1274	0.2187	10000
