type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	11316	10664	2192	16042	0.8377	0.3993	0.5408	0
INS	1900	1803	172	13882	0.917	0.115	0.2044	0
DEL	9416	8861	2020	2160	0.8234	0.804	0.8136	0
Total	10326	9932	1832	16774	0.8493	0.3719	0.5173	12
INS	1814	1723	143	13962	0.9269	0.1099	0.1965	12
DEL	8512	8209	1689	2812	0.8344	0.7449	0.7871	12
Total	9283	9099	1525	17607	0.8589	0.3407	0.4879	23
INS	1734	1650	121	14035	0.9348	0.1052	0.1891	23
DEL	7549	7449	1404	3572	0.8432	0.6759	0.7503	23
Total	8178	8084	1284	18622	0.8643	0.3027	0.4484	34
INS	1619	1553	108	14132	0.9375	0.099	0.1791	34
DEL	6559	6531	1176	4490	0.848	0.5926	0.6977	34
Total	7105	7051	1121	19655	0.8637	0.264	0.4044	45
INS	1497	1440	97	14245	0.9391	0.0918	0.1673	45
DEL	5608	5611	1024	5410	0.8456	0.5091	0.6356	45
Total	5974	5930	939	20776	0.8642	0.222	0.3533	57
INS	1343	1298	84	14387	0.9411	0.0828	0.1522	57
DEL	4631	4632	855	6389	0.8441	0.4203	0.5612	57
Total	4729	4673	736	22033	0.8653	0.175	0.2911	79
INS	1110	1074	65	14611	0.9447	0.0685	0.1277	79
DEL	3619	3599	671	7422	0.8436	0.3266	0.4709	79
Total	3577	3510	520	23196	0.8731	0.1314	0.2284	109
INS	852	822	43	14863	0.952	0.0524	0.0993	109
DEL	2725	2688	477	8333	0.851	0.2439	0.3791	109
Total	2385	2335	331	24371	0.8781	0.0874	0.159	147
INS	597	586	30	15099	0.9522	0.0374	0.072	147
DEL	1788	1749	301	9272	0.8559	0.1587	0.2678	147
Total	2072	2021	296	24685	0.875	0.0757	0.1393	10000
INS	530	522	28	15163	0.9498	0.0333	0.0643	10000
DEL	1542	1499	268	9522	0.8519	0.136	0.2346	10000
