type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	603	558	50	4968	0.9234	0.101	0.1821	0
INS	0	0	0	3832	NA	0	NA	0
DEL	603	558	50	1136	0.9234	0.3294	0.4856	0
Total	603	558	50	4968	0.9234	0.101	0.1821	4.6
INS	0	0	0	3832	NA	0	NA	4.6
DEL	603	558	50	1136	0.9234	0.3294	0.4856	4.6
Total	546	505	44	5021	0.9254	0.0914	0.1664	44.9
INS	0	0	0	3832	NA	0	NA	44.9
DEL	546	505	44	1189	0.9254	0.2981	0.4509	44.9
Total	487	446	41	5080	0.9223	0.0807	0.1484	89.31
INS	0	0	0	3832	NA	0	NA	89.31
DEL	487	446	41	1248	0.9223	0.2633	0.4097	89.31
Total	419	381	36	5145	0.9209	0.0689	0.1282	137.76
INS	0	0	0	3832	NA	0	NA	137.76
DEL	419	381	36	1313	0.9209	0.2249	0.3615	137.76
Total	378	344	33	5182	0.9197	0.0623	0.1167	177.38
INS	0	0	0	3832	NA	0	NA	177.38
DEL	378	344	33	1350	0.9197	0.2031	0.3327	177.38
Total	306	277	25	5249	0.9245	0.0501	0.095	236.38
INS	0	0	0	3832	NA	0	NA	236.38
DEL	306	277	25	1417	0.9245	0.1635	0.2779	236.38
Total	232	208	21	5318	0.917	0.0376	0.0722	323.75
INS	0	0	0	3832	NA	0	NA	323.75
DEL	232	208	21	1486	0.917	0.1228	0.2166	323.75
Total	177	156	18	5370	0.9077	0.0282	0.0547	413.6
INS	0	0	0	3832	NA	0	NA	413.6
DEL	177	156	18	1538	0.9077	0.0921	0.1672	413.6
Total	117	97	11	5429	0.9141	0.0176	0.0345	575.965
INS	0	0	0	3832	NA	0	NA	575.965
DEL	117	97	11	1597	0.9141	0.0573	0.1078	575.965
Total	81	64	0	5462	1	0.0116	0.0229	965.108000000002
INS	0	0	0	3832	NA	0	NA	965.108000000002
DEL	81	64	0	1630	1	0.0378	0.0728	965.108000000002
Total	0	0	0	5526	NA	0	NA	2245.22
INS	0	0	0	3832	NA	0	NA	2245.22
DEL	0	0	0	1694	NA	0	NA	2245.22
