type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1978	1841	5	4342	0.9975	0.2978	0.4587	0
INS	0	0	0	4047	NA	0	NA	0
DEL	1978	1841	5	295	0.9975	0.8619	0.9248	0
Total	1978	1841	5	4342	0.9975	0.2978	0.4587	4.56
INS	0	0	0	4047	NA	0	NA	4.56
DEL	1978	1841	5	295	0.9975	0.8619	0.9248	4.56
Total	1817	1721	2	4462	0.9989	0.2783	0.4353	44.77
INS	0	0	0	4047	NA	0	NA	44.77
DEL	1817	1721	2	415	0.9989	0.8057	0.892	44.77
Total	1641	1580	1	4603	0.9994	0.2555	0.407	89.31
INS	0	0	0	4047	NA	0	NA	89.31
DEL	1641	1580	1	556	0.9994	0.7397	0.8502	89.31
Total	1433	1391	1	4792	0.9993	0.225	0.3673	134.796
INS	0	0	0	4047	NA	0	NA	134.796
DEL	1433	1391	1	745	0.9993	0.6512	0.7885	134.796
Total	1285	1247	1	4936	0.9992	0.2017	0.3356	177.38
INS	0	0	0	4047	NA	0	NA	177.38
DEL	1285	1247	1	889	0.9992	0.5838	0.737	177.38
Total	982	935	1	5248	0.999	0.1512	0.2626	239.77
INS	0	0	0	4047	NA	0	NA	239.77
DEL	982	935	1	1201	0.999	0.4377	0.6087	239.77
Total	810	772	0	5411	1	0.1249	0.2221	324.97
INS	0	0	0	4047	NA	0	NA	324.97
DEL	810	772	0	1364	1	0.3614	0.5309	324.97
Total	590	559	0	5624	1	0.0904	0.1658	431.64
INS	0	0	0	4047	NA	0	NA	431.64
DEL	590	559	0	1577	1	0.2617	0.4148	431.64
Total	404	381	0	5802	1	0.0616	0.1161	577.398000000001
INS	0	0	0	4047	NA	0	NA	577.398000000001
DEL	404	381	0	1755	1	0.1784	0.3028	577.398000000001
Total	239	230	0	5953	1	0.0372	0.0717	925.28
INS	0	0	0	4047	NA	0	NA	925.28
DEL	239	230	0	1906	1	0.1077	0.1945	925.28
Total	0	0	0	6183	NA	0	NA	2245.22
INS	0	0	0	4047	NA	0	NA	2245.22
DEL	0	0	0	2136	NA	0	NA	2245.22
