type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	1374	1333	296	23823	0.8228	0.053	0.0996	0
INS	0	0	0	14892	NA	0	NA	0
DEL	1374	1333	296	8931	0.8228	0.1299	0.2244	0
Total	1374	1333	296	23823	0.8228	0.053	0.0996	4.6
INS	0	0	0	14892	NA	0	NA	4.6
DEL	1374	1333	296	8931	0.8228	0.1299	0.2244	4.6
Total	1239	1194	267	23962	0.8227	0.0475	0.0898	44.9
INS	0	0	0	14892	NA	0	NA	44.9
DEL	1239	1194	267	9070	0.8227	0.1163	0.2038	44.9
Total	1113	1060	240	24096	0.8226	0.0421	0.0801	89.31
INS	0	0	0	14892	NA	0	NA	89.31
DEL	1113	1060	240	9204	0.8226	0.1033	0.1836	89.31
Total	952	905	218	24251	0.8137	0.036	0.0689	137.76
INS	0	0	0	14892	NA	0	NA	137.76
DEL	952	905	218	9359	0.8137	0.0882	0.1591	137.76
Total	842	797	208	24359	0.8019	0.0317	0.061	177.38
INS	0	0	0	14892	NA	0	NA	177.38
DEL	842	797	208	9467	0.8019	0.0777	0.1417	177.38
Total	676	638	189	24518	0.7815	0.0254	0.0492	236.38
INS	0	0	0	14892	NA	0	NA	236.38
DEL	676	638	189	9626	0.7815	0.0622	0.1152	236.38
Total	509	468	160	24688	0.7608	0.0186	0.0363	323.75
INS	0	0	0	14892	NA	0	NA	323.75
DEL	509	468	160	9796	0.7608	0.0456	0.086	323.75
Total	393	353	121	24803	0.7646	0.014	0.0275	413.6
INS	0	0	0	14892	NA	0	NA	413.6
DEL	393	353	121	9911	0.7646	0.0344	0.0658	413.6
Total	275	233	59	24923	0.8234	0.0093	0.0184	575.965
INS	0	0	0	14892	NA	0	NA	575.965
DEL	275	233	59	10031	0.8234	0.0227	0.0442	575.965
Total	163	130	4	25026	0.976	0.0052	0.0103	965.108000000002
INS	0	0	0	14892	NA	0	NA	965.108000000002
DEL	163	130	4	10134	0.976	0.0127	0.0251	965.108000000002
Total	2	1	0	25155	1	0	0	2245.22
INS	0	0	0	14892	NA	0	NA	2245.22
DEL	2	1	0	10263	1	1e-04	2e-04	2245.22
