type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	513	540	196	1449	0.7236	0.2715	0.3948	0	toilvg	calls	s0	1
INS	175	176	65	501	0.7292	0.26	0.3833	0	toilvg	calls	s0	1
DEL	217	225	90	444	0.7068	0.3363	0.4558	0	toilvg	calls	s0	1
INV	121	139	41	504	0.7469	0.2162	0.3353	0	toilvg	calls	s0	1
Total	513	540	196	1449	0.7236	0.2715	0.3948	4	toilvg	calls	s0	1
INS	175	176	65	501	0.7292	0.26	0.3833	4	toilvg	calls	s0	1
DEL	217	225	90	444	0.7068	0.3363	0.4558	4	toilvg	calls	s0	1
INV	121	139	41	504	0.7469	0.2162	0.3353	4	toilvg	calls	s0	1
Total	467	490	178	1499	0.724	0.2464	0.3677	33	toilvg	calls	s0	1
INS	171	172	60	505	0.7403	0.2541	0.3783	33	toilvg	calls	s0	1
DEL	176	181	78	488	0.6929	0.2706	0.3892	33	toilvg	calls	s0	1
INV	120	137	40	506	0.75	0.2131	0.3319	33	toilvg	calls	s0	1
Total	455	478	169	1511	0.7292	0.2403	0.3615	34	toilvg	calls	s0	1
INS	170	171	58	506	0.7456	0.2526	0.3774	34	toilvg	calls	s0	1
DEL	165	170	73	499	0.6933	0.2541	0.3719	34	toilvg	calls	s0	1
INV	120	137	38	506	0.7595	0.2131	0.3328	34	toilvg	calls	s0	1
Total	379	398	117	1591	0.7641	0.2001	0.3171	37	toilvg	calls	s0	1
INS	150	151	41	526	0.7853	0.223	0.3474	37	toilvg	calls	s0	1
DEL	118	121	43	548	0.7329	0.1809	0.2902	37	toilvg	calls	s0	1
INV	111	126	33	517	0.7708	0.196	0.3125	37	toilvg	calls	s0	1
Total	337	354	87	1635	0.7948	0.178	0.2909	39.47942	toilvg	calls	s0	1
INS	145	146	31	531	0.8239	0.2157	0.3419	39.47942	toilvg	calls	s0	1
DEL	92	94	28	575	0.7667	0.1405	0.2375	39.47942	toilvg	calls	s0	1
INV	100	114	28	529	0.7812	0.1773	0.289	39.47942	toilvg	calls	s0	1
Total	291	304	64	1685	0.8197	0.1528	0.2576	43.8808	toilvg	calls	s0	1
INS	126	126	20	551	0.863	0.1861	0.3062	43.8808	toilvg	calls	s0	1
DEL	70	72	18	597	0.7955	0.1076	0.1896	43.8808	toilvg	calls	s0	1
INV	95	106	26	537	0.7851	0.1649	0.2726	43.8808	toilvg	calls	s0	1
Total	235	247	47	1742	0.8333	0.1242	0.2162	54.55432	toilvg	calls	s0	1
INS	92	92	16	585	0.8519	0.1359	0.2344	54.55432	toilvg	calls	s0	1
DEL	65	67	16	602	0.8025	0.1001	0.178	54.55432	toilvg	calls	s0	1
INV	78	88	15	555	0.8387	0.1369	0.2354	54.55432	toilvg	calls	s0	1
Total	172	184	36	1805	0.8269	0.0925	0.1664	65.04158	toilvg	calls	s0	1
INS	68	68	13	609	0.8395	0.1004	0.1794	65.04158	toilvg	calls	s0	1
DEL	48	50	13	619	0.7869	0.0747	0.1364	65.04158	toilvg	calls	s0	1
INV	56	66	10	577	0.8485	0.1026	0.1831	65.04158	toilvg	calls	s0	1
Total	113	121	26	1868	0.8129	0.0608	0.1131	71.72412	toilvg	calls	s0	1
INS	39	39	7	638	0.8478	0.0576	0.1079	71.72412	toilvg	calls	s0	1
DEL	34	35	11	634	0.7556	0.0523	0.0978	71.72412	toilvg	calls	s0	1
INV	40	47	8	596	0.8333	0.0731	0.1344	71.72412	toilvg	calls	s0	1
Total	63	68	6	1921	0.913	0.0342	0.0659	89.39948	toilvg	calls	s0	1
INS	23	23	2	654	0.92	0.034	0.0656	89.39948	toilvg	calls	s0	1
DEL	18	18	1	651	0.9474	0.0269	0.0523	89.39948	toilvg	calls	s0	1
INV	22	27	3	616	0.88	0.042	0.0802	89.39948	toilvg	calls	s0	1
Total	1	1	0	1988	1	5e-04	0.001	212	toilvg	calls	s0	1
INS	1	1	0	676	1	0.0015	0.003	212	toilvg	calls	s0	1
DEL	0	0	0	669	NA	0	NA	212	toilvg	calls	s0	1
INV	0	0	0	643	NA	0	NA	212	toilvg	calls	s0	1
Total	152	152	52	1837	0.7451	0.0764	0.1386	0	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	0	svtyper	calls	s0	1
DEL	46	46	7	623	0.8679	0.0688	0.1275	0	svtyper	calls	s0	1
INV	106	106	45	537	0.702	0.1649	0.2671	0	svtyper	calls	s0	1
Total	152	152	52	1837	0.7451	0.0764	0.1386	1	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	1	svtyper	calls	s0	1
DEL	46	46	7	623	0.8679	0.0688	0.1275	1	svtyper	calls	s0	1
INV	106	106	45	537	0.702	0.1649	0.2671	1	svtyper	calls	s0	1
Total	151	151	52	1838	0.7438	0.0759	0.1377	2	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	2	svtyper	calls	s0	1
DEL	45	45	7	624	0.8654	0.0673	0.1249	2	svtyper	calls	s0	1
INV	106	106	45	537	0.702	0.1649	0.2671	2	svtyper	calls	s0	1
Total	63	63	7	1926	0.9	0.0317	0.0612	5	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	5	svtyper	calls	s0	1
DEL	8	8	2	661	0.8	0.012	0.0236	5	svtyper	calls	s0	1
INV	55	55	5	588	0.9167	0.0855	0.1564	5	svtyper	calls	s0	1
Total	21	21	1	1968	0.9545	0.0106	0.021	7	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	7	svtyper	calls	s0	1
DEL	3	3	0	666	1	0.0045	0.009	7	svtyper	calls	s0	1
INV	18	18	1	625	0.9474	0.028	0.0544	7	svtyper	calls	s0	1
Total	1	1	0	1988	1	5e-04	0.001	22	svtyper	calls	s0	1
INS	0	0	0	677	NA	0	NA	22	svtyper	calls	s0	1
DEL	0	0	0	669	NA	0	NA	22	svtyper	calls	s0	1
INV	1	1	0	642	1	0.0016	0.0032	22	svtyper	calls	s0	1
Total	73	73	21	1916	0.7766	0.0367	0.0701	0	delly	calls	s0	1
INS	37	37	11	640	0.7708	0.0547	0.1022	0	delly	calls	s0	1
DEL	36	36	10	633	0.7826	0.0538	0.1007	0	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	0	delly	calls	s0	1
Total	73	73	21	1916	0.7766	0.0367	0.0701	5	delly	calls	s0	1
INS	37	37	11	640	0.7708	0.0547	0.1022	5	delly	calls	s0	1
DEL	36	36	10	633	0.7826	0.0538	0.1007	5	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	5	delly	calls	s0	1
Total	43	43	5	1946	0.8958	0.0216	0.0422	7	delly	calls	s0	1
INS	25	25	5	652	0.8333	0.0369	0.0707	7	delly	calls	s0	1
DEL	18	18	0	651	1	0.0269	0.0524	7	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	7	delly	calls	s0	1
Total	21	21	2	1968	0.913	0.0106	0.021	10	delly	calls	s0	1
INS	12	12	2	665	0.8571	0.0177	0.0347	10	delly	calls	s0	1
DEL	9	9	0	660	1	0.0135	0.0266	10	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	10	delly	calls	s0	1
Total	10	10	0	1979	1	0.005	0.01	19.2	delly	calls	s0	1
INS	4	4	0	673	1	0.0059	0.0117	19.2	delly	calls	s0	1
DEL	6	6	0	663	1	0.009	0.0178	19.2	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	19.2	delly	calls	s0	1
Total	1	1	0	1988	1	5e-04	0.001	52	delly	calls	s0	1
INS	0	0	0	677	NA	0	NA	52	delly	calls	s0	1
DEL	1	1	0	668	1	0.0015	0.003	52	delly	calls	s0	1
INV	0	0	0	643	NA	0	NA	52	delly	calls	s0	1
Total	307	307	552	1682	0.3574	0.1543	0.2155	0	bayestyper	calls	s0	1
INS	159	159	131	518	0.5483	0.2349	0.3289	0	bayestyper	calls	s0	1
DEL	1	1	4	668	0.2	0.0015	0.003	0	bayestyper	calls	s0	1
INV	147	147	417	496	0.2606	0.2286	0.2436	0	bayestyper	calls	s0	1
Total	307	307	552	1682	0.3574	0.1543	0.2155	1	bayestyper	calls	s0	1
INS	159	159	131	518	0.5483	0.2349	0.3289	1	bayestyper	calls	s0	1
DEL	1	1	4	668	0.2	0.0015	0.003	1	bayestyper	calls	s0	1
INV	147	147	417	496	0.2606	0.2286	0.2436	1	bayestyper	calls	s0	1
Total	292	292	495	1697	0.371	0.1468	0.2104	3	bayestyper	calls	s0	1
INS	156	156	121	521	0.5632	0.2304	0.327	3	bayestyper	calls	s0	1
DEL	1	1	2	668	0.3333	0.0015	0.003	3	bayestyper	calls	s0	1
INV	135	135	372	508	0.2663	0.21	0.2348	3	bayestyper	calls	s0	1
Total	274	274	442	1715	0.3827	0.1378	0.2026	4	bayestyper	calls	s0	1
INS	151	151	113	526	0.572	0.223	0.3209	4	bayestyper	calls	s0	1
DEL	1	1	2	668	0.3333	0.0015	0.003	4	bayestyper	calls	s0	1
INV	122	122	327	521	0.2717	0.1897	0.2234	4	bayestyper	calls	s0	1
Total	246	246	361	1743	0.4053	0.1237	0.1895	6	bayestyper	calls	s0	1
INS	149	149	104	528	0.5889	0.2201	0.3204	6	bayestyper	calls	s0	1
DEL	1	1	2	668	0.3333	0.0015	0.003	6	bayestyper	calls	s0	1
INV	96	96	255	547	0.2735	0.1493	0.1932	6	bayestyper	calls	s0	1
Total	211	211	306	1778	0.4081	0.1061	0.1684	9	bayestyper	calls	s0	1
INS	136	136	96	541	0.5862	0.2009	0.2992	9	bayestyper	calls	s0	1
DEL	1	1	2	668	0.3333	0.0015	0.003	9	bayestyper	calls	s0	1
INV	74	74	208	569	0.2624	0.1151	0.16	9	bayestyper	calls	s0	1
Total	191	191	254	1798	0.4292	0.096	0.1569	13	bayestyper	calls	s0	1
INS	127	127	88	550	0.5907	0.1876	0.2848	13	bayestyper	calls	s0	1
DEL	1	1	1	668	0.5	0.0015	0.003	13	bayestyper	calls	s0	1
INV	63	63	165	580	0.2763	0.098	0.1447	13	bayestyper	calls	s0	1
Total	171	171	203	1818	0.4572	0.086	0.1448	15	bayestyper	calls	s0	1
INS	126	126	82	551	0.6058	0.1861	0.2847	15	bayestyper	calls	s0	1
DEL	1	1	1	668	0.5	0.0015	0.003	15	bayestyper	calls	s0	1
INV	44	44	120	599	0.2683	0.0684	0.109	15	bayestyper	calls	s0	1
Total	145	145	125	1844	0.537	0.0729	0.1284	18	bayestyper	calls	s0	1
INS	124	124	80	553	0.6078	0.1832	0.2815	18	bayestyper	calls	s0	1
DEL	1	1	1	668	0.5	0.0015	0.003	18	bayestyper	calls	s0	1
INV	20	20	44	623	0.3125	0.0311	0.0566	18	bayestyper	calls	s0	1
Total	121	121	73	1868	0.6237	0.0608	0.1108	99	bayestyper	calls	s0	1
INS	120	120	72	557	0.625	0.1773	0.2762	99	bayestyper	calls	s0	1
DEL	1	1	1	668	0.5	0.0015	0.003	99	bayestyper	calls	s0	1
INV	0	0	0	643	NA	0	NA	99	bayestyper	calls	s0	1
Total	593	596	195	1393	0.7525	0.2996	0.4286	0	toilvg	truth	s0	1
INS	191	191	52	486	0.786	0.2821	0.4152	0	toilvg	truth	s0	1
DEL	245	245	98	424	0.7143	0.3662	0.4842	0	toilvg	truth	s0	1
INV	157	160	45	483	0.7772	0.2488	0.3769	0	toilvg	truth	s0	1
Total	593	596	195	1393	0.7525	0.2996	0.4286	4	toilvg	truth	s0	1
INS	191	191	52	486	0.786	0.2821	0.4152	4	toilvg	truth	s0	1
