type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	334	358	119	866	0.7373	0.2925	0.4188	0	toilvg	calls	s0	1
INS	110	111	34	287	0.7639	0.2789	0.4086	0	toilvg	calls	s0	1
DEL	132	137	52	278	0.7174	0.3301	0.4522	0	toilvg	calls	s0	1
INV	92	110	33	301	0.736	0.2676	0.3925	0	toilvg	calls	s0	1
Total	334	358	119	866	0.7373	0.2925	0.4188	4	toilvg	calls	s0	1
INS	110	111	34	287	0.7639	0.2789	0.4086	4	toilvg	calls	s0	1
DEL	132	137	52	278	0.7174	0.3301	0.4522	4	toilvg	calls	s0	1
INV	92	110	33	301	0.736	0.2676	0.3925	4	toilvg	calls	s0	1
Total	307	327	108	897	0.7398	0.2672	0.3926	33	toilvg	calls	s0	1
INS	107	108	32	290	0.7698	0.2714	0.4013	33	toilvg	calls	s0	1
DEL	109	111	44	304	0.7124	0.2675	0.389	33	toilvg	calls	s0	1
INV	91	108	32	303	0.7398	0.2628	0.3878	33	toilvg	calls	s0	1
Total	302	322	102	902	0.7475	0.2631	0.3892	34	toilvg	calls	s0	1
INS	107	108	30	290	0.781	0.2714	0.4028	34	toilvg	calls	s0	1
DEL	104	106	42	309	0.7123	0.2554	0.376	34	toilvg	calls	s0	1
INV	91	108	30	303	0.7521	0.2628	0.3895	34	toilvg	calls	s0	1
Total	253	269	77	955	0.7667	0.2198	0.3417	37	toilvg	calls	s0	1
INS	94	95	24	303	0.7966	0.2387	0.3673	37	toilvg	calls	s0	1
DEL	77	77	26	338	0.7476	0.1855	0.2972	37	toilvg	calls	s0	1
INV	82	97	27	314	0.7523	0.236	0.3593	37	toilvg	calls	s0	1
Total	225	239	62	985	0.784	0.1953	0.3127	39.47942	toilvg	calls	s0	1
INS	91	92	19	306	0.8273	0.2312	0.3614	39.47942	toilvg	calls	s0	1
DEL	58	57	18	358	0.7632	0.1373	0.2327	39.47942	toilvg	calls	s0	1
INV	76	90	25	321	0.7525	0.219	0.3393	39.47942	toilvg	calls	s0	1
Total	200	211	48	1013	0.8065	0.1724	0.2841	43.8808	toilvg	calls	s0	1
INS	82	82	13	316	0.8632	0.206	0.3326	43.8808	toilvg	calls	s0	1
DEL	45	45	12	370	0.7895	0.1084	0.1906	43.8808	toilvg	calls	s0	1
INV	73	84	23	327	0.7604	0.2044	0.3222	43.8808	toilvg	calls	s0	1
Total	172	182	35	1042	0.8309	0.1487	0.2523	54.55432	toilvg	calls	s0	1
INS	68	68	11	330	0.8608	0.1709	0.2852	54.55432	toilvg	calls	s0	1
DEL	42	42	10	373	0.8077	0.1012	0.1799	54.55432	toilvg	calls	s0	1
INV	62	72	14	339	0.8158	0.1752	0.2885	54.55432	toilvg	calls	s0	1
Total	134	144	26	1080	0.8375	0.1176	0.2062	65.04158	toilvg	calls	s0	1
INS	55	55	10	343	0.8462	0.1382	0.2376	65.04158	toilvg	calls	s0	1
DEL	32	32	7	383	0.8205	0.0771	0.141	65.04158	toilvg	calls	s0	1
INV	47	57	9	354	0.8393	0.1387	0.2381	65.04158	toilvg	calls	s0	1
Total	90	96	18	1128	0.8333	0.0784	0.1433	71.72412	toilvg	calls	s0	1
INS	32	32	4	366	0.8889	0.0804	0.1475	71.72412	toilvg	calls	s0	1
DEL	24	23	6	392	0.8	0.0554	0.1036	71.72412	toilvg	calls	s0	1
INV	34	41	8	370	0.8095	0.0998	0.1777	71.72412	toilvg	calls	s0	1
Total	47	51	5	1173	0.9038	0.0417	0.0797	89.39948	toilvg	calls	s0	1
INS	18	18	1	380	0.9474	0.0452	0.0863	89.39948	toilvg	calls	s0	1
DEL	11	10	1	405	0.9167	0.0241	0.047	89.39948	toilvg	calls	s0	1
INV	18	23	3	388	0.8571	0.056	0.1051	89.39948	toilvg	calls	s0	1
Total	1	1	0	1223	1	8e-04	0.0016	212	toilvg	calls	s0	1
INS	1	1	0	397	1	0.0025	0.005	212	toilvg	calls	s0	1
DEL	0	0	0	415	NA	0	NA	212	toilvg	calls	s0	1
INV	0	0	0	411	NA	0	NA	212	toilvg	calls	s0	1
Total	52	50	21	1174	0.7123	0.0408	0.0772	0	svtyper	calls	s0	1
INS	0	0	0	398	NA	0	NA	0	svtyper	calls	s0	1
DEL	15	14	3	401	0.8333	0.0337	0.0648	0	svtyper	calls	s0	1
INV	37	36	18	375	0.6727	0.0876	0.155	0	svtyper	calls	s0	1
Total	52	50	21	1174	0.7123	0.0408	0.0772	1	svtyper	calls	s0	1
INS	0	0	0	398	NA	0	NA	1	svtyper	calls	s0	1
DEL	15	14	3	401	0.8333	0.0337	0.0648	1	svtyper	calls	s0	1
INV	37	36	18	375	0.6727	0.0876	0.155	1	svtyper	calls	s0	1
Total	51	49	21	1175	0.7083	0.04	0.0757	2	svtyper	calls	s0	1
INS	0	0	0	398	NA	0	NA	2	svtyper	calls	s0	1
DEL	14	13	3	402	0.8235	0.0313	0.0603	2	svtyper	calls	s0	1
INV	37	36	18	375	0.6727	0.0876	0.155	2	svtyper	calls	s0	1
Total	18	18	2	1206	0.9	0.0147	0.0289	5	svtyper	calls	s0	1
INS	0	0	0	398	NA	0	NA	5	svtyper	calls	s0	1
DEL	2	2	1	413	0.6667	0.0048	0.0095	5	svtyper	calls	s0	1
INV	16	16	1	395	0.9412	0.0389	0.0747	5	svtyper	calls	s0	1
Total	6	6	0	1218	1	0.0049	0.0098	7	svtyper	calls	s0	1
INS	0	0	0	398	NA	0	NA	7	svtyper	calls	s0	1
DEL	2	2	0	413	1	0.0048	0.0096	7	svtyper	calls	s0	1
INV	4	4	0	407	1	0.0097	0.0192	7	svtyper	calls	s0	1
Total	0	0	0	1224	NA	0	NA	22	svtyper	calls	s0	1
INS	0	0	0	398	NA	0	NA	22	svtyper	calls	s0	1
DEL	0	0	0	415	NA	0	NA	22	svtyper	calls	s0	1
INV	0	0	0	411	NA	0	NA	22	svtyper	calls	s0	1
Total	53	53	16	1171	0.7681	0.0433	0.082	0	delly	calls	s0	1
INS	33	33	10	365	0.7674	0.0829	0.1496	0	delly	calls	s0	1
DEL	20	20	6	395	0.7692	0.0482	0.0907	0	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	0	delly	calls	s0	1
Total	53	53	16	1171	0.7681	0.0433	0.082	5	delly	calls	s0	1
INS	33	33	10	365	0.7674	0.0829	0.1496	5	delly	calls	s0	1
DEL	20	20	6	395	0.7692	0.0482	0.0907	5	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	5	delly	calls	s0	1
Total	32	32	5	1192	0.8649	0.0261	0.0507	7	delly	calls	s0	1
INS	21	21	5	377	0.8077	0.0528	0.0991	7	delly	calls	s0	1
DEL	11	11	0	404	1	0.0265	0.0516	7	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	7	delly	calls	s0	1
Total	14	14	2	1210	0.875	0.0114	0.0225	10	delly	calls	s0	1
INS	10	10	2	388	0.8333	0.0251	0.0487	10	delly	calls	s0	1
DEL	4	4	0	411	1	0.0096	0.019	10	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	10	delly	calls	s0	1
Total	7	7	0	1217	1	0.0057	0.0113	19.2	delly	calls	s0	1
INS	3	3	0	395	1	0.0075	0.0149	19.2	delly	calls	s0	1
DEL	4	4	0	411	1	0.0096	0.019	19.2	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	19.2	delly	calls	s0	1
Total	1	1	0	1223	1	8e-04	0.0016	52	delly	calls	s0	1
INS	0	0	0	398	NA	0	NA	52	delly	calls	s0	1
DEL	1	1	0	414	1	0.0024	0.0048	52	delly	calls	s0	1
INV	0	0	0	411	NA	0	NA	52	delly	calls	s0	1
Total	121	120	232	1104	0.3428	0.098	0.1524	0	bayestyper	calls	s0	1
INS	56	56	51	342	0.5234	0.1407	0.2218	0	bayestyper	calls	s0	1
DEL	1	1	4	414	0.2	0.0024	0.0047	0	bayestyper	calls	s0	1
INV	64	63	177	348	0.2656	0.1533	0.1944	0	bayestyper	calls	s0	1
Total	121	120	232	1104	0.3428	0.098	0.1524	1	bayestyper	calls	s0	1
INS	56	56	51	342	0.5234	0.1407	0.2218	1	bayestyper	calls	s0	1
DEL	1	1	4	414	0.2	0.0024	0.0047	1	bayestyper	calls	s0	1
INV	64	63	177	348	0.2656	0.1533	0.1944	1	bayestyper	calls	s0	1
Total	113	112	206	1112	0.3542	0.0915	0.1454	3	bayestyper	calls	s0	1
INS	55	55	43	343	0.5612	0.1382	0.2218	3	bayestyper	calls	s0	1
DEL	1	1	2	414	0.3333	0.0024	0.0048	3	bayestyper	calls	s0	1
INV	57	56	161	355	0.2615	0.1363	0.1792	3	bayestyper	calls	s0	1
Total	104	103	180	1121	0.3662	0.0842	0.1369	4	bayestyper	calls	s0	1
INS	53	53	39	345	0.5761	0.1332	0.2164	4	bayestyper	calls	s0	1
DEL	1	1	2	414	0.3333	0.0024	0.0048	4	bayestyper	calls	s0	1
INV	50	49	139	362	0.2646	0.1192	0.1644	4	bayestyper	calls	s0	1
Total	88	87	133	1137	0.3982	0.0711	0.1207	6	bayestyper	calls	s0	1
INS	53	53	31	345	0.631	0.1332	0.22	6	bayestyper	calls	s0	1
DEL	1	1	2	414	0.3333	0.0024	0.0048	6	bayestyper	calls	s0	1
INV	34	33	100	378	0.2537	0.0803	0.122	6	bayestyper	calls	s0	1
Total	77	76	106	1148	0.4208	0.0621	0.1082	9	bayestyper	calls	s0	1
INS	49	49	26	349	0.6533	0.1231	0.2072	9	bayestyper	calls	s0	1
DEL	1	1	2	414	0.3333	0.0024	0.0048	9	bayestyper	calls	s0	1
INV	27	26	78	385	0.2571	0.0633	0.1016	9	bayestyper	calls	s0	1
Total	69	68	87	1156	0.4423	0.0556	0.0988	13	bayestyper	calls	s0	1
INS	45	45	21	353	0.6818	0.1131	0.194	13	bayestyper	calls	s0	1
DEL	1	1	1	414	0.5	0.0024	0.0048	13	bayestyper	calls	s0	1
INV	23	22	65	389	0.2614	0.0535	0.0888	13	bayestyper	calls	s0	1
Total	63	62	63	1162	0.5	0.0507	0.0921	15	bayestyper	calls	s0	1
INS	45	45	16	353	0.7377	0.1131	0.1961	15	bayestyper	calls	s0	1
DEL	1	1	1	414	0.5	0.0024	0.0048	15	bayestyper	calls	s0	1
INV	17	16	46	395	0.2698	0.0389	0.068	15	bayestyper	calls	s0	1
Total	54	54	28	1170	0.6585	0.0441	0.0827	18	bayestyper	calls	s0	1
INS	44	44	16	354	0.7333	0.1106	0.1922	18	bayestyper	calls	s0	1
DEL	1	1	1	414	0.5	0.0024	0.0048	18	bayestyper	calls	s0	1
INV	9	9	11	402	0.45	0.0219	0.0418	18	bayestyper	calls	s0	1
Total	45	45	17	1179	0.7258	0.0368	0.07	99	bayestyper	calls	s0	1
INS	44	44	16	354	0.7333	0.1106	0.1922	99	bayestyper	calls	s0	1
DEL	1	1	1	414	0.5	0.0024	0.0048	99	bayestyper	calls	s0	1
INV	0	0	0	411	NA	0	NA	99	bayestyper	calls	s0	1
Total	390	392	124	832	0.7588	0.3203	0.4505	0	toilvg	truth	s0	1
INS	117	117	31	281	0.7905	0.294	0.4286	0	toilvg	truth	s0	1
DEL	150	150	57	265	0.7246	0.3614	0.4823	0	toilvg	truth	s0	1
INV	123	125	36	286	0.7736	0.3041	0.4366	0	toilvg	truth	s0	1
Total	390	392	124	832	0.7588	0.3203	0.4505	4	toilvg	truth	s0	1
