type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	193	193	0	616	1	0.2386	0.3853	0	toilvg	calls	s0	1
INS	97	97	0	292	1	0.2494	0.3992	0	toilvg	calls	s0	1
DEL	96	96	0	324	1	0.2286	0.3721	0	toilvg	calls	s0	1
Total	193	193	0	616	1	0.2386	0.3853	14	toilvg	calls	s0	1
INS	97	97	0	292	1	0.2494	0.3992	14	toilvg	calls	s0	1
DEL	96	96	0	324	1	0.2286	0.3721	14	toilvg	calls	s0	1
Total	178	178	0	631	1	0.22	0.3607	33	toilvg	calls	s0	1
INS	94	94	0	295	1	0.2416	0.3892	33	toilvg	calls	s0	1
DEL	84	84	0	336	1	0.2	0.3333	33	toilvg	calls	s0	1
Total	170	170	0	639	1	0.2101	0.3472	34	toilvg	calls	s0	1
INS	92	92	0	297	1	0.2365	0.3825	34	toilvg	calls	s0	1
DEL	78	78	0	342	1	0.1857	0.3132	34	toilvg	calls	s0	1
Total	129	129	0	680	1	0.1595	0.2751	38	toilvg	calls	s0	1
INS	81	81	0	308	1	0.2082	0.3446	38	toilvg	calls	s0	1
DEL	48	48	0	372	1	0.1143	0.2052	38	toilvg	calls	s0	1
Total	123	123	0	686	1	0.152	0.2639	40	toilvg	calls	s0	1
INS	79	79	0	310	1	0.2031	0.3376	40	toilvg	calls	s0	1
DEL	44	44	0	376	1	0.1048	0.1897	40	toilvg	calls	s0	1
Total	102	102	0	707	1	0.1261	0.224	49.2691	toilvg	calls	s0	1
INS	73	73	0	316	1	0.1877	0.3161	49.2691	toilvg	calls	s0	1
DEL	29	29	0	391	1	0.069	0.1291	49.2691	toilvg	calls	s0	1
Total	88	88	0	721	1	0.1088	0.1962	59.9828	toilvg	calls	s0	1
INS	62	62	0	327	1	0.1594	0.275	59.9828	toilvg	calls	s0	1
DEL	26	26	0	394	1	0.0619	0.1166	59.9828	toilvg	calls	s0	1
Total	69	69	0	740	1	0.0853	0.1572	68	toilvg	calls	s0	1
INS	51	51	0	338	1	0.1311	0.2318	68	toilvg	calls	s0	1
DEL	18	18	0	402	1	0.0429	0.0823	68	toilvg	calls	s0	1
Total	47	47	0	762	1	0.0581	0.1098	73.625	toilvg	calls	s0	1
INS	37	37	0	352	1	0.0951	0.1737	73.625	toilvg	calls	s0	1
DEL	10	10	0	410	1	0.0238	0.0465	73.625	toilvg	calls	s0	1
Total	27	27	0	782	1	0.0334	0.0646	94.0563	toilvg	calls	s0	1
INS	21	21	0	368	1	0.054	0.1025	94.0563	toilvg	calls	s0	1
DEL	6	6	0	414	1	0.0143	0.0282	94.0563	toilvg	calls	s0	1
Total	1	1	0	808	1	0.0012	0.0024	160.794	toilvg	calls	s0	1
INS	1	1	0	388	1	0.0026	0.0052	160.794	toilvg	calls	s0	1
DEL	0	0	0	420	NA	0	NA	160.794	toilvg	calls	s0	1
Total	11	10	0	799	1	0.0124	0.0245	0	svtyper	calls	s0	1
INS	0	0	0	389	NA	0	NA	0	svtyper	calls	s0	1
DEL	11	10	0	410	1	0.0238	0.0465	0	svtyper	calls	s0	1
Total	11	10	0	799	1	0.0124	0.0245	25.33	svtyper	calls	s0	1
INS	0	0	0	389	NA	0	NA	25.33	svtyper	calls	s0	1
DEL	11	10	0	410	1	0.0238	0.0465	25.33	svtyper	calls	s0	1
Total	10	9	0	800	1	0.0111	0.022	31.46	svtyper	calls	s0	1
INS	0	0	0	389	NA	0	NA	31.46	svtyper	calls	s0	1
DEL	10	9	0	411	1	0.0214	0.0419	31.46	svtyper	calls	s0	1
Total	1	1	0	808	1	0.0012	0.0024	57.406	svtyper	calls	s0	1
INS	0	0	0	389	NA	0	NA	57.406	svtyper	calls	s0	1
DEL	1	1	0	419	1	0.0024	0.0048	57.406	svtyper	calls	s0	1
Total	0	0	0	809	NA	0	NA	89.31	svtyper	calls	s0	1
INS	0	0	0	389	NA	0	NA	89.31	svtyper	calls	s0	1
DEL	0	0	0	420	NA	0	NA	89.31	svtyper	calls	s0	1
Total	63	62	0	747	1	0.0766	0.1423	0	delly	calls	s0	1
INS	33	33	0	356	1	0.0848	0.1563	0	delly	calls	s0	1
DEL	30	29	0	391	1	0.069	0.1291	0	delly	calls	s0	1
Total	63	62	0	747	1	0.0766	0.1423	5	delly	calls	s0	1
INS	33	33	0	356	1	0.0848	0.1563	5	delly	calls	s0	1
DEL	30	29	0	391	1	0.069	0.1291	5	delly	calls	s0	1
Total	32	31	0	778	1	0.0383	0.0738	7	delly	calls	s0	1
INS	21	21	0	368	1	0.054	0.1025	7	delly	calls	s0	1
DEL	11	10	0	410	1	0.0238	0.0465	7	delly	calls	s0	1
Total	16	16	0	793	1	0.0198	0.0388	10	delly	calls	s0	1
INS	12	12	0	377	1	0.0308	0.0598	10	delly	calls	s0	1
DEL	4	4	0	416	1	0.0095	0.0188	10	delly	calls	s0	1
Total	8	8	0	801	1	0.0099	0.0196	24	delly	calls	s0	1
INS	6	6	0	383	1	0.0154	0.0303	24	delly	calls	s0	1
DEL	2	2	0	418	1	0.0048	0.0096	24	delly	calls	s0	1
Total	0	0	0	809	NA	0	NA	30	delly	calls	s0	1
INS	0	0	0	389	NA	0	NA	30	delly	calls	s0	1
DEL	0	0	0	420	NA	0	NA	30	delly	calls	s0	1
Total	103	103	1	706	0.9904	0.1273	0.2256	0	bayestyper	calls	s0	1
INS	99	99	0	290	1	0.2545	0.4057	0	bayestyper	calls	s0	1
DEL	4	4	1	416	0.8	0.0095	0.0188	0	bayestyper	calls	s0	1
Total	103	103	1	706	0.9904	0.1273	0.2256	3.35734	bayestyper	calls	s0	1
INS	99	99	0	290	1	0.2545	0.4057	3.35734	bayestyper	calls	s0	1
DEL	4	4	1	416	0.8	0.0095	0.0188	3.35734	bayestyper	calls	s0	1
Total	94	94	1	715	0.9895	0.1162	0.208	6.482813	bayestyper	calls	s0	1
INS	91	91	0	298	1	0.2339	0.3791	6.482813	bayestyper	calls	s0	1
DEL	3	3	1	417	0.75	0.0071	0.0141	6.482813	bayestyper	calls	s0	1
Total	76	76	0	733	1	0.0939	0.1717	8.319796	bayestyper	calls	s0	1
INS	73	73	0	316	1	0.1877	0.3161	8.319796	bayestyper	calls	s0	1
DEL	3	3	0	417	1	0.0071	0.0141	8.319796	bayestyper	calls	s0	1
