type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	method	graph	sample	depth
Total	1187	1207	0	782	1	0.6068	0.7553	0	vg	calls	s0	1
INS	463	466	0	211	1	0.6883	0.8154	0	vg	calls	s0	1
DEL	308	317	0	352	1	0.4738	0.643	0	vg	calls	s0	1
INV	416	424	0	219	1	0.6594	0.7947	0	vg	calls	s0	1
Total	134	139	0	1850	1	0.0699	0.1307	2	vg	calls	s0	1
INS	25	25	0	652	1	0.0369	0.0712	2	vg	calls	s0	1
DEL	78	81	0	588	1	0.1211	0.216	2	vg	calls	s0	1
INV	31	33	0	610	1	0.0513	0.0976	2	vg	calls	s0	1
Total	35	35	0	1954	1	0.0176	0.0346	3	vg	calls	s0	1
INS	6	6	0	671	1	0.0089	0.0176	3	vg	calls	s0	1
DEL	22	22	0	647	1	0.0329	0.0637	3	vg	calls	s0	1
INV	7	7	0	636	1	0.0109	0.0216	3	vg	calls	s0	1
Total	6	6	0	1983	1	0.003	0.006	4	vg	calls	s0	1
INS	2	2	0	675	1	0.003	0.006	4	vg	calls	s0	1
DEL	3	3	0	666	1	0.0045	0.009	4	vg	calls	s0	1
INV	1	1	0	642	1	0.0016	0.0032	4	vg	calls	s0	1
Total	1	1	0	1988	1	5e-04	0.001	5	vg	calls	s0	1
INS	1	1	0	676	1	0.0015	0.003	5	vg	calls	s0	1
DEL	0	0	0	669	NA	0	NA	5	vg	calls	s0	1
INV	0	0	0	643	NA	0	NA	5	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	7	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	7	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	7	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	7	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	10	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	10	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	10	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	10	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	12	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	12	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	12	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	12	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	14	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	14	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	14	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	14	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	21	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	21	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	21	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	21	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	27	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	27	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	27	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	27	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	35	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	35	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	35	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	35	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	45	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	45	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	45	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	45	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	50	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	50	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	50	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	50	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	60	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	60	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	60	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	60	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	75	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	75	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	75	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	75	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	90	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	90	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	90	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	90	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	99	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	99	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	99	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	99	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	110	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	110	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	110	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	110	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	133	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	133	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	133	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	133	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	167	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	167	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	167	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	167	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	180	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	180	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	180	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	180	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	250	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	250	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	250	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	250	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	350	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	350	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	350	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	350	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	450	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	450	vg	calls	s0	1
INS	NA	NA	NA	NA	NA	NA	NA	450	vg	calls	s0	1
INV	NA	NA	NA	NA	NA	NA	NA	450	vg	calls	s0	1
Total	NA	NA	NA	NA	NA	NA	NA	550	vg	calls	s0	1
DEL	NA	NA	NA	NA	NA	NA	NA	550	vg	calls	s0	1
