type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3851	3864	1165	855	0.7677	0.8188	0.7924	0
INS	2678	2677	985	514	0.7311	0.8389	0.7813	0
DEL	1166	1180	176	321	0.8689	0.7861	0.8254	0
INV	7	7	4	20	0.6364	0.2593	0.3685	0
Total	3839	3852	1162	867	0.7676	0.8163	0.7912	13
INS	2666	2665	982	526	0.7308	0.8352	0.7795	13
DEL	1166	1180	176	321	0.8689	0.7861	0.8254	13
INV	7	7	4	20	0.6364	0.2593	0.3685	13
Total	3803	3815	1133	904	0.7705	0.8084	0.789	36.59856
INS	2637	2635	955	556	0.7341	0.8258	0.7773	36.59856
DEL	1159	1173	174	328	0.8695	0.7815	0.8232	36.59856
INV	7	7	4	20	0.6364	0.2593	0.3685	36.59856
Total	3714	3727	1086	992	0.7738	0.7898	0.7817	69
INS	2561	2560	912	631	0.7374	0.8023	0.7685	69
DEL	1147	1161	170	340	0.8709	0.7735	0.8193	69
INV	6	6	4	21	0.6	0.2222	0.3243	69
Total	3539	3553	966	1166	0.7856	0.7529	0.7689	107
INS	2424	2424	804	767	0.7509	0.7596	0.7552	107
DEL	1109	1123	158	378	0.8753	0.7482	0.8068	107
INV	6	6	4	21	0.6	0.2222	0.3243	107
Total	3155	3168	795	1551	0.7987	0.6713	0.7295	151
INS	2139	2140	658	1051	0.7647	0.6706	0.7146	151
DEL	1010	1022	133	479	0.8836	0.6809	0.7691	151
INV	6	6	4	21	0.6	0.2222	0.3243	151
Total	2738	2750	586	1969	0.8237	0.5828	0.6826	203.8202
INS	1835	1840	480	1351	0.7927	0.5766	0.6676	203.8202
DEL	898	905	102	596	0.898	0.6029	0.7214	203.8202
INV	5	5	4	22	0.5556	0.1852	0.2778	203.8202
Total	2203	2211	356	2508	0.8609	0.4685	0.6068	274.0438
INS	1480	1484	288	1707	0.8371	0.4651	0.598	274.0438
DEL	719	723	65	778	0.9171	0.4817	0.6316	274.0438
INV	4	4	3	23	0.5714	0.1481	0.2352	274.0438
Total	1597	1602	181	3117	0.8982	0.3395	0.4928	384.2946
INS	1084	1088	150	2103	0.8784	0.341	0.4913	384.2946
DEL	512	513	29	988	0.9464	0.3418	0.5022	384.2946
INV	1	1	2	26	0.3333	0.037	0.0666	384.2946
Total	929	928	40	3791	0.9587	0.1967	0.3264	590.6098
INS	658	657	38	2534	0.9454	0.2059	0.3382	590.6098
DEL	271	271	2	1230	0.9927	0.1805	0.3055	590.6098
INV	0	0	0	27	NA	0	NA	590.6098
Total	0	0	0	4719	NA	0	NA	26848.8
INS	0	0	0	3191	NA	0	NA	26848.8
DEL	0	0	0	1501	NA	0	NA	26848.8
INV	0	0	0	27	NA	0	NA	26848.8
