type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	13648	13630	9897	10376	0.5797	0.5678	0.5737	0
INS	8948	8867	7850	5172	0.5327	0.6316	0.5779	0
DEL	4689	4752	2039	5150	0.6969	0.4799	0.5684	0
INV	11	11	8	54	0.5789	0.1692	0.2619	0
Total	12822	12803	8376	11203	0.6049	0.5333	0.5668	13
INS	8250	8165	6534	5874	0.558	0.5816	0.5696	13
DEL	4561	4627	1834	5275	0.7132	0.4673	0.5646	13
INV	11	11	8	54	0.5789	0.1692	0.2619	13
Total	11797	11746	7040	12260	0.6263	0.4893	0.5494	36.59856
INS	7563	7465	5499	6574	0.579	0.5317	0.5543	36.59856
DEL	4223	4270	1533	5632	0.7337	0.4312	0.5432	36.59856
INV	11	11	8	54	0.5789	0.1692	0.2619	36.59856
Total	10695	10644	5817	13362	0.6477	0.4434	0.5264	69
INS	6798	6709	4578	7330	0.5976	0.4779	0.5311	69
DEL	3887	3925	1231	5977	0.7595	0.3964	0.5209	69
INV	10	10	8	55	0.5556	0.1538	0.2409	69
Total	9453	9404	4692	14602	0.6683	0.3917	0.4939	107
INS	5979	5907	3731	8132	0.6158	0.4208	0.5	107
DEL	3464	3487	954	6415	0.7841	0.3522	0.4861	107
INV	10	10	7	55	0.5882	0.1538	0.2438	107
Total	8061	8042	3723	15964	0.6841	0.335	0.4498	151
INS	5104	5061	3008	8978	0.6292	0.3605	0.4584	151
DEL	2947	2971	709	6931	0.8061	0.3	0.4373	151
INV	10	10	6	55	0.625	0.1538	0.2469	151
Total	6689	6697	2730	17309	0.7102	0.279	0.4006	203.8202
INS	4258	4252	2269	9787	0.6524	0.3029	0.4137	203.8202
DEL	2422	2436	455	7466	0.8418	0.246	0.3807	203.8202
INV	9	9	6	56	0.6	0.1385	0.2251	203.8202
Total	5284	5296	1780	18710	0.748	0.2206	0.3407	274.0438
INS	3423	3428	1524	10611	0.6919	0.2442	0.361	274.0438
DEL	1854	1861	253	8041	0.8799	0.1879	0.3097	274.0438
INV	7	7	3	58	0.7	0.1077	0.1867	274.0438
Total	3728	3744	982	20262	0.7915	0.156	0.2606	384.2946
INS	2458	2471	864	11568	0.7399	0.176	0.2844	384.2946
DEL	1267	1270	116	8632	0.9161	0.1283	0.2251	384.2946
INV	3	3	2	62	0.6	0.0462	0.0858	384.2946
Total	1979	1986	376	22020	0.8403	0.0827	0.1506	590.6098
INS	1362	1369	354	12670	0.7937	0.0975	0.1737	590.6098
DEL	616	616	22	9286	0.9655	0.0622	0.1169	590.6098
INV	1	1	0	64	1	0.0154	0.0303	590.6098
Total	0	0	1	24006	0	0	NA	26848.8
INS	0	0	1	14039	0	0	NA	26848.8
DEL	0	0	0	9902	NA	0	NA	26848.8
INV	0	0	0	65	NA	0	NA	26848.8
