type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9433	8986	11945	15020	0.4412	0.3743	0.405	0
INS	5577	5245	8563	8789	0.3944	0.3737	0.3838	0
DEL	3856	3741	3382	6166	0.5327	0.3776	0.4419	0
INV	0	0	0	65	NA	0	NA	0
Total	9428	8983	11939	15023	0.4412	0.3742	0.4049	2
INS	5575	5243	8559	8791	0.3944	0.3736	0.3837	2
DEL	3853	3740	3380	6167	0.5327	0.3775	0.4419	2
INV	0	0	0	65	NA	0	NA	2
Total	9388	8952	11801	15054	0.4431	0.3729	0.405	3
INS	5551	5222	8459	8812	0.3962	0.3721	0.3838	3
DEL	3837	3730	3342	6177	0.5345	0.3765	0.4418	3
INV	0	0	0	65	NA	0	NA	3
Total	9114	8728	11154	15278	0.4497	0.3636	0.4021	4
INS	5376	5078	8004	8956	0.4018	0.3618	0.3808	4
DEL	3738	3650	3150	6257	0.5427	0.3684	0.4389	4
INV	0	0	0	65	NA	0	NA	4
Total	8392	8143	9225	15863	0.4764	0.3392	0.3963	5
INS	4896	4692	6589	9342	0.4263	0.3343	0.3747	5
DEL	3496	3451	2636	6456	0.5701	0.3483	0.4324	5
INV	0	0	0	65	NA	0	NA	5
Total	7812	7629	7875	16377	0.498	0.3178	0.388	7
INS	4580	4424	5651	9610	0.4477	0.3152	0.3699	7
DEL	3232	3205	2224	6702	0.5924	0.3235	0.4185	7
INV	0	0	0	65	NA	0	NA	7
Total	7066	6967	6535	17039	0.5195	0.2902	0.3724	10
INS	4140	4042	4702	9992	0.4682	0.288	0.3566	10
DEL	2926	2925	1833	6982	0.6148	0.2952	0.3989	10
INV	0	0	0	65	NA	0	NA	10
Total	6832	6742	6149	17264	0.5263	0.2808	0.3662	12
INS	4000	3910	4426	10124	0.4747	0.2786	0.3511	12
DEL	2832	2832	1723	7075	0.6217	0.2859	0.3917	12
INV	0	0	0	65	NA	0	NA	12
Total	6822	6732	6126	17274	0.5269	0.2804	0.366	14
INS	3993	3904	4414	10130	0.475	0.2782	0.3509	14
DEL	2829	2828	1712	7079	0.623	0.2855	0.3916	14
INV	0	0	0	65	NA	0	NA	14
Total	6729	6653	5982	17353	0.5294	0.2771	0.3638	21
INS	3933	3857	4324	10177	0.4763	0.2748	0.3485	21
DEL	2796	2796	1658	7111	0.6278	0.2822	0.3894	21
INV	0	0	0	65	NA	0	NA	21
Total	6727	6651	5980	17355	0.5294	0.2771	0.3638	27
INS	3932	3856	4322	10178	0.4764	0.2748	0.3485	27
DEL	2795	2795	1658	7112	0.6277	0.2821	0.3893	27
INV	0	0	0	65	NA	0	NA	27
Total	6727	6651	5980	17355	0.5294	0.2771	0.3638	35
INS	3932	3856	4322	10178	0.4764	0.2748	0.3485	35
DEL	2795	2795	1658	7112	0.6277	0.2821	0.3893	35
INV	0	0	0	65	NA	0	NA	35
Total	6727	6651	5980	17355	0.5294	0.2771	0.3638	45
INS	3932	3856	4322	10178	0.4764	0.2748	0.3485	45
DEL	2795	2795	1658	7112	0.6277	0.2821	0.3893	45
INV	0	0	0	65	NA	0	NA	45
Total	6727	6651	5980	17355	0.5294	0.2771	0.3638	50
INS	3932	3856	4322	10178	0.4764	0.2748	0.3485	50
DEL	2795	2795	1658	7112	0.6277	0.2821	0.3893	50
INV	0	0	0	65	NA	0	NA	50
Total	6727	6651	5980	17355	0.5294	0.2771	0.3638	60
INS	3932	3856	4322	10178	0.4764	0.2748	0.3485	60
DEL	2795	2795	1658	7112	0.6277	0.2821	0.3893	60
INV	0	0	0	65	NA	0	NA	60
Total	6727	6651	5980	17355	0.5294	0.2771	0.3638	75
INS	3932	3856	4322	10178	0.4764	0.2748	0.3485	75
DEL	2795	2795	1658	7112	0.6277	0.2821	0.3893	75
INV	0	0	0	65	NA	0	NA	75
Total	6727	6651	5980	17355	0.5294	0.2771	0.3638	90
INS	3932	3856	4322	10178	0.4764	0.2748	0.3485	90
DEL	2795	2795	1658	7112	0.6277	0.2821	0.3893	90
INV	0	0	0	65	NA	0	NA	90
Total	6727	6651	5980	17355	0.5294	0.2771	0.3638	99
INS	3932	3856	4322	10178	0.4764	0.2748	0.3485	99
DEL	2795	2795	1658	7112	0.6277	0.2821	0.3893	99
INV	0	0	0	65	NA	0	NA	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
