type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	9025	8593	11598	1047	0.4376	0.8914	0.587	0
INS	5439	5129	8456	389	0.3914	0.9295	0.5508	0
DEL	3586	3464	3142	598	0.533	0.8528	0.656	0
INV	0	0	0	60	NA	0	NA	0
Total	9023	8591	11594	1049	0.4376	0.8912	0.587	2
INS	5437	5127	8453	391	0.3914	0.9291	0.5508	2
DEL	3586	3464	3141	598	0.5331	0.8528	0.6561	2
INV	0	0	0	60	NA	0	NA	2
Total	8994	8567	11468	1073	0.4395	0.8887	0.5881	3
INS	5416	5108	8360	410	0.3931	0.9257	0.5519	3
DEL	3578	3459	3108	603	0.5351	0.8516	0.6572	3
INV	0	0	0	60	NA	0	NA	3
Total	8749	8368	10841	1272	0.4466	0.868	0.5898	4
INS	5251	4973	7911	545	0.399	0.9012	0.5531	4
DEL	3498	3395	2930	667	0.5442	0.8358	0.6592	4
INV	0	0	0	60	NA	0	NA	4
Total	8084	7824	8965	1816	0.4742	0.8116	0.5986	5
INS	4790	4597	6514	921	0.4237	0.8331	0.5617	5
DEL	3294	3227	2451	835	0.5734	0.7944	0.666	5
INV	0	0	0	60	NA	0	NA	5
Total	7556	7355	7666	2285	0.4964	0.763	0.6015	7
INS	4494	4343	5595	1175	0.4454	0.7871	0.5689	7
DEL	3062	3012	2071	1050	0.5965	0.7415	0.6611	7
INV	0	0	0	60	NA	0	NA	7
Total	6857	6734	6374	2906	0.5183	0.6985	0.5951	10
INS	4068	3974	4662	1544	0.466	0.7202	0.5659	10
DEL	2789	2760	1712	1302	0.6196	0.6795	0.6482	10
INV	0	0	0	60	NA	0	NA	10
Total	6636	6522	6005	3118	0.525	0.6766	0.5912	12
INS	3932	3844	4390	1674	0.4725	0.6966	0.5631	12
DEL	2704	2678	1615	1384	0.6261	0.6593	0.6423	12
INV	0	0	0	60	NA	0	NA	12
Total	6627	6514	5985	3126	0.5255	0.6757	0.5912	14
INS	3926	3839	4379	1679	0.4727	0.6957	0.5629	14
DEL	2701	2675	1606	1387	0.6271	0.6585	0.6424	14
INV	0	0	0	60	NA	0	NA	14
Total	6546	6445	5849	3195	0.5281	0.6686	0.5901	21
INS	3873	3797	4291	1721	0.4744	0.6881	0.5616	21
DEL	2673	2648	1558	1414	0.6318	0.6519	0.6417	21
INV	0	0	0	60	NA	0	NA	21
Total	6545	6444	5847	3196	0.5282	0.6685	0.5901	27
INS	3873	3797	4289	1721	0.4745	0.6881	0.5617	27
DEL	2672	2647	1558	1415	0.6317	0.6516	0.6415	27
INV	0	0	0	60	NA	0	NA	27
Total	6545	6444	5847	3196	0.5282	0.6685	0.5901	35
INS	3873	3797	4289	1721	0.4745	0.6881	0.5617	35
DEL	2672	2647	1558	1415	0.6317	0.6516	0.6415	35
INV	0	0	0	60	NA	0	NA	35
Total	6545	6444	5847	3196	0.5282	0.6685	0.5901	45
INS	3873	3797	4289	1721	0.4745	0.6881	0.5617	45
DEL	2672	2647	1558	1415	0.6317	0.6516	0.6415	45
INV	0	0	0	60	NA	0	NA	45
Total	6545	6444	5847	3196	0.5282	0.6685	0.5901	50
INS	3873	3797	4289	1721	0.4745	0.6881	0.5617	50
DEL	2672	2647	1558	1415	0.6317	0.6516	0.6415	50
INV	0	0	0	60	NA	0	NA	50
Total	6545	6444	5847	3196	0.5282	0.6685	0.5901	60
INS	3873	3797	4289	1721	0.4745	0.6881	0.5617	60
DEL	2672	2647	1558	1415	0.6317	0.6516	0.6415	60
INV	0	0	0	60	NA	0	NA	60
Total	6545	6444	5847	3196	0.5282	0.6685	0.5901	75
