type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	297	322	125	13951	0.7038	0.0226	0.0438	0
INS	134	116	109	8400	0.5514	0.0136	0.0265	0
DEL	163	206	16	5551	0.9106	0.0358	0.0689	0
Total	294	321	124	13952	0.7033	0.0225	0.0436	2
INS	134	116	108	8400	0.5537	0.0136	0.0265	2
DEL	160	205	16	5552	0.9091	0.0356	0.0685	2
Total	287	317	116	13956	0.7122	0.0222	0.0431	3
INS	131	114	101	8402	0.5647	0.0134	0.0262	3
DEL	156	203	15	5554	0.9123	0.0353	0.068	3
Total	267	299	109	13974	0.7101	0.0209	0.0406	4
INS	121	105	95	8411	0.5602	0.0123	0.0241	4
DEL	146	194	14	5563	0.9125	0.0337	0.065	4
Total	227	266	90	14007	0.7161	0.0186	0.0363	5
INS	103	94	76	8422	0.5754	0.011	0.0216	5
DEL	124	172	14	5585	0.8986	0.0299	0.0579	5
Total	187	227	67	14046	0.7362	0.0159	0.0311	7
INS	84	80	56	8436	0.6	0.0094	0.0185	7
DEL	103	147	11	5610	0.9035	0.0255	0.0496	7
Total	152	195	52	14078	0.7451	0.0137	0.0269	10
INS	70	68	41	8448	0.6306	0.008	0.0158	10
DEL	82	127	11	5630	0.8817	0.0221	0.0431	10
Total	145	185	48	14088	0.7513	0.013	0.0256	12
INS	66	66	37	8450	0.6408	0.0078	0.0154	12
DEL	79	119	11	5638	0.8778	0.0207	0.0404	12
Total	144	183	47	14090	0.7539	0.0128	0.0252	14
INS	65	65	36	8451	0.6436	0.0076	0.015	14
DEL	79	118	11	5639	0.8778	0.0205	0.0401	14
Total	134	174	44	14099	0.7528	0.0122	0.024	21
INS	58	60	34	8456	0.6304	0.007	0.0138	21
DEL	76	114	10	5643	0.8837	0.0198	0.0387	21
Total	133	173	44	14100	0.7514	0.0121	0.0238	27
INS	57	59	34	8457	0.6264	0.0069	0.0136	27
DEL	76	114	10	5643	0.8837	0.0198	0.0387	27
Total	133	173	44	14100	0.7514	0.0121	0.0238	35
INS	57	59	34	8457	0.6264	0.0069	0.0136	35
DEL	76	114	10	5643	0.8837	0.0198	0.0387	35
Total	133	173	44	14100	0.7514	0.0121	0.0238	45
INS	57	59	34	8457	0.6264	0.0069	0.0136	45
DEL	76	114	10	5643	0.8837	0.0198	0.0387	45
Total	133	173	44	14100	0.7514	0.0121	0.0238	50
INS	57	59	34	8457	0.6264	0.0069	0.0136	50
DEL	76	114	10	5643	0.8837	0.0198	0.0387	50
Total	133	173	44	14100	0.7514	0.0121	0.0238	60
INS	57	59	34	8457	0.6264	0.0069	0.0136	60
DEL	76	114	10	5643	0.8837	0.0198	0.0387	60
Total	133	173	44	14100	0.7514	0.0121	0.0238	75
INS	57	59	34	8457	0.6264	0.0069	0.0136	75
DEL	76	114	10	5643	0.8837	0.0198	0.0387	75
Total	133	173	44	14100	0.7514	0.0121	0.0238	90
INS	57	59	34	8457	0.6264	0.0069	0.0136	90
DEL	76	114	10	5643	0.8837	0.0198	0.0387	90
Total	133	173	44	14100	0.7514	0.0121	0.0238	99
INS	57	59	34	8457	0.6264	0.0069	0.0136	99
DEL	76	114	10	5643	0.8837	0.0198	0.0387	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
