type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2328	2298	1785	2421	0.566	0.487	0.5235	0
INS	1427	1397	1477	1794	0.4914	0.4378	0.4631	0
DEL	901	901	308	600	0.7452	0.6003	0.6649	0
INV	0	0	0	27	NA	0	NA	0
Total	2328	2298	1785	2421	0.566	0.487	0.5235	2
INS	1427	1397	1477	1794	0.4914	0.4378	0.4631	2
DEL	901	901	308	600	0.7452	0.6003	0.6649	2
INV	0	0	0	27	NA	0	NA	2
Total	2325	2295	1773	2424	0.5673	0.4863	0.5237	3
INS	1426	1396	1468	1795	0.4927	0.4375	0.4635	3
DEL	899	899	305	602	0.7467	0.5989	0.6647	3
INV	0	0	0	27	NA	0	NA	3
Total	2268	2243	1704	2476	0.571	0.4753	0.5188	4
INS	1384	1358	1408	1833	0.4957	0.4256	0.458	4
DEL	884	885	296	616	0.7492	0.5896	0.6599	4
INV	0	0	0	27	NA	0	NA	4
Total	2152	2149	1509	2570	0.5878	0.4554	0.5132	5
INS	1311	1305	1251	1886	0.5117	0.409	0.4546	5
DEL	841	844	258	657	0.7652	0.5623	0.6482	5
INV	0	0	0	27	NA	0	NA	5
Total	2002	2002	1336	2717	0.5998	0.4242	0.4969	7
INS	1228	1224	1125	1967	0.5219	0.3836	0.4422	7
DEL	774	778	211	723	0.7858	0.5183	0.6246	7
INV	0	0	0	27	NA	0	NA	7
Total	1865	1874	1183	2845	0.6119	0.3971	0.4816	10
INS	1153	1158	997	2033	0.5363	0.3629	0.4329	10
DEL	712	716	186	785	0.7929	0.477	0.5957	10
INV	0	0	0	27	NA	0	NA	10
Total	1802	1811	1113	2908	0.6182	0.3838	0.4736	12
INS	1109	1115	937	2076	0.542	0.3494	0.4249	12
DEL	693	696	176	805	0.7975	0.4637	0.5864	12
INV	0	0	0	27	NA	0	NA	12
Total	1797	1806	1111	2913	0.618	0.3827	0.4727	14
INS	1107	1113	935	2078	0.5421	0.3488	0.4245	14
DEL	690	693	176	808	0.7968	0.4617	0.5846	14
INV	0	0	0	27	NA	0	NA	14
Total	1785	1795	1092	2924	0.6204	0.3804	0.4716	21
INS	1098	1105	918	2086	0.5446	0.3463	0.4234	21
DEL	687	690	174	811	0.7979	0.4597	0.5833	21
INV	0	0	0	27	NA	0	NA	21
Total	1785	1795	1092	2924	0.6204	0.3804	0.4716	27
INS	1098	1105	918	2086	0.5446	0.3463	0.4234	27
DEL	687	690	174	811	0.7979	0.4597	0.5833	27
INV	0	0	0	27	NA	0	NA	27
Total	1785	1795	1092	2924	0.6204	0.3804	0.4716	35
INS	1098	1105	918	2086	0.5446	0.3463	0.4234	35
DEL	687	690	174	811	0.7979	0.4597	0.5833	35
INV	0	0	0	27	NA	0	NA	35
Total	1785	1795	1092	2924	0.6204	0.3804	0.4716	45
INS	1098	1105	918	2086	0.5446	0.3463	0.4234	45
DEL	687	690	174	811	0.7979	0.4597	0.5833	45
INV	0	0	0	27	NA	0	NA	45
Total	1785	1795	1092	2924	0.6204	0.3804	0.4716	50
INS	1098	1105	918	2086	0.5446	0.3463	0.4234	50
DEL	687	690	174	811	0.7979	0.4597	0.5833	50
INV	0	0	0	27	NA	0	NA	50
Total	1785	1795	1092	2924	0.6204	0.3804	0.4716	60
INS	1098	1105	918	2086	0.5446	0.3463	0.4234	60
DEL	687	690	174	811	0.7979	0.4597	0.5833	60
