type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6248	5838	9957	11993	0.3856	0.3274	0.3541	0
INS	4148	3848	7125	7006	0.368	0.3545	0.3611	0
DEL	2100	1990	2832	4980	0.4258	0.2855	0.3418	0
INV	0	0	0	7	NA	0	NA	0
Total	6243	5835	9951	11996	0.3855	0.3272	0.354	2
INS	4146	3846	7121	7008	0.368	0.3543	0.361	2
DEL	2097	1989	2830	4981	0.4256	0.2854	0.3417	2
INV	0	0	0	7	NA	0	NA	2
Total	6206	5807	9827	12024	0.3871	0.3257	0.3538	3
INS	4123	3826	7030	7028	0.3697	0.3525	0.3609	3
DEL	2083	1981	2797	4989	0.4268	0.2842	0.3412	3
INV	0	0	0	7	NA	0	NA	3
Total	6011	5656	9265	12175	0.3935	0.3172	0.3513	4
INS	3989	3719	6635	7135	0.3755	0.3426	0.3583	4
DEL	2022	1937	2630	5033	0.4347	0.2779	0.339	4
INV	0	0	0	7	NA	0	NA	4
Total	5445	5201	7548	12630	0.4191	0.2917	0.344	5
INS	3582	3386	5370	7468	0.4001	0.312	0.3506	5
DEL	1863	1815	2178	5155	0.461	0.2604	0.3328	5
INV	0	0	0	7	NA	0	NA	5
Total	5083	4900	6388	12931	0.4431	0.2748	0.3392	7
INS	3349	3198	4554	7656	0.4238	0.2946	0.3476	7
DEL	1734	1702	1834	5268	0.486	0.2442	0.3251	7
INV	0	0	0	7	NA	0	NA	7
Total	4515	4409	5227	13422	0.4635	0.2473	0.3225	10
INS	2983	2883	3731	7971	0.4443	0.2656	0.3325	10
DEL	1532	1526	1496	5444	0.5059	0.2189	0.3056	10
INV	0	0	0	7	NA	0	NA	10
Total	4366	4269	4914	13562	0.4705	0.2394	0.3173	12
INS	2887	2794	3511	8060	0.4512	0.2574	0.3278	12
DEL	1479	1475	1403	5495	0.5132	0.2116	0.2996	12
INV	0	0	0	7	NA	0	NA	12
Total	4361	4264	4893	13567	0.4713	0.2391	0.3173	14
INS	2882	2790	3501	8064	0.4515	0.257	0.3276	14
DEL	1479	1474	1392	5496	0.5152	0.2115	0.2999	14
INV	0	0	0	7	NA	0	NA	14
Total	4286	4202	4767	13629	0.4734	0.2357	0.3147	21
INS	2831	2751	3426	8103	0.4525	0.2535	0.325	21
DEL	1455	1451	1341	5519	0.5204	0.2082	0.2974	21
INV	0	0	0	7	NA	0	NA	21
Total	4284	4200	4765	13631	0.4734	0.2355	0.3145	27
INS	2830	2750	3424	8104	0.4525	0.2534	0.3249	27
DEL	1454	1450	1341	5520	0.5202	0.208	0.2972	27
INV	0	0	0	7	NA	0	NA	27
Total	4284	4200	4765	13631	0.4734	0.2355	0.3145	35
INS	2830	2750	3424	8104	0.4525	0.2534	0.3249	35
DEL	1454	1450	1341	5520	0.5202	0.208	0.2972	35
INV	0	0	0	7	NA	0	NA	35
Total	4284	4200	4765	13631	0.4734	0.2355	0.3145	45
INS	2830	2750	3424	8104	0.4525	0.2534	0.3249	45
DEL	1454	1450	1341	5520	0.5202	0.208	0.2972	45
INV	0	0	0	7	NA	0	NA	45
Total	4284	4200	4765	13631	0.4734	0.2355	0.3145	50
INS	2830	2750	3424	8104	0.4525	0.2534	0.3249	50
