type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	10603	10333	12350	15244	0.4619	0.404	0.431	0
INS	6162	5907	8899	8840	0.4091	0.4006	0.4048	0
DEL	4441	4426	3451	6339	0.5627	0.4111	0.4751	0
INV	0	0	0	65	NA	0	NA	0
Total	10603	10333	12339	15244	0.4622	0.404	0.4311	2
INS	6162	5907	8894	8840	0.4093	0.4006	0.4049	2
DEL	4441	4426	3445	6339	0.5631	0.4111	0.4752	2
INV	0	0	0	65	NA	0	NA	2
Total	10554	10285	12187	15292	0.4641	0.4021	0.4309	3
INS	6130	5877	8793	8870	0.4108	0.3985	0.4046	3
DEL	4424	4408	3394	6357	0.5659	0.4095	0.4752	3
INV	0	0	0	65	NA	0	NA	3
Total	10185	9957	11538	15620	0.4689	0.3893	0.4254	4
INS	5881	5655	8316	9092	0.4142	0.3835	0.3983	4
DEL	4304	4302	3222	6463	0.5719	0.3996	0.4705	4
INV	0	0	0	65	NA	0	NA	4
Total	9328	9239	9524	16338	0.4948	0.3612	0.4176	5
INS	5311	5189	6834	9558	0.4373	0.3519	0.39	5
DEL	4017	4050	2690	6715	0.5989	0.3762	0.4621	5
INV	0	0	0	65	NA	0	NA	5
Total	8425	8390	8167	17187	0.5078	0.328	0.3986	7
INS	4807	4735	5902	10012	0.4489	0.3211	0.3744	7
DEL	3618	3655	2265	7110	0.615	0.3395	0.4375	7
INV	0	0	0	65	NA	0	NA	7
Total	7514	7550	6785	18027	0.5255	0.2952	0.378	10
INS	4304	4278	4893	10469	0.468	0.2901	0.3582	10
DEL	3210	3272	1892	7493	0.6292	0.3039	0.4098	10
INV	0	0	0	65	NA	0	NA	10
Total	7189	7229	6432	18348	0.5278	0.2826	0.3681	12
INS	4119	4097	4638	10650	0.4704	0.2778	0.3493	12
DEL	3070	3132	1794	7633	0.6312	0.2909	0.3983	12
INV	0	0	0	65	NA	0	NA	12
Total	7165	7205	6408	18372	0.5279	0.2817	0.3674	14
INS	4110	4088	4623	10659	0.4706	0.2772	0.3489	14
DEL	3055	3117	1785	7648	0.6312	0.2895	0.3969	14
INV	0	0	0	65	NA	0	NA	14
Total	7040	7086	6277	18491	0.5286	0.277	0.3635	21
INS	4044	4024	4537	10723	0.4713	0.2729	0.3457	21
DEL	2996	3062	1740	7703	0.6326	0.2844	0.3924	21
INV	0	0	0	65	NA	0	NA	21
Total	7036	7081	6274	18496	0.5286	0.2769	0.3634	27
INS	4042	4022	4535	10725	0.4713	0.2727	0.3455	27
DEL	2994	3059	1739	7706	0.6326	0.2842	0.3922	27
INV	0	0	0	65	NA	0	NA	27
Total	7036	7081	6274	18496	0.5286	0.2769	0.3634	35
INS	4042	4022	4535	10725	0.4713	0.2727	0.3455	35
DEL	2994	3059	1739	7706	0.6326	0.2842	0.3922	35
INV	0	0	0	65	NA	0	NA	35
Total	7036	7081	6274	18496	0.5286	0.2769	0.3634	45
INS	4042	4022	4535	10725	0.4713	0.2727	0.3455	45
DEL	2994	3059	1739	7706	0.6326	0.2842	0.3922	45
INV	0	0	0	65	NA	0	NA	45
Total	7036	7081	6274	18496	0.5286	0.2769	0.3634	50
INS	4042	4022	4535	10725	0.4713	0.2727	0.3455	50
DEL	2994	3059	1739	7706	0.6326	0.2842	0.3922	50
INV	0	0	0	65	NA	0	NA	50
Total	7036	7081	6274	18496	0.5286	0.2769	0.3634	60
INS	4042	4022	4535	10725	0.4713	0.2727	0.3455	60
DEL	2994	3059	1739	7706	0.6326	0.2842	0.3922	60
INV	0	0	0	65	NA	0	NA	60
Total	7036	7081	6274	18496	0.5286	0.2769	0.3634	75
INS	4042	4022	4535	10725	0.4713	0.2727	0.3455	75
DEL	2994	3059	1739	7706	0.6326	0.2842	0.3922	75
INV	0	0	0	65	NA	0	NA	75
Total	7036	7081	6274	18496	0.5286	0.2769	0.3634	90
INS	4042	4022	4535	10725	0.4713	0.2727	0.3455	90
DEL	2994	3059	1739	7706	0.6326	0.2842	0.3922	90
INV	0	0	0	65	NA	0	NA	90
Total	7036	7081	6274	18496	0.5286	0.2769	0.3634	99
INS	4042	4022	4535	10725	0.4713	0.2727	0.3455	99
DEL	2994	3059	1739	7706	0.6326	0.2842	0.3922	99
INV	0	0	0	65	NA	0	NA	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
