type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	2775	2810	1968	2447	0.5851	0.5345	0.5587	0
INS	1683	1673	1649	1871	0.5051	0.4721	0.488	0
DEL	1092	1137	319	544	0.7739	0.6764	0.7219	0
INV	0	0	0	32	NA	0	NA	0
Total	2775	2810	1968	2447	0.5851	0.5345	0.5587	2
INS	1683	1673	1649	1871	0.5051	0.4721	0.488	2
DEL	1092	1137	319	544	0.7739	0.6764	0.7219	2
INV	0	0	0	32	NA	0	NA	2
Total	2764	2800	1957	2457	0.5855	0.5326	0.5578	3
INS	1676	1666	1641	1878	0.5053	0.4701	0.4871	3
DEL	1088	1134	316	547	0.7749	0.6746	0.7213	3
INV	0	0	0	32	NA	0	NA	3
Total	2675	2714	1879	2543	0.5874	0.5163	0.5496	4
INS	1610	1604	1579	1940	0.5049	0.4526	0.4773	4
DEL	1065	1110	300	571	0.7802	0.6603	0.7153	4
INV	0	0	0	32	NA	0	NA	4
Total	2514	2575	1648	2682	0.604	0.4898	0.5409	5
INS	1507	1523	1397	2021	0.5189	0.4297	0.4701	5
DEL	1007	1052	251	629	0.8005	0.6258	0.7025	5
INV	0	0	0	32	NA	0	NA	5
Total	2239	2306	1482	2951	0.6017	0.4387	0.5074	7
INS	1360	1384	1268	2160	0.5175	0.3905	0.4451	7
DEL	879	922	214	759	0.8042	0.5485	0.6522	7
INV	0	0	0	32	NA	0	NA	7
Total	2018	2091	1314	3166	0.6056	0.3978	0.4802	10
INS	1246	1275	1120	2269	0.5266	0.3598	0.4275	10
DEL	772	816	194	865	0.7992	0.4854	0.604	10
INV	0	0	0	32	NA	0	NA	10
Total	1913	1983	1246	3274	0.6056	0.3772	0.4649	12
INS	1177	1205	1063	2339	0.5254	0.34	0.4128	12
DEL	736	778	183	903	0.8009	0.4628	0.5866	12
INV	0	0	0	32	NA	0	NA	12
Total	1909	1978	1242	3279	0.6058	0.3763	0.4642	14
INS	1175	1203	1060	2341	0.5257	0.3394	0.4125	14
DEL	734	775	182	906	0.8013	0.461	0.5853	14
INV	0	0	0	32	NA	0	NA	14
Total	1883	1953	1232	3304	0.6045	0.3715	0.4602	21
INS	1163	1191	1051	2353	0.5253	0.3361	0.4099	21
DEL	720	762	181	919	0.7991	0.4533	0.5785	21
INV	0	0	0	32	NA	0	NA	21
Total	1883	1953	1232	3304	0.6045	0.3715	0.4602	27
INS	1163	1191	1051	2353	0.5253	0.3361	0.4099	27
DEL	720	762	181	919	0.7991	0.4533	0.5785	27
INV	0	0	0	32	NA	0	NA	27
Total	1883	1953	1232	3304	0.6045	0.3715	0.4602	35
INS	1163	1191	1051	2353	0.5253	0.3361	0.4099	35
DEL	720	762	181	919	0.7991	0.4533	0.5785	35
INV	0	0	0	32	NA	0	NA	35
Total	1883	1953	1232	3304	0.6045	0.3715	0.4602	45
INS	1163	1191	1051	2353	0.5253	0.3361	0.4099	45
DEL	720	762	181	919	0.7991	0.4533	0.5785	45
INV	0	0	0	32	NA	0	NA	45
Total	1883	1953	1232	3304	0.6045	0.3715	0.4602	50
INS	1163	1191	1051	2353	0.5253	0.3361	0.4099	50
DEL	720	762	181	919	0.7991	0.4533	0.5785	50
INV	0	0	0	32	NA	0	NA	50
Total	1883	1953	1232	3304	0.6045	0.3715	0.4602	60
INS	1163	1191	1051	2353	0.5253	0.3361	0.4099	60
DEL	720	762	181	919	0.7991	0.4533	0.5785	60
INV	0	0	0	32	NA	0	NA	60
Total	1883	1953	1232	3304	0.6045	0.3715	0.4602	75
INS	1163	1191	1051	2353	0.5253	0.3361	0.4099	75
DEL	720	762	181	919	0.7991	0.4533	0.5785	75
INV	0	0	0	32	NA	0	NA	75
Total	1883	1953	1232	3304	0.6045	0.3715	0.4602	90
INS	1163	1191	1051	2353	0.5253	0.3361	0.4099	90
DEL	720	762	181	919	0.7991	0.4533	0.5785	90
INV	0	0	0	32	NA	0	NA	90
Total	1883	1953	1232	3304	0.6045	0.3715	0.4602	99
INS	1163	1191	1051	2353	0.5253	0.3361	0.4099	99
DEL	720	762	181	919	0.7991	0.4533	0.5785	99
INV	0	0	0	32	NA	0	NA	99
Total	NA	NA	NA	NA	NA	NA	NA	110
DEL	NA	NA	NA	NA	NA	NA	NA	110
INS	NA	NA	NA	NA	NA	NA	NA	110
INV	NA	NA	NA	NA	NA	NA	NA	110
Total	NA	NA	NA	NA	NA	NA	NA	133
DEL	NA	NA	NA	NA	NA	NA	NA	133
INS	NA	NA	NA	NA	NA	NA	NA	133
INV	NA	NA	NA	NA	NA	NA	NA	133
Total	NA	NA	NA	NA	NA	NA	NA	167
DEL	NA	NA	NA	NA	NA	NA	NA	167
INS	NA	NA	NA	NA	NA	NA	NA	167
INV	NA	NA	NA	NA	NA	NA	NA	167
Total	NA	NA	NA	NA	NA	NA	NA	180
DEL	NA	NA	NA	NA	NA	NA	NA	180
INS	NA	NA	NA	NA	NA	NA	NA	180
INV	NA	NA	NA	NA	NA	NA	NA	180
Total	NA	NA	NA	NA	NA	NA	NA	250
DEL	NA	NA	NA	NA	NA	NA	NA	250
INS	NA	NA	NA	NA	NA	NA	NA	250
INV	NA	NA	NA	NA	NA	NA	NA	250
Total	NA	NA	NA	NA	NA	NA	NA	350
DEL	NA	NA	NA	NA	NA	NA	NA	350
INS	NA	NA	NA	NA	NA	NA	NA	350
INV	NA	NA	NA	NA	NA	NA	NA	350
Total	NA	NA	NA	NA	NA	NA	NA	450
DEL	NA	NA	NA	NA	NA	NA	NA	450
INS	NA	NA	NA	NA	NA	NA	NA	450
INV	NA	NA	NA	NA	NA	NA	NA	450
Total	NA	NA	NA	NA	NA	NA	NA	550
DEL	NA	NA	NA	NA	NA	NA	NA	550
INS	NA	NA	NA	NA	NA	NA	NA	550
INV	NA	NA	NA	NA	NA	NA	NA	550
Total	NA	NA	NA	NA	NA	NA	NA	650
DEL	NA	NA	NA	NA	NA	NA	NA	650
INS	NA	NA	NA	NA	NA	NA	NA	650
INV	NA	NA	NA	NA	NA	NA	NA	650
