type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6812	6724	9024	2916	0.4302	0.6975	0.5322	0
INS	4119	4024	7270	1494	0.3617	0.7292	0.4835	0
DEL	2685	2692	1746	1370	0.606	0.6627	0.6331	0
INV	8	8	8	52	0.5	0.1333	0.2105	0
Total	6780	6695	8454	2945	0.4451	0.6945	0.5425	2
INS	4087	3995	6730	1523	0.3778	0.724	0.4965	2
DEL	2685	2692	1716	1370	0.6101	0.6627	0.6353	2
INV	8	8	8	52	0.5	0.1333	0.2105	2
Total	6777	6692	8376	2948	0.4472	0.6942	0.544	3
INS	4085	3993	6663	1525	0.3801	0.7236	0.4984	3
DEL	2684	2691	1705	1371	0.6115	0.6625	0.636	3
INV	8	8	8	52	0.5	0.1333	0.2105	3
Total	6772	6686	8304	2954	0.4492	0.6936	0.5453	4
INS	4081	3988	6600	1530	0.3821	0.7227	0.4999	4
DEL	2683	2690	1696	1372	0.6127	0.6622	0.6365	4
INV	8	8	8	52	0.5	0.1333	0.2105	4
Total	6764	6680	8233	2960	0.451	0.6929	0.5464	5
INS	4074	3983	6544	1535	0.3837	0.7218	0.501	5
DEL	2682	2689	1681	1373	0.6147	0.662	0.6375	5
INV	8	8	8	52	0.5	0.1333	0.2105	5
Total	6751	6668	8122	2972	0.4539	0.6917	0.5481	7
INS	4063	3973	6459	1545	0.3861	0.72	0.5027	7
DEL	2680	2687	1655	1375	0.6182	0.6615	0.6391	7
INV	8	8	8	52	0.5	0.1333	0.2105	7
Total	6732	6650	7957	2990	0.4583	0.6898	0.5507	10
INS	4048	3960	6311	1558	0.3908	0.7177	0.506	10
DEL	2676	2682	1638	1380	0.6203	0.6603	0.6397	10
INV	8	8	8	52	0.5	0.1333	0.2105	10
Total	6713	6635	7840	3005	0.4613	0.6883	0.5524	12
INS	4031	3947	6217	1571	0.3933	0.7153	0.5075	12
DEL	2674	2680	1615	1382	0.6235	0.6598	0.6411	12
INV	8	8	8	52	0.5	0.1333	0.2105	12
Total	6700	6621	7724	3019	0.4645	0.6868	0.5542	14
INS	4019	3934	6126	1584	0.3962	0.7129	0.5093	14
DEL	2673	2679	1590	1383	0.627	0.6595	0.6428	14
INV	8	8	8	52	0.5	0.1333	0.2105	14
Total	6650	6576	7381	3064	0.474	0.6822	0.5594	21
INS	3979	3899	5839	1619	0.4053	0.7066	0.5151	21
DEL	2663	2669	1534	1393	0.6345	0.6571	0.6456	21
INV	8	8	8	52	0.5	0.1333	0.2105	21
Total	6596	6523	7120	3117	0.4809	0.6767	0.5622	27
INS	3938	3860	5622	1658	0.4119	0.6995	0.5185	27
DEL	2650	2655	1490	1407	0.6401	0.6536	0.6468	27
INV	8	8	8	52	0.5	0.1333	0.2105	27
Total	6534	6463	6744	3177	0.4921	0.6704	0.5676	35
INS	3891	3815	5335	1703	0.4217	0.6914	0.5239	35
DEL	2635	2640	1401	1422	0.6529	0.6499	0.6514	35
INV	8	8	8	52	0.5	0.1333	0.2105	35
Total	6450	6380	6328	3260	0.5048	0.6618	0.5727	45
INS	3829	3756	5004	1762	0.4335	0.6807	0.5297	45
DEL	2613	2616	1316	1446	0.6651	0.644	0.6544	45
INV	8	8	8	52	0.5	0.1333	0.2105	45
Total	6409	6344	6160	3296	0.5099	0.6581	0.5746	50
INS	3791	3723	4871	1795	0.4377	0.6747	0.531	50
DEL	2610	2613	1281	1449	0.6708	0.6433	0.6568	50
INV	8	8	8	52	0.5	0.1333	0.2105	50
Total	6332	6270	5866	3370	0.5191	0.6504	0.5774	60
INS	3737	3670	4651	1848	0.4455	0.6651	0.5336	60
DEL	2587	2592	1207	1470	0.6819	0.6381	0.6593	60
INV	8	8	8	52	0.5	0.1333	0.2105	60
Total	6171	6119	5386	3521	0.534	0.6348	0.5801	75
INS	3625	3568	4286	1950	0.4582	0.6466	0.5363	75
DEL	2539	2544	1092	1518	0.6993	0.6263	0.6608	75
INV	7	7	8	53	0.4667	0.1167	0.1867	75
Total	6020	5967	4990	3673	0.5468	0.619	0.5807	90
INS	3526	3469	3967	2049	0.4706	0.6287	0.5383	90
DEL	2487	2491	1015	1571	0.7102	0.6132	0.6581	90
INV	7	7	8	53	0.4667	0.1167	0.1867	90
Total	5921	5872	4760	3768	0.5543	0.6091	0.5804	99
INS	3462	3410	3789	2108	0.4775	0.618	0.5387	99
DEL	2452	2455	964	1607	0.7178	0.6044	0.6562	99
INV	7	7	7	53	0.5	0.1167	0.1892	99
Total	5783	5735	4482	3905	0.5634	0.5949	0.5787	110
INS	3385	3334	3585	2184	0.4857	0.6042	0.5385	110
DEL	2391	2394	890	1668	0.7287	0.5894	0.6517	110
INV	7	7	7	53	0.5	0.1167	0.1892	110
Total	5428	5397	4004	4243	0.5755	0.5599	0.5676	133
INS	3165	3125	3214	2393	0.4962	0.5663	0.5289	133
DEL	2256	2265	784	1797	0.7421	0.5576	0.6368	133
INV	7	7	6	53	0.5385	0.1167	0.1918	133
Total	4891	4869	3321	4771	0.5956	0.5051	0.5466	167
INS	2843	2813	2694	2705	0.5135	0.5098	0.5116	167
DEL	2041	2049	621	2013	0.7667	0.5044	0.6085	167
INV	7	7	6	53	0.5385	0.1167	0.1918	167
Total	4650	4635	3064	5005	0.6028	0.4808	0.5349	180
INS	2707	2681	2503	2837	0.5196	0.4859	0.5022	180
DEL	1936	1947	555	2115	0.7772	0.4793	0.5929	180
INV	7	7	6	53	0.5385	0.1167	0.1918	180
Total	3692	3696	2026	5944	0.6457	0.3834	0.4811	250
INS	2201	2197	1715	3321	0.5621	0.3982	0.4662	250
DEL	1485	1493	305	2569	0.8296	0.3676	0.5095	250
INV	6	6	6	54	0.5	0.1	0.1667	250
Total	2729	2737	1180	6903	0.6981	0.2839	0.4036	350
INS	1674	1678	1028	3840	0.6195	0.3041	0.4079	350
DEL	1049	1053	150	3009	0.8749	0.2592	0.3999	350
INV	6	6	2	54	0.75	0.1	0.1765	350
Total	2015	2023	691	7617	0.7446	0.2099	0.3275	450
INS	1280	1285	625	4233	0.6719	0.2329	0.3459	450
DEL	734	737	65	3325	0.9186	0.1814	0.303	450
INV	1	1	1	59	0.5	0.0167	0.0323	450
Total	1492	1497	433	8143	0.7751	0.1553	0.2588	550
INS	973	978	403	4540	0.7071	0.1772	0.2834	550
DEL	518	518	29	3544	0.947	0.1275	0.2247	550
INV	1	1	1	59	0.5	0.0167	0.0323	550
Total	1086	1091	300	8549	0.7835	0.1132	0.1978	650
INS	723	727	280	4791	0.7208	0.1318	0.2229	650
DEL	362	363	20	3699	0.9476	0.0894	0.1634	650
INV	1	1	0	59	1	0.0167	0.0329	650
