type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	6719	6872	568	7401	0.9221	0.4815	0.6326	0
INS	4808	4838	542	3678	0.8987	0.5681	0.6961	0
DEL	1911	2034	26	3723	0.9866	0.3533	0.5203	0
Total	6476	6641	462	7632	0.9334	0.4653	0.621	2
INS	4583	4623	440	3893	0.9124	0.5429	0.6807	2
DEL	1893	2018	22	3739	0.9885	0.3505	0.5175	2
Total	6426	6592	442	7681	0.9356	0.4619	0.6185	3
INS	4541	4579	422	3937	0.915	0.5377	0.6774	3
DEL	1885	2013	20	3744	0.9895	0.3497	0.5168	3
Total	6382	6543	431	7730	0.9367	0.4584	0.6156	4
INS	4503	4538	413	3978	0.916	0.5329	0.6738	4
DEL	1879	2005	18	3752	0.9905	0.3483	0.5154	4
Total	6339	6505	417	7768	0.9383	0.4558	0.6136	5
INS	4468	4510	400	4006	0.9178	0.5296	0.6716	5
DEL	1871	1995	17	3762	0.991	0.3465	0.5135	5
Total	6250	6399	398	7874	0.9401	0.4483	0.6071	7
INS	4399	4428	382	4088	0.9201	0.52	0.6645	7
DEL	1851	1971	16	3786	0.9914	0.3424	0.509	7
Total	6124	6246	373	8027	0.9426	0.4376	0.5977	10
INS	4295	4302	357	4214	0.9233	0.5052	0.6531	10
DEL	1829	1944	16	3813	0.9913	0.3377	0.5038	10
Total	6045	6168	355	8105	0.9445	0.4321	0.5929	12
INS	4229	4241	339	4275	0.9258	0.498	0.6476	12
DEL	1816	1927	16	3830	0.9913	0.3347	0.5004	12
Total	5991	6101	343	8172	0.9458	0.4275	0.5888	14
INS	4186	4193	327	4323	0.9275	0.4924	0.6433	14
DEL	1805	1908	16	3849	0.9912	0.3314	0.4967	14
Total	5755	5832	303	8441	0.95	0.4086	0.5714	21
INS	4023	4013	289	4503	0.933	0.4712	0.6262	21
DEL	1732	1819	14	3938	0.992	0.316	0.4793	21
Total	5560	5620	278	8653	0.9524	0.3938	0.5572	27
INS	3893	3877	264	4639	0.9365	0.4553	0.6127	27
DEL	1667	1743	14	4014	0.9917	0.3028	0.4639	27
Total	5301	5347	247	8926	0.9555	0.3746	0.5382	35
INS	3730	3708	234	4808	0.941	0.4354	0.5953	35
DEL	1571	1639	13	4118	0.9918	0.2847	0.4424	35
Total	4996	5021	207	9252	0.9602	0.3518	0.5149	45
INS	3516	3484	199	5032	0.9464	0.4091	0.5713	45
DEL	1480	1537	8	4220	0.9946	0.267	0.421	45
Total	4861	4885	195	9388	0.9614	0.3423	0.5049	50
INS	3422	3393	188	5123	0.9479	0.3984	0.561	50
DEL	1439	1492	7	4265	0.9952	0.2592	0.4113	50
Total	4630	4654	169	9619	0.9648	0.3261	0.4874	60
INS	3259	3233	163	5283	0.9524	0.3796	0.5428	60
DEL	1371	1421	6	4336	0.9956	0.2468	0.3955	60
Total	4245	4257	132	10016	0.9698	0.2983	0.4563	75
INS	3010	2985	128	5531	0.9592	0.3505	0.5134	75
DEL	1235	1272	4	4485	0.9968	0.2209	0.3617	75
Total	3947	3956	106	10317	0.9738	0.2772	0.4316	90
INS	2802	2780	104	5736	0.9642	0.3264	0.4877	90
DEL	1145	1176	2	4581	0.9983	0.2043	0.3392	90
Total	3769	3770	95	10503	0.9754	0.2641	0.4157	99
INS	2682	2657	93	5859	0.9665	0.312	0.4717	99
DEL	1087	1113	2	4644	0.9982	0.1933	0.3239	99
Total	3551	3555	87	10718	0.9761	0.2491	0.3969	110
INS	2536	2517	85	5999	0.9676	0.2956	0.4529	110
DEL	1015	1038	2	4719	0.998	0.1803	0.3054	110
Total	3184	3191	76	11082	0.9767	0.2236	0.3639	133
INS	2297	2286	75	6230	0.9684	0.2684	0.4203	133
DEL	887	905	1	4852	0.9989	0.1572	0.2716	133
Total	2743	2755	63	11518	0.9775	0.193	0.3224	167
INS	2001	1996	62	6520	0.9699	0.2344	0.3776	167
DEL	742	759	1	4998	0.9987	0.1318	0.2329	167
Total	2587	2600	58	11673	0.9781	0.1822	0.3072	180
INS	1898	1897	58	6619	0.9703	0.2228	0.3624	180
DEL	689	703	0	5054	1	0.1221	0.2176	180
Total	2020	2034	33	12239	0.9839	0.1425	0.2489	250
INS	1491	1500	33	7016	0.9783	0.1761	0.2985	250
DEL	529	534	0	5223	1	0.0928	0.1698	250
Total	1447	1453	20	12820	0.9864	0.1018	0.1846	350
INS	1070	1074	20	7442	0.9817	0.1261	0.2235	350
DEL	377	379	0	5378	1	0.0658	0.1235	350
Total	1074	1081	14	13192	0.9871	0.0757	0.1406	450
INS	793	798	14	7718	0.9827	0.0937	0.1711	450
DEL	281	283	0	5474	1	0.0492	0.0938	450
Total	763	766	12	13507	0.9845	0.0537	0.1018	550
INS	570	573	12	7943	0.9794	0.0673	0.1259	550
DEL	193	193	0	5564	1	0.0335	0.0648	550
Total	500	501	9	13772	0.9823	0.0351	0.0678	650
INS	380	381	9	8135	0.9769	0.0447	0.0855	650
DEL	120	120	0	5637	1	0.0208	0.0408	650
