type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	8645	8605	8627	9226	0.5005	0.4826	0.4914	0
INS	6259	6176	6923	4678	0.4748	0.569	0.5176	0
DEL	2385	2428	1701	4542	0.5837	0.3484	0.4364	0
INV	1	1	3	6	0.25	0.1429	0.1819	0
Total	8367	8346	7943	9485	0.513	0.4681	0.4895	2
INS	6003	5934	6281	4920	0.4887	0.5467	0.5161	2
DEL	2363	2411	1659	4559	0.5875	0.3459	0.4354	2
INV	1	1	3	6	0.25	0.1429	0.1819	2
Total	8317	8297	7844	9534	0.5146	0.4653	0.4887	3
INS	5961	5890	6196	4964	0.4903	0.5427	0.5152	3
DEL	2355	2406	1645	4564	0.5888	0.3452	0.4352	3
INV	1	1	3	6	0.25	0.1429	0.1819	3
Total	8264	8241	7755	9590	0.5159	0.4622	0.4876	4
INS	5918	5844	6122	5010	0.4915	0.5384	0.5139	4
DEL	2345	2396	1630	4574	0.5899	0.3438	0.4344	4
INV	1	1	3	6	0.25	0.1429	0.1819	4
Total	8211	8197	7664	9634	0.5172	0.4597	0.4868	5
INS	5876	5811	6052	5043	0.4926	0.5354	0.5131	5
DEL	2334	2385	1609	4585	0.5919	0.3422	0.4337	5
INV	1	1	3	6	0.25	0.1429	0.1819	5
Total	8107	8079	7518	9752	0.5188	0.4531	0.4837	7
INS	5795	5719	5941	5135	0.4938	0.5269	0.5098	7
DEL	2311	2359	1574	4611	0.5949	0.3385	0.4315	7
INV	1	1	3	6	0.25	0.1429	0.1819	7
Total	7961	7917	7300	9914	0.5217	0.444	0.4797	10
INS	5680	5586	5758	5268	0.4966	0.5146	0.5054	10
DEL	2280	2330	1539	4640	0.597	0.3343	0.4286	10
INV	1	1	3	6	0.25	0.1429	0.1819	10
Total	7863	7826	7153	10005	0.5236	0.4389	0.4775	12
INS	5599	5514	5641	5340	0.4981	0.508	0.503	12
DEL	2263	2311	1509	4659	0.5999	0.3316	0.4271	12
INV	1	1	3	6	0.25	0.1429	0.1819	12
Total	7793	7746	7014	10085	0.5263	0.4344	0.476	14
INS	5545	5454	5535	5400	0.5005	0.5025	0.5015	14
DEL	2247	2291	1476	4679	0.6035	0.3287	0.4256	14
INV	1	1	3	6	0.25	0.1429	0.1819	14
Total	7508	7445	6608	10386	0.5319	0.4175	0.4678	21
INS	5349	5248	5206	5606	0.5068	0.4835	0.4949	21
DEL	2158	2196	1399	4774	0.6067	0.3151	0.4148	21
INV	1	1	3	6	0.25	0.1429	0.1819	21
Total	7252	7187	6300	10644	0.5351	0.4031	0.4598	27
INS	5177	5077	4964	5777	0.5105	0.4678	0.4882	27
DEL	2074	2109	1333	4861	0.6087	0.3026	0.4042	27
INV	1	1	3	6	0.25	0.1429	0.1819	27
Total	6936	6869	5883	10962	0.5411	0.3852	0.45	35
INS	4977	4877	4651	5977	0.5169	0.4493	0.4807	35
DEL	1958	1991	1229	4979	0.6144	0.2857	0.39	35
INV	1	1	3	6	0.25	0.1429	0.1819	35
Total	6573	6493	5404	11338	0.5488	0.3641	0.4378	45
INS	4718	4615	4293	6239	0.5236	0.4252	0.4693	45
DEL	1854	1877	1108	5093	0.6259	0.2693	0.3766	45
INV	1	1	3	6	0.25	0.1429	0.1819	45
Total	6415	6340	5220	11491	0.5514	0.3556	0.4324	50
INS	4600	4504	4153	6350	0.5255	0.415	0.4638	50
DEL	1814	1835	1064	5135	0.6303	0.2633	0.3714	50
INV	1	1	3	6	0.25	0.1429	0.1819	50
Total	6134	6064	4896	11767	0.5561	0.3401	0.4221	60
INS	4405	4312	3918	6542	0.5293	0.3973	0.4539	60
DEL	1728	1751	975	5219	0.6393	0.2512	0.3607	60
INV	1	1	3	6	0.25	0.1429	0.1819	60
Total	5638	5573	4399	12258	0.5617	0.3125	0.4016	75
INS	4082	4001	3546	6853	0.5351	0.3686	0.4365	75
DEL	1555	1571	850	5399	0.6466	0.2254	0.3343	75
INV	1	1	3	6	0.25	0.1429	0.1819	75
Total	5263	5194	4017	12637	0.5671	0.2913	0.3849	90
INS	3820	3741	3243	7113	0.5408	0.3447	0.421	90
DEL	1442	1452	771	5518	0.6516	0.2083	0.3157	90
INV	1	1	3	6	0.25	0.1429	0.1819	90
Total	5041	4969	3789	12862	0.5709	0.2787	0.3746	99
INS	3669	3592	3073	7262	0.5442	0.3309	0.4116	99
DEL	1371	1376	714	5594	0.6576	0.1974	0.3036	99
INV	1	1	2	6	0.3333	0.1429	0.2	99
Total	4775	4709	3539	13122	0.5743	0.2641	0.3618	110
INS	3500	3430	2892	7424	0.5476	0.316	0.4007	110
DEL	1274	1278	645	5692	0.6639	0.1834	0.2874	110
INV	1	1	2	6	0.3333	0.1429	0.2	110
Total	4289	4244	3130	13587	0.5781	0.238	0.3372	133
INS	3182	3131	2581	7723	0.5521	0.2885	0.379	133
DEL	1106	1112	548	5858	0.6687	0.1595	0.2576	133
INV	1	1	1	6	0.5	0.1429	0.2223	133
Total	3674	3646	2608	14185	0.5848	0.2045	0.303	167
INS	2771	2738	2183	8116	0.5593	0.2523	0.3477	167
DEL	902	907	424	6063	0.6802	0.1301	0.2184	167
INV	1	1	1	6	0.5	0.1429	0.2223	167
Total	3434	3411	2413	14420	0.5873	0.1913	0.2886	180
INS	2624	2595	2041	8259	0.5625	0.2391	0.3356	180
DEL	809	815	371	6155	0.6856	0.1169	0.1997	180
INV	1	1	1	6	0.5	0.1429	0.2223	180
Total	2586	2590	1605	15241	0.617	0.1453	0.2352	250
INS	2078	2080	1412	8774	0.5954	0.1916	0.2899	250
DEL	508	510	192	6460	0.7257	0.0732	0.133	250
INV	0	0	1	7	0	0	NA	250
Total	1779	1785	964	16046	0.6486	0.1001	0.1734	350
INS	1513	1517	868	9337	0.6354	0.1398	0.2292	350
DEL	266	268	96	6702	0.7348	0.0385	0.0732	350
INV	0	0	0	7	NA	0	NA	350
Total	1242	1253	590	16578	0.6779	0.0703	0.1274	450
INS	1108	1118	546	9736	0.6699	0.103	0.1785	450
DEL	134	135	44	6835	0.7528	0.0194	0.0378	450
INV	0	0	0	7	NA	0	NA	450
Total	866	873	390	16958	0.6895	0.049	0.0915	550
INS	795	803	368	10051	0.6836	0.074	0.1335	550
DEL	71	70	22	6900	0.7634	0.01	0.0197	550
INV	0	0	0	7	NA	0	NA	550
Total	608	613	282	17218	0.6831	0.0344	0.0655	650
INS	564	569	264	10285	0.6812	0.0524	0.0973	650
DEL	44	44	18	6926	0.7097	0.0063	0.0125	650
INV	0	0	0	7	NA	0	NA	650
