type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	12893	12946	10521	9251	0.5507	0.5832	0.5665	0
INS	8555	8459	8126	4370	0.5129	0.6594	0.577	0
DEL	4330	4479	2385	4819	0.6448	0.4817	0.5514	0
INV	8	8	10	62	0.4444	0.1143	0.1818	0
Total	12643	12726	9814	9471	0.563	0.5733	0.5681	2
INS	8324	8255	7456	4574	0.5275	0.6435	0.5798	2
DEL	4311	4463	2348	4835	0.6474	0.48	0.5513	2
INV	8	8	10	62	0.4444	0.1143	0.1818	2
Total	12608	12688	9694	9509	0.5653	0.5716	0.5684	3
INS	8295	8225	7357	4604	0.53	0.6411	0.5803	3
DEL	4305	4455	2327	4843	0.6491	0.4791	0.5513	3
INV	8	8	10	62	0.4444	0.1143	0.1818	3
Total	12566	12653	9609	9544	0.5667	0.57	0.5683	4
INS	8260	8196	7290	4633	0.5312	0.6389	0.5801	4
DEL	4298	4449	2309	4849	0.6505	0.4785	0.5514	4
INV	8	8	10	62	0.4444	0.1143	0.1818	4
Total	12528	12606	9490	9591	0.569	0.5679	0.5684	5
INS	8233	8167	7194	4662	0.5337	0.6366	0.5806	5
DEL	4287	4431	2286	4867	0.6522	0.4766	0.5507	5
INV	8	8	10	62	0.4444	0.1143	0.1818	5
Total	12436	12521	9307	9676	0.572	0.5641	0.568	7
INS	8160	8104	7038	4725	0.5369	0.6317	0.5805	7
DEL	4268	4409	2259	4889	0.6539	0.4742	0.5497	7
INV	8	8	10	62	0.4444	0.1143	0.1818	7
Total	12317	12401	9087	9796	0.5755	0.5587	0.567	10
INS	8077	8022	6862	4807	0.5407	0.6253	0.5799	10
DEL	4232	4371	2215	4927	0.6564	0.4701	0.5478	10
INV	8	8	10	62	0.4444	0.1143	0.1818	10
Total	12254	12337	8945	9860	0.578	0.5558	0.5667	12
INS	8026	7979	6753	4850	0.5431	0.622	0.5799	12
DEL	4220	4350	2182	4948	0.6592	0.4678	0.5472	12
INV	8	8	10	62	0.4444	0.1143	0.1818	12
Total	12156	12236	8789	9961	0.5804	0.5512	0.5654	14
INS	7955	7908	6653	4921	0.5446	0.6164	0.5783	14
DEL	4193	4320	2126	4978	0.6636	0.4646	0.5465	14
INV	8	8	10	62	0.4444	0.1143	0.1818	14
Total	11887	11960	8307	10237	0.5886	0.5388	0.5626	21
INS	7752	7699	6279	5130	0.5525	0.6001	0.5753	21
DEL	4127	4253	2018	5045	0.6716	0.4574	0.5442	21
