type	TP	TP.baseline	FP	FN	precision	recall	F1	qual
Total	3686	3781	1324	792	0.7357	0.8268	0.7786	0
INS	2569	2603	1093	530	0.7015	0.8308	0.7607	0
DEL	1111	1172	227	233	0.8303	0.8342	0.8322	0
INV	6	6	4	29	0.6	0.1714	0.2666	0
Total	3683	3778	1319	795	0.7363	0.8262	0.7787	2
INS	2566	2600	1089	533	0.7021	0.8299	0.7607	2
DEL	1111	1172	226	233	0.831	0.8342	0.8326	2
INV	6	6	4	29	0.6	0.1714	0.2666	2
Total	3683	3778	1319	795	0.7363	0.8262	0.7787	3
INS	2566	2600	1089	533	0.7021	0.8299	0.7607	3
DEL	1111	1172	226	233	0.831	0.8342	0.8326	3
INV	6	6	4	29	0.6	0.1714	0.2666	3
Total	3683	3778	1317	795	0.7366	0.8262	0.7788	4
INS	2566	2600	1087	533	0.7024	0.8299	0.7608	4
DEL	1111	1172	226	233	0.831	0.8342	0.8326	4
INV	6	6	4	29	0.6	0.1714	0.2666	4
Total	3683	3778	1317	795	0.7366	0.8262	0.7788	5
INS	2566	2600	1087	533	0.7024	0.8299	0.7608	5
DEL	1111	1172	226	233	0.831	0.8342	0.8326	5
INV	6	6	4	29	0.6	0.1714	0.2666	5
Total	3682	3777	1315	796	0.7368	0.8259	0.7788	7
INS	2565	2599	1085	534	0.7027	0.8296	0.7609	7
DEL	1111	1172	226	233	0.831	0.8342	0.8326	7
INV	6	6	4	29	0.6	0.1714	0.2666	7
Total	3679	3774	1313	799	0.737	0.8253	0.7787	10
INS	2562	2596	1083	537	0.7029	0.8286	0.7606	10
DEL	1111	1172	226	233	0.831	0.8342	0.8326	10
INV	6	6	4	29	0.6	0.1714	0.2666	10
Total	3678	3773	1313	800	0.7369	0.8251	0.7785	12
INS	2561	2595	1083	538	0.7028	0.8283	0.7604	12
DEL	1111	1172	226	233	0.831	0.8342	0.8326	12
INV	6	6	4	29	0.6	0.1714	0.2666	12
Total	3675	3770	1312	803	0.7369	0.8244	0.7782	14
INS	2558	2592	1082	541	0.7027	0.8273	0.7599	14
DEL	1111	1172	226	233	0.831	0.8342	0.8326	14
INV	6	6	4	29	0.6	0.1714	0.2666	14
Total	3666	3761	1307	812	0.7372	0.8224	0.7775	21
INS	2551	2585	1077	548	0.7031	0.8251	0.7592	21
DEL	1109	1170	226	235	0.8307	0.8327	0.8317	21
INV	6	6	4	29	0.6	0.1714	0.2666	21
Total	3655	3749	1300	824	0.7376	0.8198	0.7765	27
INS	2541	2574	1071	559	0.7035	0.8216	0.758	27
DEL	1108	1169	226	236	0.8306	0.832	0.8313	27
INV	6	6	3	29	0.6667	0.1714	0.2727	27
Total	3630	3724	1286	849	0.7384	0.8143	0.7745	35
INS	2518	2551	1059	582	0.7039	0.8142	0.755	35
DEL	1106	1167	224	238	0.8316	0.8306	0.8311	35
INV	6	6	3	29	0.6667	0.1714	0.2727	35
Total	3597	3692	1277	881	0.738	0.8073	0.7711	45
INS	2489	2523	1051	610	0.7031	0.8053	0.7507	45
DEL	1102	1163	223	242	0.8317	0.8278	0.8297	45
INV	6	6	3	29	0.6667	0.1714	0.2727	45
Total	3585	3681	1273	892	0.738	0.8049	0.77	50
INS	2477	2512	1047	621	0.7029	0.8018	0.7491	50
DEL	1102	1163	223	242	0.8317	0.8278	0.8297	50
INV	6	6	3	29	0.6667	0.1714	0.2727	50
Total	3568	3664	1257	909	0.7395	0.8012	0.7691	60
INS	2466	2501	1032	632	0.705	0.7983	0.7488	60
DEL	1096	1157	222	248	0.8316	0.8235	0.8275	60
INV	6	6	3	29	0.6667	0.1714	0.2727	60
Total	3504	3599	1228	974	0.7405	0.787	0.763	75
INS	2416	2453	1008	680	0.7056	0.783	0.7423	75
DEL	1082	1140	217	265	0.8329	0.8114	0.822	75
INV	6	6	3	29	0.6667	0.1714	0.2727	75
Total	3448	3542	1197	1031	0.7423	0.7745	0.7581	90
INS	2371	2408	979	725	0.7078	0.7686	0.7369	90
DEL	1071	1128	215	277	0.8328	0.8028	0.8175	90
INV	6	6	3	29	0.6667	0.1714	0.2727	90
Total	3404	3495	1169	1078	0.7444	0.7643	0.7542	99
INS	2337	2371	951	762	0.7108	0.7568	0.7331	99
DEL	1061	1118	215	287	0.8315	0.7957	0.8132	99
INV	6	6	3	29	0.6667	0.1714	0.2727	99
Total	3321	3409	1117	1164	0.7483	0.7455	0.7469	110
INS	2273	2304	908	829	0.7146	0.7354	0.7249	110
DEL	1042	1099	206	306	0.8349	0.7822	0.8077	110
INV	6	6	3	29	0.6667	0.1714	0.2727	110
Total	3164	3242	1004	1331	0.7591	0.7089	0.7331	133
INS	2158	2183	810	950	0.7271	0.6968	0.7116	133
DEL	1000	1053	191	352	0.8396	0.7495	0.792	133
INV	6	6	3	29	0.6667	0.1714	0.2727	133
Total	2899	2972	824	1601	0.7787	0.6499	0.7085	167
INS	1980	2008	656	1125	0.7511	0.6409	0.6916	167
DEL	913	958	165	447	0.8469	0.6819	0.7555	167
INV	6	6	3	29	0.6667	0.1714	0.2727	167
Total	2788	2851	761	1722	0.7856	0.6234	0.6952	180
INS	1910	1937	608	1196	0.7585	0.6183	0.6813	180
DEL	872	908	150	497	0.8532	0.6463	0.7355	180
INV	6	6	3	29	0.6667	0.1714	0.2727	180
Total	2226	2261	459	2312	0.8291	0.4944	0.6194	250
INS	1529	1540	364	1593	0.8077	0.4915	0.6111	250
DEL	692	716	92	689	0.8827	0.5096	0.6462	250
INV	5	5	3	30	0.625	0.1429	0.2326	250
Total	1629	1647	213	2926	0.8844	0.3602	0.5119	350
INS	1152	1160	171	1973	0.8707	0.3703	0.5196	350
